window_id,object,year,n_bootstrap,n_present,n_absent,mean_peak_present,mean_peak_absent,presence_effect_on_peak_day,peak_q25_for_early_definition,peak_q75_for_late_definition,P_early_present,P_early_absent,presence_effect_on_early_probability,P_late_present,P_late_absent,presence_effect_on_late_probability,n_high_count,high_count_effect_on_peak_day,ridge_coef_peak_day,permutation_percentile_peak_day,permutation_percentile_early_probability,permutation_percentile_late_probability,max_permutation_percentile,influence_direction,influence_evidence_level,method_role
W113,H,1997,1000,624,376,114.44070512820512,114.80851063829788,-0.36780551009275086,114.0,115.0,0.46794871794871795,0.3696808510638298,0.09826786688488814,0.532051282051282,0.6303191489361702,-0.0982678668848882,258,-0.5294408708560212,-0.22117542699608536,0.9992888888888889,0.9976,0.9977333333333334,0.9992888888888889,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1998,1000,615,385,114.41951219512195,114.83376623376624,-0.41425403864428745,114.0,115.0,0.47317073170731705,0.36363636363636365,0.1095343680709534,0.526829268292683,0.6363636363636364,-0.1095343680709534,250,-0.7617662337662381,-0.31258149156059106,0.9998666666666667,0.9993333333333333,0.9995555555555555,0.9998666666666667,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1999,1000,675,325,114.52740740740741,114.68615384615384,-0.15874643874643368,114.0,115.0,0.4474074074074074,0.39692307692307693,0.050484330484330486,0.5525925925925926,0.6030769230769231,-0.05048433048433043,288,-0.047264957264957275,-0.05645329821572606,0.8433777777777778,0.8774666666666666,0.8826666666666667,0.8826666666666667,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2000,1000,599,401,114.57429048414023,114.5860349127182,-0.011744428577969757,114.0,115.0,0.4357262103505843,0.4239401496259352,0.011786060724649106,0.5642737896494157,0.5760598503740648,-0.011786060724649161,246,-0.08603491271820474,-0.04481714331966552,0.08217777777777778,0.2760444444444444,0.2770666666666667,0.2770666666666667,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2001,1000,642,358,114.57632398753894,114.58379888268156,-0.007474895142621563,114.0,115.0,0.43146417445482865,0.4301675977653631,0.001296576689465534,0.5685358255451713,0.5698324022346368,-0.0012965766894654784,257,-0.1051996608916852,-0.04992377490307514,0.05271111111111111,0.04133333333333333,0.04186666666666667,0.05271111111111111,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2002,1000,603,397,114.44610281923715,114.7808564231738,-0.33475360393664744,114.0,115.0,0.4693200663349917,0.37279596977329976,0.09652409656169192,0.5306799336650083,0.6272040302267002,-0.09652409656169192,249,-0.21860742718986614,-0.07357340587972196,0.9976444444444444,0.9971111111111111,0.9971111111111111,0.9976444444444444,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2003,1000,659,341,114.65553869499242,114.43108504398828,0.22445365100413994,114.0,115.0,0.40971168437025796,0.47214076246334313,-0.06242907809308518,0.590288315629742,0.5278592375366569,0.06242907809308518,271,0.358582852690688,0.07875414448428775,0.9558222222222222,0.9416888888888889,0.9474666666666667,0.9558222222222222,push_late_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,2004,1000,626,374,114.60383386581469,114.53743315508021,0.06640071073448439,114.0,115.0,0.43450479233226835,0.42513368983957217,0.009371102492696182,0.5654952076677316,0.5748663101604278,-0.009371102492696126,287,0.05838566025080638,0.09762533968143988,0.44582222222222223,0.2304,0.2338222222222222,0.44582222222222223,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2005,1000,648,352,114.41512345679013,114.88068181818181,-0.46555836139168605,114.0,115.0,0.4675925925925926,0.36363636363636365,0.10395622895622897,0.5324074074074074,0.6363636363636364,-0.10395622895622891,256,-0.845525568181813,-0.4679579375776952,1.0,0.9984444444444445,0.9990666666666667,1.0,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2006,1000,642,358,114.66666666666667,114.42178770949721,0.24487895716946184,114.0,115.0,0.43302180685358255,0.4273743016759777,0.005647505177604872,0.5669781931464174,0.5726256983240223,-0.005647505177604928,267,0.49206996840541706,0.19460968176493182,0.9730222222222222,0.14551111111111112,0.14857777777777778,0.9730222222222222,push_late_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,2007,1000,620,380,114.7516129032258,114.29736842105264,0.4542444821731664,114.0,115.0,0.38548387096774195,0.5052631578947369,-0.11977928692699491,0.614516129032258,0.49473684210526314,0.11977928692699491,239,0.7821294868971478,0.24555425637891543,1.0,0.9996888888888888,0.9998222222222222,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2008,1000,649,351,114.59630200308166,114.54700854700855,0.04929345607311575,114.0,115.0,0.43605546995377503,0.42165242165242167,0.01440304830135336,0.5639445300462249,0.5783475783475783,-0.014403048301353416,283,0.21270876747908574,0.008937725434667327,0.33773333333333333,0.34595555555555557,0.34528888888888887,0.34595555555555557,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2009,1000,618,382,114.79126213592232,114.23560209424083,0.5556600416814916,114.0,115.0,0.3656957928802589,0.5366492146596858,-0.17095342177942696,0.6343042071197411,0.46335078534031415,0.17095342177942696,245,0.8052142322897851,0.32184647973406244,1.0,1.0,1.0,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2010,1000,662,338,114.6012084592145,114.53550295857988,0.06570550063462122,114.0,115.0,0.42749244712990936,0.4378698224852071,-0.010377375355297758,0.5725075528700906,0.5621301775147929,0.010377375355297702,297,0.0166855936086705,0.033338059601755274,0.4412888888888889,0.2539111111111111,0.2564444444444444,0.4412888888888889,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2011,1000,631,369,114.84310618066561,114.12737127371274,0.7157349069528749,114.0,115.0,0.3518225039619651,0.5663956639566395,-0.2145731599946744,0.6481774960380349,0.43360433604336046,0.2145731599946744,265,1.0650815564759455,0.4301192260994199,1.0,1.0,1.0,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2012,1000,646,354,114.53250773993808,114.6638418079096,-0.13133406797152247,114.0,115.0,0.43653250773993807,0.4209039548022599,0.015628552937678175,0.5634674922600619,0.5790960451977402,-0.015628552937678286,280,-0.09241323648103617,-0.027642753848965407,0.7612,0.3667111111111111,0.3654222222222222,0.7612,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2013,1000,617,383,114.57050243111831,114.59268929503916,-0.022186863920850897,114.0,115.0,0.40032414910858993,0.4804177545691906,-0.08009360546060068,0.5996758508914101,0.5195822454308094,0.08009360546060063,249,0.1261862069688675,-0.011361771503478382,0.15564444444444445,0.9852444444444445,0.9878666666666667,0.9878666666666667,push_early_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,2014,1000,633,367,114.63823064770932,114.47683923705722,0.16139141065210083,114.0,115.0,0.42022116903633494,0.44959128065395093,-0.02937011161761599,0.5797788309636651,0.5504087193460491,0.029370111617616046,241,-0.03285583456759866,-0.03187738457589369,0.8504888888888888,0.6332444444444445,0.6306222222222222,0.8504888888888888,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2015,1000,630,370,114.86825396825397,114.08648648648649,0.7817674817674742,114.0,115.0,0.353968253968254,0.5621621621621622,-0.2081939081939082,0.6460317460317461,0.43783783783783786,0.2081939081939082,282,1.097910676634072,0.5058709319307085,1.0,1.0,1.0,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2016,1000,650,350,114.66153846153846,114.42571428571429,0.23582417582416326,114.0,115.0,0.40923076923076923,0.4714285714285714,-0.06219780219780219,0.5907692307692308,0.5285714285714286,0.06219780219780224,258,0.19831672203764583,0.11900478484407283,0.9663111111111111,0.9399555555555555,0.9455555555555556,0.9663111111111111,push_late_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,2017,1000,642,358,114.52647975077882,114.6731843575419,-0.1467046067630804,114.0,115.0,0.45794392523364486,0.38268156424581007,0.07526236098783479,0.5420560747663551,0.61731843575419,-0.0752623609878349,275,-0.3059116302691649,-0.15870653979949562,0.8117333333333333,0.9771555555555556,0.9808444444444444,0.9808444444444444,push_early_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,2018,1000,663,337,114.64253393665159,114.4540059347181,0.1885280019334914,114.0,115.0,0.4177978883861237,0.456973293768546,-0.03917540538242231,0.5822021116138764,0.543026706231454,0.03917540538242237,286,0.13690315619099636,0.02878612559431843,0.9084444444444445,0.7681777777777777,0.7736888888888889,0.9084444444444445,push_late_peak,usable_90,bootstrap_year_influence_candidate_not_physical_type
W113,H,2019,1000,643,357,114.79782270606532,114.18487394957984,0.6129487564854799,114.0,115.0,0.35769828926905134,0.5630252100840336,-0.20532692081498227,0.6423017107309487,0.4369747899159664,0.20532692081498227,254,0.8190630582941765,0.28251756996099925,1.0,1.0,1.0,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2020,1000,650,350,114.56461538461538,114.60571428571428,-0.04109890109890557,114.0,115.0,0.4338461538461538,0.4257142857142857,0.008131868131868114,0.5661538461538461,0.5742857142857143,-0.00813186813186817,282,0.0644984802431594,0.06477837235165511,0.2842222222222222,0.19093333333333334,0.19595555555555555,0.2842222222222222,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,2021,1000,624,376,114.23717948717949,115.14627659574468,-0.9090971085651915,114.0,115.0,0.5128205128205128,0.29521276595744683,0.21760774686306594,0.48717948717948717,0.7047872340425532,-0.217607746863066,256,-1.3923703457446805,-0.640328644125928,1.0,1.0,1.0,1.0,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,2022,1000,615,385,114.65853658536585,114.45194805194805,0.2065885334178006,114.0,115.0,0.4065040650406504,0.4701298701298701,-0.06362580508921972,0.5934959349593496,0.5298701298701298,0.06362580508921978,265,0.28012741975005895,0.14779221472243612,0.9363111111111111,0.9468444444444445,0.9516444444444444,0.9516444444444444,push_late_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,2023,1000,644,356,114.61335403726709,114.51685393258427,0.09650010468281778,114.0,115.0,0.40993788819875776,0.4691011235955056,-0.05916323539674784,0.5900621118012422,0.5308988764044944,0.05916323539674784,270,0.009071993341663642,0.05300735172926866,0.6086222222222222,0.9272888888888889,0.9317777777777778,0.9317777777777778,push_late_peak,usable_90,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1979,999,631,368,110.6877971473851,110.30163043478261,0.38616671260248836,108.0,113.0,0.27258320126782887,0.358695652173913,-0.08611245090608416,0.30269413629160064,0.2717391304347826,0.03095500585681804,241,0.536543839076316,0.20025649416093766,0.9653777777777778,0.9960444444444444,0.7010666666666666,0.9960444444444444,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1980,999,631,368,110.24881141045958,111.05434782608695,-0.8055364156273725,108.0,113.0,0.34548335974643424,0.23369565217391305,0.11178770757252118,0.25990491283676703,0.3451086956521739,-0.08520378281540686,247,-1.1636595669776426,-0.44044552779337653,0.9999555555555556,0.9996,0.9947111111111111,0.9999555555555556,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1981,999,644,355,110.38354037267081,110.83943661971831,-0.4558962470475052,108.0,113.0,0.3245341614906832,0.2676056338028169,0.056928527687866326,0.2748447204968944,0.3211267605633803,-0.0462820400664859,270,-0.7431403234220113,-0.40552663559768093,0.9863555555555555,0.9436888888888889,0.8802222222222222,0.9863555555555555,push_early_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1982,999,626,373,110.85143769968052,110.03217158176943,0.8192661179110843,108.0,113.0,0.25878594249201275,0.3806970509383378,-0.12191110844632502,0.3258785942492013,0.23324396782841822,0.09263462642078307,253,1.3472750585467708,0.6299488995583591,0.9999555555555556,0.9999555555555556,0.9973777777777778,0.9999555555555556,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1983,999,631,368,111.13153724247226,109.54076086956522,1.5907763729070439,108.0,113.0,0.23137876386687797,0.42934782608695654,-0.19796906222007857,0.37400950871632327,0.14945652173913043,0.22455298697719284,263,2.3451706893701356,0.9683442344196063,1.0,1.0,1.0,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1984,999,621,378,110.58454106280193,110.48148148148148,0.10305958132045134,108.0,113.0,0.2946859903381642,0.3201058201058201,-0.025419829767655888,0.28180354267310787,0.30687830687830686,-0.025074764205198996,250,0.1385185185185236,0.07011871347656856,0.42435555555555554,0.6064444444444445,0.6041777777777778,0.6064444444444445,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1985,999,620,379,110.28225806451613,110.97625329815304,-0.6939952336369117,108.0,113.0,0.33548387096774196,0.2532981530343008,0.08218571793344115,0.25161290322580643,0.3562005277044855,-0.10458762447867909,252,-1.027840599740344,-0.3869853717712284,0.9997333333333334,0.9937333333333334,0.9994222222222222,0.9997333333333334,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,Je,1986,999,630,369,110.75714285714285,110.18428184281842,0.572861014324431,108.0,113.0,0.2714285714285714,0.3604336043360434,-0.08900503290747197,0.32063492063492066,0.24119241192411925,0.07944250871080141,233,0.6783791013875913,0.3713087612544253,0.9979555555555556,0.9969777777777777,0.9912444444444445,0.9979555555555556,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
