year,candidate_id,start_day,end_day,center_day,width_days,nearest_window_id,overlap_ratio_with_main_window,overlap_days_with_main_window
1993,Y1993_C02,47,52,50,6,W001,0.1,1
1993,Y1993_C03,74,78,76,5,W002,0.25,3
1993,Y1993_C04,94,99,97,6,W002,0.0,0
1993,Y1993_C05,107,112,110,6,W003,0.4,4
1993,Y1993_C06,144,149,146,6,W004,0.0,0
1994,Y1994_C01,38,38,38,1,W001,0.0,0
1994,Y1994_C02,63,69,67,7,W002,0.0,0
1994,Y1994_C03,80,87,83,8,W002,0.5,6
1994,Y1994_C04,105,109,107,5,W003,0.08333333333333333,1
1994,Y1994_C05,121,126,124,6,W003,0.0,0
1994,Y1994_C06,161,166,164,6,W005,0.2727272727272727,3
1995,Y1995_C01,30,38,33,9,W001,0.0,0
1995,Y1995_C02,62,66,64,5,W002,0.0,0
1995,Y1995_C03,74,77,76,4,W002,0.16666666666666666,2
1995,Y1995_C04,87,93,91,7,W002,0.0,0
1995,Y1995_C05,114,116,115,3,W003,0.375,3
1995,Y1995_C06,143,145,144,3,W004,0.0,0
1995,Y1995_C07,162,165,164,4,W005,0.2,2
1996,Y1996_C01,49,63,52,15,W001,0.0,0
1996,Y1996_C02,93,93,93,1,W002,0.0,0
1996,Y1996_C03,108,114,110,7,W003,0.6666666666666666,6
1996,Y1996_C04,134,137,136,4,W004,0.25,1
1996,Y1996_C05,153,161,157,9,W005,0.5454545454545454,6
1997,Y1997_C01,28,32,30,5,W001,0.0,0
1997,Y1997_C02,41,48,45,8,W001,0.625,5
1997,Y1997_C03,58,62,60,5,W001,0.0,0
1997,Y1997_C04,84,89,87,6,W002,0.14285714285714285,2
1997,Y1997_C05,106,111,109,6,W003,0.2727272727272727,3
1997,Y1997_C06,132,137,135,6,W004,0.16666666666666666,1
1997,Y1997_C07,160,162,161,3,W005,0.375,3
1998,Y1998_C01,68,72,70,5,W002,0.0,0
1998,Y1998_C02,82,88,85,7,W002,0.3076923076923077,4
1998,Y1998_C03,102,106,104,5,W003,0.0,0
1998,Y1998_C04,118,121,120,4,W003,0.0,0
1998,Y1998_C05,159,164,161,6,W005,0.5555555555555556,5
1999,Y1999_C01,42,42,42,1,W001,0.0,0
1999,Y1999_C02,56,60,59,5,W001,0.0,0
1999,Y1999_C03,68,71,70,4,W002,0.0,0
1999,Y1999_C04,91,95,93,5,W002,0.0,0
1999,Y1999_C05,103,111,108,9,W003,0.21428571428571427,3
1999,Y1999_C06,126,143,133,18,W004,0.05555555555555555,1
