year,window_id,local_peak_day,local_peak_score,peak_rank_within_year,is_peak_detected_near_window,overlap_ratio_with_window,overlap_days_with_window
1988,W004,137,29.12747595206931,15,True,0.1,1
1988,W005,159,22.158391616929688,49,True,0.375,3
1989,W001,48,12.52233459924248,89,True,0.0,0
1989,W002,78,19.181499605737393,53,True,0.25,3
1989,W003,115,47.936415571203874,1,True,0.5,5
1989,W004,132,16.700759467221097,60,True,0.0,0
1989,W005,157,38.22207341444475,7,True,0.4444444444444444,4
1990,W001,42,16.571123449581936,56,True,0.0,0
1990,W002,78,13.25768426869097,89,True,0.07692307692307693,1
1990,W003,114,26.001540976374436,20,True,0.625,5
1990,W004,134,41.35342300175,1,True,0.08333333333333333,1
1990,W005,163,17.63014885534156,50,True,0.0,0
1991,W001,48,43.51778573401103,1,True,0.2222222222222222,2
1991,W002,84,20.17207101266542,42,True,0.0,0
1991,W003,110,14.24278491487198,84,True,0.0,0
1991,W004,132,22.639466985749646,30,True,0.0,0
1991,W005,162,15.795725931534474,69,True,0.0,0
1992,W001,48,25.70603988279949,19,True,0.4444444444444444,4
1992,W002,79,16.82919299479439,61,True,0.1,1
1992,W003,110,26.812236848894234,11,True,0.0,0
1992,W004,134,26.230985154541873,16,True,0.14285714285714285,1
1992,W005,157,27.359863822557124,8,True,0.5555555555555556,5
1993,W001,48,20.334611559860925,38,True,0.1,1
1993,W002,78,16.36082572211207,60,True,0.25,3
1993,W003,110,19.72001860411485,41,True,0.4,4
1993,W004,133,23.040004686804174,26,True,0.0,0
1993,W005,161,21.386576267492575,29,True,0.0,0
1994,W001,48,6.852918345324734,140,True,0.0,0
1994,W002,83,32.399639353679234,1,True,0.5,6
1994,W003,110,15.139961985730494,66,True,0.08333333333333333,1
1994,W004,134,20.80956821223818,27,True,0.0,0
1994,W005,163,21.447067179620902,24,True,0.2727272727272727,3
1995,W001,44,27.577166225834038,12,True,0.0,0
1995,W002,78,17.424016765632818,56,True,0.16666666666666666,2
1995,W003,115,18.66432863140547,42,True,0.375,3
1995,W004,138,10.694848939151699,113,True,0.0,0
1995,W005,163,49.65669206969284,2,True,0.2,2
1996,W001,48,17.61911725568367,38,True,0.0,0
1996,W002,78,10.98737712508615,111,True,0.0,0
1996,W003,110,29.10135758894409,1,True,0.6666666666666666,6
1996,W004,136,15.511350005089515,48,True,0.25,1
1996,W005,157,21.467512913601944,23,True,0.5454545454545454,6
1997,W001,45,38.84315264138908,1,True,0.625,5
1997,W002,84,23.196868803499918,54,True,0.14285714285714285,2
1997,W003,110,32.81165652633031,11,True,0.2727272727272727,3
1997,W004,135,28.10164630281883,21,True,0.16666666666666666,1
1997,W005,161,26.025108822660265,34,True,0.375,3
1998,W001,46,16.20857621610389,81,True,0.0,0
1998,W002,84,32.181227851254874,12,True,0.3076923076923077,4
1998,W003,116,14.3715599889009,98,True,0.0,0
1998,W004,138,14.655503247483326,95,True,0.0,0
1998,W005,161,39.75740325916678,1,True,0.5555555555555556,5
1999,W001,42,18.660601507451357,62,True,0.0,0
1999,W002,82,13.797691636532228,97,True,0.0,0
1999,W003,110,23.565003129989897,25,True,0.21428571428571427,3
1999,W004,133,24.087999732481478,19,True,0.05555555555555555,1
1999,W005,163,31.104704176212493,1,True,0.6666666666666666,8
2000,W001,48,18.35420100933106,77,True,0.0,0
2000,W002,79,25.995033379024747,19,True,0.0,0
2000,W003,116,21.640857906157954,48,True,0.07692307692307693,1
2000,W004,138,22.039992942488,44,True,0.0,0
2000,W005,158,29.488163264626966,10,True,0.625,5
2001,W001,42,11.306567692235475,109,True,0.0,0
2001,W002,84,14.724050691809943,50,True,0.0,0
2001,W003,110,14.099935283294325,56,True,0.0,0
2001,W004,133,24.573893243385026,5,True,0.2,1
2001,W005,161,24.86584000348283,4,True,0.6666666666666666,6
2002,W001,48,18.503568978427758,61,True,0.0,0
2002,W002,78,17.237539895314836,78,True,0.0,0
2002,W003,110,26.366870030618735,27,True,0.07692307692307693,1
2002,W004,132,22.449642431947826,42,True,0.0,0
2002,W005,162,30.191880292205344,15,True,0.3333333333333333,3
2003,W001,48,25.230526202609333,17,True,0.0,0
2003,W002,80,40.20082734786133,4,True,0.6,6
2003,W003,116,19.88173723580581,28,True,0.6153846153846154,8
2003,W004,132,11.921378635824581,118,True,0.0,0
2003,W005,157,14.720485801269543,74,True,0.0,0
2004,W001,46,23.857287742551613,25,True,0.5714285714285714,4
2004,W002,84,13.891756003510713,93,True,0.0,0
2004,W003,111,29.3094509971342,1,True,0.5555555555555556,5
2004,W004,138,26.4142674975104,11,True,0.09090909090909091,1
2004,W005,163,16.960419033592785,65,True,0.0,0
2005,W001,48,9.267017331937978,108,True,0.0,0
2005,W002,84,31.747315835703454,8,True,0.25,3
2005,W003,110,20.38653938522794,37,True,0.0,0
2005,W004,138,19.200263693124565,44,True,0.0,0
2005,W005,163,29.05576155471098,12,True,0.4,4
2006,W001,48,18.946186025324693,56,True,0.0,0
2006,W002,78,22.538925845725736,39,True,0.21428571428571427,3
2006,W003,116,15.770601725564088,79,True,0.0,0
2006,W004,138,11.883881169441992,108,True,0.0,0
2006,W005,158,28.990675741658116,12,True,0.5555555555555556,5
2007,W001,47,11.18458323647363,116,True,0.0,0
2007,W002,78,23.59427342817026,22,True,0.23076923076923078,3
2007,W003,110,14.788781218497029,81,True,0.0,0
2007,W004,137,22.91671332368783,24,True,0.0,0
2007,W005,163,16.0253511927771,67,True,0.0,0
2008,W001,48,31.99400455239229,6,True,0.2222222222222222,2
2008,W002,78,16.333834395555677,59,True,0.0,0
2008,W003,116,17.20412805125421,50,True,0.07142857142857142,1
2008,W004,134,41.302080334648,1,True,0.16666666666666666,1
2008,W005,159,14.331947536133974,70,True,0.125,1
2009,W001,42,27.535651909952612,37,True,0.0,0
2009,W002,78,13.009724880108667,113,True,0.0,0
2009,W003,113,31.461567335645928,11,True,0.5,5
2009,W004,134,52.69133205451611,1,True,0.16666666666666666,1
2009,W005,162,23.736516804733995,58,True,0.0,0
2010,W001,48,9.897674880411895,110,True,0.0,0
2010,W002,84,15.626634244778362,69,True,0.06666666666666667,1
2010,W003,111,25.913419648738675,8,True,0.0,0
2010,W004,132,14.779188321216097,75,True,0.0,0
2010,W005,163,24.50062735404598,13,True,0.18181818181818182,2
2011,W001,48,9.90047269286351,116,True,0.0,0
2011,W002,78,32.2117106776446,3,True,0.6,6
2011,W003,110,26.927370322484055,21,True,0.5,4
2011,W004,132,24.506260466109786,33,True,0.0,0
2011,W005,158,19.255445188665895,54,True,0.375,3
2012,W001,42,12.567071768278662,81,True,0.0,0
2012,W002,82,42.824567989952214,1,True,0.5,6
2012,W003,111,30.998013258912096,8,True,0.7272727272727273,8
2012,W004,132,16.586653811681394,55,True,0.0,0
2012,W005,163,21.4546827033577,24,True,0.2,2
2013,W001,42,19.667012387308276,39,True,0.1111111111111111,1
2013,W002,80,22.589335651927648,25,True,0.5,5
2013,W003,110,12.53632147005092,98,True,0.0,0
2013,W004,133,36.22037811775135,1,True,0.16666666666666666,1
2013,W005,163,24.18860149114497,19,True,0.09090909090909091,1
2014,W001,48,7.655298518542976,145,True,0.0,0
2014,W002,78,32.951273406622555,8,True,0.23076923076923078,3
2014,W003,110,25.675150027260006,26,True,0.3,3
2014,W004,132,32.92805657494897,9,True,0.0,0
2014,W005,162,15.772088449472438,68,True,0.125,1
2015,W001,47,12.148179654199918,99,True,0.0,0
2015,W002,78,20.95598866859164,40,True,0.0,0
2015,W003,111,37.487610826576116,10,True,0.5454545454545454,6
2015,W004,132,23.252069422715273,36,True,0.0,0
2015,W005,159,17.031631965921186,57,True,0.125,1
2016,W001,48,19.20054336035659,50,True,0.0,0
2016,W002,78,32.12245832178074,2,True,0.45454545454545453,5
2016,W003,115,26.677511032994676,7,True,0.4,4
2016,W004,132,23.712614095799076,17,True,0.0,0
2016,W005,162,21.641511302499666,29,True,0.34782608695652173,8
2017,W001,43,16.74227476391525,52,True,0.42857142857142855,3
2017,W002,83,11.680305026962913,90,True,0.0,0
2017,W003,111,25.919884867588458,14,True,0.5,5
2017,W004,138,32.43580066606669,6,True,0.0,0
2017,W005,157,15.160383682563157,63,True,0.0,0
2018,W001,42,15.424302116830308,82,True,0.0,0
2018,W002,79,37.000608170814075,1,True,0.6363636363636364,7
2018,W003,113,21.413103843112765,32,True,0.0,0
2018,W004,132,14.69625240914386,87,True,0.0,0
2018,W005,157,25.448878612826807,16,True,0.5833333333333334,7
2019,W001,42,11.087331710349586,85,True,0.0,0
2019,W002,84,12.943126708029151,71,True,0.0,0
2019,W003,110,17.09071872974006,42,True,0.0,0
2019,W004,137,37.21549971424185,3,True,0.1111111111111111,1
2019,W005,160,30.879553986283064,11,True,0.125,1
2020,W001,45,22.00703007093861,8,True,1.0,5
2020,W002,81,4.611491329933145,135,True,0.0,0
2020,W003,116,21.0745031642221,19,True,0.16666666666666666,2
2020,W004,138,12.003583082633561,79,True,0.0,0
2020,W005,162,22.76851459204435,3,True,0.5,5
2021,W001,46,19.386744201466975,58,True,0.8,4
2021,W002,84,11.823646076532299,107,True,0.0,0
2021,W003,110,34.59312606682413,8,True,0.07142857142857142,1
2021,W004,132,23.311505693324236,38,True,0.0,0
2021,W005,157,15.52387082664617,85,True,0.125,1
2022,W001,48,11.233279813699982,97,True,0.0,0
2022,W002,79,29.443712402225962,3,True,0.9,9
2022,W003,116,18.108857001891202,38,True,0.058823529411764705,1
2022,W004,135,7.31175247040111,132,True,0.0,0
2022,W005,163,14.268450683821857,59,True,0.0,0
2023,W001,48,15.81236893974399,93,True,0.0,0
2023,W002,78,23.259444031847206,41,True,0.0,0
2023,W003,116,15.375720875599448,94,True,0.0,0
2023,W004,138,14.573818257202827,97,True,0.0,0
2023,W005,163,28.80642982203039,15,True,0.0,0
