window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,object,n_bootstrap_group,n_valid_peak,missing_peak_fraction,mean_peak_day,median_peak_day,q25_peak_day,q75_peak_day,std_peak_day,min_peak_day,max_peak_day,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,P,333,333,0.0,44.171171171171174,45.0,44.0,45.0,1.886255967792777,35.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,V,333,333,0.0,45.153153153153156,45.0,44.0,46.0,1.7452078872864847,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,H,334,334,0.0,38.52994011976048,36.0,34.0,40.0,6.817483397580332,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,Je,334,334,0.0,46.778443113772454,47.0,46.0,48.0,2.209456056889299,34.0,56.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,Jw,334,334,0.0,42.91916167664671,42.0,40.0,46.0,3.635335990465249,37.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,P,334,334,0.0,43.06586826347306,44.0,41.0,45.0,2.229040447350991,34.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,high,V,334,334,0.0,44.47604790419162,45.0,44.0,45.0,1.6212815003582821,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,H,333,333,0.0,39.97597597597598,36.0,34.0,47.0,7.492125948509995,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,Je,333,333,0.0,45.393393393393396,46.0,45.0,46.0,1.6238670429221573,30.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,Jw,333,333,0.0,43.28228228228228,43.0,41.0,46.0,3.380251588209785,33.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,P,333,333,0.0,45.01501501501502,45.0,44.0,46.0,1.68884087729129,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,low,V,333,333,0.0,45.84384384384384,46.0,45.0,47.0,1.948029495490467,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,H,333,333,0.0,38.11711711711712,36.0,34.0,39.0,6.6691233398239405,24.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,Je,333,333,0.0,45.96396396396396,46.0,45.0,47.0,2.6041946975588974,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,Jw,333,333,0.0,42.9009009009009,42.0,40.0,45.0,3.372340420068011,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,P,333,333,0.0,43.92192192192192,45.0,43.0,45.0,2.0840544719556213,31.0,48.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Je_delta_peak,P-Je,added_all_pair,False,mid,V,333,333,0.0,45.030030030030034,45.0,44.0,46.0,1.9478901929818215,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_Jw_delta_peak,P-Jw,original_priority,True,high,H,334,334,0.0,38.98802395209581,36.0,34.0,44.0,7.242258390448326,20.0,57.0,strict_99,direction_specific_99,stable,False
