relative_path,size_bytes,main_tree_role
cross_window/v10_vs_v9_subpeak_regression_audit.csv,1518,generated_v10_a_hotfix02_main_output
cross_window/window_scope_registry_v10_a.csv,1241,generated_v10_a_hotfix02_main_output
cross_window/window_scope_validity_audit_v10_a.csv,1516,generated_v10_a_hotfix02_main_output
per_window/W045/bootstrap_selected_peak_days_W045.csv,86502,generated_v10_a_hotfix02_main_output
per_window/W045/main_window_selection_W045.csv,918,generated_v10_a_hotfix02_main_output
per_window/W045/object_peak_registry_W045.csv,918,generated_v10_a_hotfix02_main_output
per_window/W045/object_profile_window_registry_W045.csv,2068,generated_v10_a_hotfix02_main_output
per_window/W045/object_subpeak_candidate_registry_W045.csv,2068,generated_v10_a_hotfix02_main_output
per_window/W045/pairwise_peak_order_test_W045.csv,988,generated_v10_a_hotfix02_main_output
per_window/W045/pairwise_synchrony_equivalence_test_W045.csv,1173,generated_v10_a_hotfix02_main_output
per_window/W045/pairwise_window_overlap_W045.csv,1120,generated_v10_a_hotfix02_main_output
per_window/W045/peak_valid_day_audit_W045.csv,1277,generated_v10_a_hotfix02_main_output
per_window/W045/raw_profile_detector_scores_W045.csv,10201,generated_v10_a_hotfix02_main_output
per_window/W045/selected_peak_delta_W045.csv,1525,generated_v10_a_hotfix02_main_output
per_window/W045/tau_sync_estimate_W045.csv,209,generated_v10_a_hotfix02_main_output
per_window/W045/timing_resolution_audit_W045.csv,534,generated_v10_a_hotfix02_main_output
per_window/W045/window_run_meta_W045.json,1153,generated_v10_a_hotfix02_main_output
per_window/W045/window_scope_W045.csv,634,generated_v10_a_hotfix02_main_output
per_window/W081/bootstrap_selected_peak_days_W081.csv,86462,generated_v10_a_hotfix02_main_output
per_window/W081/main_window_selection_W081.csv,693,generated_v10_a_hotfix02_main_output
per_window/W081/object_peak_registry_W081.csv,693,generated_v10_a_hotfix02_main_output
per_window/W081/object_profile_window_registry_W081.csv,1248,generated_v10_a_hotfix02_main_output
per_window/W081/object_subpeak_candidate_registry_W081.csv,1248,generated_v10_a_hotfix02_main_output
per_window/W081/pairwise_peak_order_test_W081.csv,1268,generated_v10_a_hotfix02_main_output
per_window/W081/pairwise_synchrony_equivalence_test_W081.csv,1462,generated_v10_a_hotfix02_main_output
per_window/W081/pairwise_window_overlap_W081.csv,1137,generated_v10_a_hotfix02_main_output
per_window/W081/peak_valid_day_audit_W081.csv,1017,generated_v10_a_hotfix02_main_output
per_window/W081/raw_profile_detector_scores_W081.csv,7824,generated_v10_a_hotfix02_main_output
per_window/W081/selected_peak_delta_W081.csv,1719,generated_v10_a_hotfix02_main_output
per_window/W081/tau_sync_estimate_W081.csv,209,generated_v10_a_hotfix02_main_output
per_window/W081/timing_resolution_audit_W081.csv,534,generated_v10_a_hotfix02_main_output
per_window/W081/window_run_meta_W081.json,1162,generated_v10_a_hotfix02_main_output
per_window/W081/window_scope_W081.csv,643,generated_v10_a_hotfix02_main_output
per_window/W113/bootstrap_selected_peak_days_W113.csv,91493,generated_v10_a_hotfix02_main_output
per_window/W113/main_window_selection_W113.csv,943,generated_v10_a_hotfix02_main_output
per_window/W113/object_peak_registry_W113.csv,943,generated_v10_a_hotfix02_main_output
per_window/W113/object_profile_window_registry_W113.csv,1804,generated_v10_a_hotfix02_main_output
per_window/W113/object_subpeak_candidate_registry_W113.csv,1804,generated_v10_a_hotfix02_main_output
per_window/W113/pairwise_peak_order_test_W113.csv,1168,generated_v10_a_hotfix02_main_output
per_window/W113/pairwise_synchrony_equivalence_test_W113.csv,1340,generated_v10_a_hotfix02_main_output
per_window/W113/pairwise_window_overlap_W113.csv,1205,generated_v10_a_hotfix02_main_output
per_window/W113/peak_valid_day_audit_W113.csv,1037,generated_v10_a_hotfix02_main_output
per_window/W113/raw_profile_detector_scores_W113.csv,9458,generated_v10_a_hotfix02_main_output
per_window/W113/selected_peak_delta_W113.csv,1666,generated_v10_a_hotfix02_main_output
per_window/W113/tau_sync_estimate_W113.csv,209,generated_v10_a_hotfix02_main_output
per_window/W113/timing_resolution_audit_W113.csv,554,generated_v10_a_hotfix02_main_output
per_window/W113/window_run_meta_W113.json,1176,generated_v10_a_hotfix02_main_output
per_window/W113/window_scope_W113.csv,657,generated_v10_a_hotfix02_main_output
per_window/W160/bootstrap_selected_peak_days_W160.csv,91487,generated_v10_a_hotfix02_main_output
per_window/W160/main_window_selection_W160.csv,853,generated_v10_a_hotfix02_main_output
per_window/W160/object_peak_registry_W160.csv,853,generated_v10_a_hotfix02_main_output
per_window/W160/object_profile_window_registry_W160.csv,1513,generated_v10_a_hotfix02_main_output
per_window/W160/object_subpeak_candidate_registry_W160.csv,1513,generated_v10_a_hotfix02_main_output
per_window/W160/pairwise_peak_order_test_W160.csv,1300,generated_v10_a_hotfix02_main_output
per_window/W160/pairwise_synchrony_equivalence_test_W160.csv,1472,generated_v10_a_hotfix02_main_output
per_window/W160/pairwise_window_overlap_W160.csv,1192,generated_v10_a_hotfix02_main_output
per_window/W160/peak_valid_day_audit_W160.csv,1247,generated_v10_a_hotfix02_main_output
per_window/W160/raw_profile_detector_scores_W160.csv,9542,generated_v10_a_hotfix02_main_output
per_window/W160/selected_peak_delta_W160.csv,1735,generated_v10_a_hotfix02_main_output
per_window/W160/tau_sync_estimate_W160.csv,209,generated_v10_a_hotfix02_main_output
per_window/W160/timing_resolution_audit_W160.csv,552,generated_v10_a_hotfix02_main_output
per_window/W160/window_run_meta_W160.json,1182,generated_v10_a_hotfix02_main_output
per_window/W160/window_scope_W160.csv,663,generated_v10_a_hotfix02_main_output
run_meta.json,1675,generated_v10_a_hotfix02_main_output
