field,feature_id,marker,median,q05,q10,q25,q75,q90,q95,q025,q975,iqr,q90_width,q95_width,valid_fraction,same_day_fraction_if_relevant,edge_hit_fraction,bootstrap_stability_label
H,1,t35,38.0,34.0,34.0,35.0,40.0,46.0,49.0,30.975,52.0,5.0,15.0,21.025,1.0,0.102,0.025,unstable_feature_marker
H,1,t40,38.0,34.0,34.0,35.0,41.0,48.0,51.049999999999955,31.0,53.0,6.0,17.049999999999955,22.0,1.0,0.09,0.024,unstable_feature_marker
H,1,t45,39.0,34.0,34.0,36.0,43.0,49.0,52.0,31.0,53.0,7.0,18.0,22.0,1.0,0.105,0.024,unstable_feature_marker
H,1,t50,39.0,34.0,34.0,36.0,45.0,51.0,52.0,31.0,53.0,9.0,18.0,22.0,1.0,0.103,0.024,unstable_feature_marker
H,1,t75,42.0,34.0,35.0,38.0,51.0,53.0,54.0,33.0,55.0,13.0,20.0,22.0,1.0,0.03,0.023,unstable_feature_marker
H,1,peak_raw,45.0,33.0,33.0,35.0,53.0,60.0,60.0,32.0,60.0,18.0,27.0,28.0,1.0,0.044,0.192,unstable_feature_marker
H,1,peak_smooth3,40.0,32.0,33.0,34.0,53.0,59.0,59.0,32.0,59.0,19.0,27.0,27.0,1.0,0.063,0.0,unstable_feature_marker
H,1,duration_25_75,4.0,0.0,1.0,2.0,10.0,15.0,18.0,0.0,19.0,8.0,18.0,19.0,1.0,0.098,0.0,unstable_feature_marker
H,1,tail_50_75,2.0,0.0,0.0,1.0,3.0,8.0,13.0,0.0,16.0,2.0,13.0,16.0,1.0,0.208,0.0,unstable_feature_marker
H,1,early_span_25_50,2.0,0.0,0.0,1.0,3.0,9.0,13.0,0.0,16.0,2.0,13.0,16.0,1.0,0.2,0.0,unstable_feature_marker
H,2,departure90,43.0,37.0,37.0,38.0,49.0,55.0,56.0,37.0,57.0,11.0,19.0,20.0,0.954,0.035,0.0,unstable_feature_marker
H,2,departure95,43.0,37.0,37.0,38.0,49.0,55.0,56.0,37.0,57.0,11.0,19.0,20.0,0.948,0.034,0.0,unstable_feature_marker
H,2,t10,33.0,30.0,30.0,30.0,35.0,36.0,40.0,30.0,44.0,5.0,10.0,14.0,1.0,0.114,0.389,unstable_feature_marker
H,2,t15,33.0,30.0,30.0,30.0,35.0,40.0,45.0,30.0,47.0,5.0,15.0,17.0,1.0,0.086,0.353,unstable_feature_marker
H,2,t20,34.0,30.0,30.0,30.0,36.0,45.0,47.0,30.0,52.0,6.0,17.0,22.0,1.0,0.122,0.315,unstable_feature_marker
H,2,t25,34.0,30.0,30.0,30.0,39.0,46.0,49.0,30.0,53.0,9.0,19.0,23.0,1.0,0.113,0.298,unstable_feature_marker
H,2,t30,35.0,30.0,30.0,30.0,40.0,47.0,52.0,30.0,53.0,10.0,22.0,23.0,1.0,0.111,0.277,unstable_feature_marker
H,2,t35,35.0,30.0,30.0,30.0,42.0,48.0,53.0,30.0,54.0,12.0,23.0,24.0,1.0,0.099,0.263,unstable_feature_marker
H,2,t40,36.0,30.0,30.0,31.0,44.0,50.0,53.0,30.0,54.0,13.0,23.0,24.0,1.0,0.069,0.247,unstable_feature_marker
H,2,t45,36.0,30.0,30.0,32.0,45.0,51.10000000000002,53.0,30.0,54.0,13.0,23.0,24.0,1.0,0.063,0.235,unstable_feature_marker
H,2,t50,37.0,30.0,30.0,33.0,46.0,52.0,53.0,30.0,54.0,13.0,23.0,24.0,1.0,0.034,0.221,unstable_feature_marker
H,2,t75,41.0,30.0,30.0,34.0,50.0,54.0,55.0,30.0,56.0,16.0,25.0,26.0,1.0,0.023,0.165,unstable_feature_marker
H,2,peak_raw,48.0,33.0,36.0,42.0,53.0,60.0,60.0,33.0,60.0,11.0,27.0,27.0,1.0,0.053,0.107,unstable_feature_marker
H,2,peak_smooth3,47.0,33.0,35.0,41.0,53.0,56.0,59.0,32.0,59.0,12.0,26.0,27.0,1.0,0.075,0.0,unstable_feature_marker
H,2,duration_25_75,2.0,0.0,0.0,0.0,11.0,20.0,23.0,0.0,25.0,11.0,23.0,25.0,1.0,0.106,0.0,unstable_feature_marker
H,2,tail_50_75,1.0,0.0,0.0,0.0,2.0,10.0,18.0,0.0,23.0,2.0,18.0,23.0,1.0,0.311,0.0,unstable_feature_marker
H,2,early_span_25_50,1.0,0.0,0.0,0.0,3.0,14.0,18.0,0.0,21.0,3.0,18.0,21.0,1.0,0.251,0.0,unstable_feature_marker
H,3,departure90,37.0,37.0,37.0,37.0,38.0,44.0,51.0,37.0,53.0,1.0,14.0,16.0,0.986,0.738,0.0,unstable_feature_marker
H,3,departure95,37.0,37.0,37.0,37.0,37.25,44.0,51.0,37.0,53.0,0.25,14.0,16.0,0.984,0.738,0.0,unstable_feature_marker
H,3,t10,35.0,30.0,30.0,34.0,36.0,37.0,38.0,30.0,38.0,2.0,8.0,8.0,1.0,0.26,0.174,moderately_stable_feature_marker
H,3,t15,36.0,30.0,30.0,35.0,37.0,38.0,40.0,30.0,44.02499999999998,2.0,10.0,14.024999999999977,1.0,0.247,0.135,unstable_feature_marker
H,3,t20,36.0,30.0,32.0,35.0,38.0,40.0,44.0,30.0,51.0,3.0,14.0,21.0,1.0,0.233,0.089,unstable_feature_marker
H,3,t25,37.0,30.0,34.0,36.0,38.0,42.0,50.0,30.0,52.0,2.0,20.0,22.0,1.0,0.191,0.072,unstable_feature_marker
H,3,t30,37.0,30.0,34.0,36.0,39.0,43.0,51.0,30.0,53.0,3.0,21.0,23.0,1.0,0.188,0.066,unstable_feature_marker
H,3,t35,37.0,30.0,35.0,36.0,39.0,49.0,51.049999999999955,30.0,54.0,3.0,21.049999999999955,24.0,1.0,0.182,0.061,unstable_feature_marker
H,3,t40,37.0,30.0,35.0,36.0,40.0,50.0,52.0,30.0,54.0,4.0,22.0,24.0,1.0,0.172,0.057,unstable_feature_marker
H,3,t45,38.0,30.0,35.0,36.0,41.0,51.0,54.0,30.0,54.0,5.0,24.0,24.0,1.0,0.138,0.052,unstable_feature_marker
H,3,t50,38.0,32.0,35.0,36.0,42.0,52.0,54.0,30.0,55.0,6.0,22.0,25.0,1.0,0.127,0.047,unstable_feature_marker
H,3,t75,40.0,34.0,36.0,37.0,52.0,55.0,55.0,30.0,56.0,15.0,21.0,26.0,1.0,0.066,0.039,unstable_feature_marker
H,3,peak_raw,45.0,36.0,36.0,38.0,54.0,55.0,56.0,35.0,56.0,16.0,20.0,21.0,1.0,0.009,0.0,unstable_feature_marker
H,3,peak_smooth3,42.0,36.0,36.0,37.0,54.0,55.0,56.0,35.975,56.0,17.0,20.0,20.025,1.0,0.021,0.0,unstable_feature_marker
H,3,duration_25_75,2.0,0.0,1.0,1.0,10.0,17.0,18.0,0.0,20.0,9.0,18.0,20.0,1.0,0.186,0.0,unstable_feature_marker
H,3,tail_50_75,1.0,0.0,0.0,1.0,2.0,12.0,15.0,0.0,17.0,1.0,15.0,17.0,1.0,0.405,0.0,unstable_feature_marker
H,3,early_span_25_50,1.0,0.0,0.0,1.0,2.0,11.0,15.0,0.0,17.0,1.0,15.0,17.0,1.0,0.411,0.0,unstable_feature_marker
H,4,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.02499999999998,0.0,0.0,0.024999999999977263,1.0,0.975,0.0,stable_feature_marker
H,4,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.02499999999998,0.0,0.0,0.024999999999977263,1.0,0.975,0.0,stable_feature_marker
H,4,t10,36.0,35.0,35.0,35.0,36.0,37.0,38.0,34.0,39.0,1.0,3.0,5.0,1.0,0.372,0.002,stable_feature_marker
H,4,t15,36.0,35.0,35.0,35.0,37.0,38.0,39.0,35.0,40.0,2.0,4.0,5.0,1.0,0.399,0.0,moderately_stable_feature_marker
H,4,t20,36.0,35.0,35.0,36.0,37.0,38.0,39.0,35.0,41.0,1.0,4.0,6.0,1.0,0.389,0.0,moderately_stable_feature_marker
H,4,t25,37.0,35.0,36.0,36.0,38.0,39.0,41.0,35.0,42.0,2.0,6.0,7.0,1.0,0.307,0.0,moderately_stable_feature_marker
H,4,t30,37.0,36.0,36.0,36.0,38.0,39.0,42.0,35.0,43.0,2.0,6.0,8.0,1.0,0.298,0.0,moderately_stable_feature_marker
H,4,t35,38.0,36.0,36.0,37.0,39.0,40.0,43.0,36.0,47.0,2.0,7.0,11.0,1.0,0.252,0.0,moderately_stable_feature_marker
H,4,t40,38.0,36.0,36.0,37.0,39.0,42.0,44.0,36.0,50.0,2.0,8.0,14.0,1.0,0.251,0.0,moderately_stable_feature_marker
H,4,t45,38.0,36.0,36.0,37.0,40.0,43.0,50.0,36.0,51.0,3.0,14.0,15.0,1.0,0.226,0.0,unstable_feature_marker
H,4,t50,39.0,36.0,37.0,37.0,40.0,45.0,51.0,36.0,52.0,3.0,15.0,16.0,1.0,0.184,0.0,unstable_feature_marker
H,4,t75,41.5,37.0,38.0,39.0,52.0,54.0,55.0,37.0,55.0,13.0,18.0,18.0,1.0,0.0,0.0,unstable_feature_marker
H,4,peak_raw,38.0,35.0,36.0,37.0,51.0,55.0,55.0,34.0,56.0,14.0,20.0,22.0,1.0,0.162,0.0,unstable_feature_marker
H,4,peak_smooth3,38.0,36.0,36.0,37.0,50.0,55.0,55.0,35.0,56.0,13.0,19.0,21.0,1.0,0.212,0.0,unstable_feature_marker
H,4,duration_25_75,4.0,2.0,2.0,3.0,14.0,17.0,17.0,1.0,18.0,11.0,15.0,17.0,1.0,0.114,0.0,unstable_feature_marker
H,4,tail_50_75,2.0,1.0,1.0,1.0,7.0,14.0,15.0,1.0,16.0,6.0,14.0,15.0,1.0,0.26,0.0,unstable_feature_marker
H,4,early_span_25_50,2.0,1.0,1.0,1.0,3.0,5.0,12.0,1.0,13.024999999999977,2.0,11.0,12.024999999999977,1.0,0.364,0.0,unstable_feature_marker
H,5,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.997,0.0,stable_feature_marker
H,5,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.997,0.0,stable_feature_marker
H,5,t10,35.0,35.0,35.0,35.0,36.0,36.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.577,0.0,stable_feature_marker
H,5,t15,36.0,35.0,35.0,35.0,36.0,37.0,38.0,35.0,38.0,1.0,3.0,3.0,1.0,0.511,0.0,stable_feature_marker
H,5,t20,36.0,35.0,35.0,36.0,37.0,38.0,38.0,35.0,39.0,1.0,3.0,4.0,1.0,0.483,0.0,stable_feature_marker
H,5,t25,37.0,36.0,36.0,36.0,37.0,38.0,39.0,35.0,40.0,1.0,3.0,5.0,1.0,0.36,0.0,stable_feature_marker
H,5,t30,37.0,36.0,36.0,36.0,38.0,39.0,40.0,36.0,41.0,2.0,4.0,5.0,1.0,0.355,0.0,moderately_stable_feature_marker
H,5,t35,37.0,36.0,36.0,37.0,38.0,39.0,41.0,36.0,42.0,1.0,5.0,6.0,1.0,0.344,0.0,moderately_stable_feature_marker
H,5,t40,38.0,36.0,37.0,37.0,39.0,40.0,42.0,36.0,43.0,2.0,6.0,7.0,1.0,0.282,0.0,moderately_stable_feature_marker
H,5,t45,38.0,36.95,37.0,37.0,39.0,41.0,43.0,36.0,47.0,2.0,6.049999999999997,11.0,1.0,0.275,0.0,moderately_stable_feature_marker
H,5,t50,39.0,37.0,37.0,38.0,40.0,43.0,49.0,36.0,51.0,2.0,12.0,15.0,1.0,0.221,0.0,unstable_feature_marker
H,5,t75,42.0,38.0,39.0,40.0,52.0,54.0,54.0,37.0,54.0,12.0,16.0,17.0,1.0,0.065,0.0,unstable_feature_marker
H,5,peak_raw,38.0,35.0,35.0,36.0,39.0,54.0,55.0,32.0,55.0,3.0,20.0,23.0,1.0,0.18,0.0,unstable_feature_marker
H,5,peak_smooth3,37.0,35.0,35.0,36.0,39.0,54.0,55.0,33.0,55.0,3.0,20.0,22.0,1.0,0.195,0.0,unstable_feature_marker
H,5,duration_25_75,5.0,2.0,3.0,4.0,14.0,16.0,17.0,2.0,18.0,10.0,15.0,16.0,1.0,0.097,0.0,unstable_feature_marker
H,5,tail_50_75,3.0,1.0,1.0,2.0,10.0,13.100000000000023,15.0,1.0,15.0,8.0,14.0,14.0,1.0,0.151,0.0,unstable_feature_marker
H,5,early_span_25_50,2.0,1.0,1.0,2.0,3.0,4.0,9.0,1.0,12.0,1.0,8.0,11.0,1.0,0.45,0.0,moderately_stable_feature_marker
H,6,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.998,0.0,stable_feature_marker
H,6,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.998,0.0,stable_feature_marker
H,6,t10,35.0,35.0,35.0,35.0,36.0,36.0,36.0,35.0,37.0,1.0,1.0,2.0,1.0,0.669,0.0,stable_feature_marker
H,6,t15,36.0,35.0,35.0,35.0,36.0,37.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.538,0.0,stable_feature_marker
H,6,t20,36.0,35.0,35.0,36.0,37.0,37.0,38.0,35.0,38.0,1.0,3.0,3.0,1.0,0.56,0.0,stable_feature_marker
H,6,t25,37.0,36.0,36.0,36.0,37.0,38.0,38.0,35.0,39.0,1.0,2.0,4.0,1.0,0.359,0.0,stable_feature_marker
H,6,t30,37.0,36.0,36.0,36.0,38.0,39.0,39.0,36.0,40.0,2.0,3.0,4.0,1.0,0.375,0.0,stable_feature_marker
H,6,t35,37.0,36.0,36.0,37.0,38.0,39.0,40.0,36.0,41.0,1.0,4.0,5.0,1.0,0.344,0.0,moderately_stable_feature_marker
H,6,t40,38.0,36.0,37.0,37.0,39.0,40.0,41.0,36.0,42.0,2.0,5.0,6.0,1.0,0.308,0.0,moderately_stable_feature_marker
H,6,t45,38.0,37.0,37.0,37.0,39.0,41.0,42.0,36.0,43.0,2.0,5.0,7.0,1.0,0.285,0.0,moderately_stable_feature_marker
H,6,t50,39.0,37.0,37.0,38.0,40.0,42.0,44.0,37.0,50.0,2.0,7.0,13.0,1.0,0.242,0.0,moderately_stable_feature_marker
H,6,t75,43.0,38.0,39.0,40.0,52.0,53.0,54.0,38.0,54.0,12.0,16.0,16.0,1.0,0.061,0.0,unstable_feature_marker
H,6,peak_raw,36.0,34.0,35.0,36.0,39.0,51.0,54.0,32.0,55.0,3.0,20.0,23.0,1.0,0.312,0.0,unstable_feature_marker
H,6,peak_smooth3,37.0,34.0,35.0,36.0,38.0,50.0,54.0,33.0,55.0,2.0,20.0,22.0,1.0,0.192,0.0,unstable_feature_marker
H,6,duration_25_75,6.0,2.0,3.0,4.0,15.0,16.0,17.0,2.0,18.0,11.0,15.0,16.0,1.0,0.078,0.0,unstable_feature_marker
H,6,tail_50_75,4.0,1.0,1.0,2.0,11.0,13.0,15.0,1.0,15.0,9.0,14.0,14.0,1.0,0.083,0.0,unstable_feature_marker
H,6,early_span_25_50,2.0,1.0,1.0,2.0,3.0,4.0,6.0,1.0,12.0,1.0,5.0,11.0,1.0,0.475,0.0,moderately_stable_feature_marker
H,7,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.999,0.0,stable_feature_marker
H,7,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.999,0.0,stable_feature_marker
H,7,t10,35.0,35.0,35.0,35.0,35.0,36.0,36.0,35.0,36.0,0.0,1.0,1.0,1.0,0.755,0.0,stable_feature_marker
H,7,t15,36.0,35.0,35.0,35.0,36.0,36.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.528,0.0,stable_feature_marker
H,7,t20,36.0,35.0,35.0,36.0,37.0,37.0,38.0,35.0,38.0,1.0,3.0,3.0,1.0,0.607,0.0,stable_feature_marker
H,7,t25,36.0,36.0,36.0,36.0,37.0,38.0,38.0,35.0,39.0,1.0,2.0,4.0,1.0,0.471,0.0,stable_feature_marker
H,7,t30,37.0,36.0,36.0,36.0,38.0,38.0,39.0,36.0,40.0,2.0,3.0,4.0,1.0,0.387,0.0,stable_feature_marker
H,7,t35,37.0,36.0,36.0,37.0,38.0,39.0,40.0,36.0,41.0,1.0,4.0,5.0,1.0,0.349,0.0,moderately_stable_feature_marker
H,7,t40,38.0,36.0,37.0,37.0,39.0,40.0,41.0,36.0,42.0,2.0,5.0,6.0,1.0,0.305,0.0,moderately_stable_feature_marker
H,7,t45,38.0,37.0,37.0,37.0,39.0,41.0,43.0,36.0,49.0,2.0,6.0,13.0,1.0,0.293,0.0,moderately_stable_feature_marker
H,7,t50,39.0,37.0,37.0,38.0,40.0,43.0,49.0,36.0,50.0,2.0,12.0,14.0,1.0,0.232,0.0,unstable_feature_marker
H,7,t75,50.0,38.0,39.0,40.75,52.0,53.0,54.0,38.0,54.0,11.25,16.0,16.0,1.0,0.074,0.0,unstable_feature_marker
H,7,peak_raw,36.0,32.0,35.0,35.0,38.0,50.0,53.0,31.0,55.0,3.0,21.0,24.0,1.0,0.335,0.0,unstable_feature_marker
H,7,peak_smooth3,36.0,32.95,35.0,35.0,38.0,50.0,52.0,32.0,55.0,3.0,19.049999999999997,23.0,1.0,0.298,0.0,unstable_feature_marker
H,7,duration_25_75,13.0,2.0,3.0,4.0,15.0,16.0,17.0,2.0,18.0,11.0,15.0,16.0,1.0,0.067,0.0,unstable_feature_marker
H,7,tail_50_75,5.0,1.0,2.0,2.0,12.0,14.0,15.0,1.0,15.0,10.0,14.0,14.0,1.0,0.016,0.0,unstable_feature_marker
H,7,early_span_25_50,2.0,1.0,1.0,2.0,3.0,5.0,11.0,1.0,12.0,1.0,10.0,11.0,1.0,0.403,0.0,unstable_feature_marker
H,8,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.997,0.0,stable_feature_marker
H,8,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.997,0.0,stable_feature_marker
H,8,t10,35.0,35.0,35.0,35.0,35.0,36.0,36.0,34.0,36.0,0.0,1.0,2.0,1.0,0.802,0.0,stable_feature_marker
H,8,t15,36.0,35.0,35.0,35.0,36.0,36.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.501,0.0,stable_feature_marker
H,8,t20,36.0,35.0,35.0,36.0,36.0,37.0,38.0,35.0,38.0,0.0,3.0,3.0,1.0,0.613,0.0,stable_feature_marker
H,8,t25,36.0,35.0,36.0,36.0,37.0,38.0,38.0,35.0,39.0,1.0,3.0,4.0,1.0,0.472,0.0,stable_feature_marker
H,8,t30,37.0,36.0,36.0,36.0,38.0,38.0,39.0,36.0,40.0,2.0,3.0,4.0,1.0,0.377,0.0,stable_feature_marker
H,8,t35,37.0,36.0,36.0,37.0,38.0,39.0,40.0,36.0,43.0,1.0,4.0,7.0,1.0,0.333,0.0,moderately_stable_feature_marker
H,8,t40,38.0,36.0,36.0,37.0,39.0,41.0,44.0,36.0,49.0,2.0,8.0,13.0,1.0,0.286,0.0,moderately_stable_feature_marker
H,8,t45,38.0,36.0,37.0,38.0,40.0,45.0,49.0,36.0,50.0,2.0,13.0,14.0,1.0,0.267,0.0,unstable_feature_marker
H,8,t50,39.0,37.0,37.0,38.0,42.0,50.0,50.0,36.0,51.0,4.0,13.0,15.0,1.0,0.205,0.0,unstable_feature_marker
H,8,t75,51.0,38.0,39.0,44.0,53.0,53.0,54.0,38.0,54.0,9.0,16.0,16.0,1.0,0.182,0.0,unstable_feature_marker
H,8,peak_raw,36.0,31.0,31.0,35.0,38.0,50.0,50.0,31.0,54.02499999999998,3.0,19.0,23.024999999999977,1.0,0.263,0.001,unstable_feature_marker
H,8,peak_smooth3,36.0,32.0,32.0,35.0,37.0,50.0,51.0,32.0,55.0,2.0,19.0,23.0,1.0,0.243,0.0,unstable_feature_marker
H,8,duration_25_75,14.0,3.0,3.0,7.0,16.0,17.0,18.0,2.0,18.0,9.0,15.0,16.0,1.0,0.142,0.0,unstable_feature_marker
H,8,tail_50_75,9.0,1.0,2.0,3.0,13.0,15.0,15.0,1.0,16.0,10.0,14.0,15.0,1.0,0.024,0.0,unstable_feature_marker
H,8,early_span_25_50,3.0,1.0,1.0,2.0,5.0,12.0,13.0,1.0,14.0,3.0,12.0,13.0,1.0,0.206,0.0,unstable_feature_marker
H,9,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.988,0.0,stable_feature_marker
H,9,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,1.0,0.987,0.0,stable_feature_marker
H,9,t10,35.0,34.0,35.0,35.0,35.0,36.0,36.0,34.0,36.0,0.0,2.0,2.0,1.0,0.755,0.0,stable_feature_marker
H,9,t15,36.0,35.0,35.0,35.0,36.0,36.0,37.0,35.0,37.0,1.0,2.0,2.0,1.0,0.505,0.0,stable_feature_marker
H,9,t20,36.0,35.0,35.0,36.0,37.0,37.0,38.0,35.0,38.02499999999998,1.0,3.0,3.0249999999999773,1.0,0.56,0.0,stable_feature_marker
H,9,t25,37.0,35.0,36.0,36.0,37.0,38.0,39.0,35.0,41.0,1.0,4.0,6.0,1.0,0.339,0.0,moderately_stable_feature_marker
H,9,t30,37.0,36.0,36.0,36.0,38.0,39.0,42.0,36.0,46.02499999999998,2.0,6.0,10.024999999999977,1.0,0.36,0.0,moderately_stable_feature_marker
H,9,t35,38.0,36.0,36.0,37.0,39.0,43.0,48.0,36.0,49.0,2.0,12.0,13.0,1.0,0.276,0.0,unstable_feature_marker
H,9,t40,38.0,36.0,37.0,37.0,41.0,49.0,50.0,36.0,50.0,4.0,14.0,14.0,1.0,0.259,0.0,unstable_feature_marker
H,9,t45,39.0,37.0,37.0,38.0,48.0,50.0,50.0,36.0,51.0,10.0,13.0,15.0,1.0,0.142,0.0,unstable_feature_marker
H,9,t50,43.0,37.0,37.0,38.0,50.0,50.0,51.0,37.0,52.0,12.0,14.0,15.0,1.0,0.04,0.0,unstable_feature_marker
H,9,t75,52.0,40.95,50.0,51.0,53.0,54.0,54.0,38.0,54.0,2.0,13.049999999999997,16.0,1.0,0.209,0.0,unstable_feature_marker
H,9,peak_raw,36.0,31.0,31.0,31.0,50.0,50.0,50.0,31.0,54.02499999999998,19.0,19.0,23.024999999999977,1.0,0.129,0.005,unstable_feature_marker
H,9,peak_smooth3,36.0,32.0,32.0,32.0,50.0,51.0,53.0,32.0,55.0,18.0,21.0,23.0,1.0,0.143,0.0,unstable_feature_marker
H,9,duration_25_75,15.0,4.0,11.0,14.0,16.25,17.0,18.0,3.0,18.0,2.25,14.0,15.0,1.0,0.19,0.0,unstable_feature_marker
H,9,tail_50_75,5.0,2.0,2.0,3.0,13.0,15.0,16.0,1.0,16.0,10.0,14.0,15.0,1.0,0.031,0.0,unstable_feature_marker
H,9,early_span_25_50,5.0,1.0,2.0,2.0,12.0,14.0,14.0,1.0,15.0,10.0,13.0,14.0,1.0,0.031,0.0,unstable_feature_marker
H,10,departure90,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,39.02499999999998,0.0,0.0,2.0249999999999773,1.0,0.962,0.0,stable_feature_marker
H,10,departure95,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,42.02499999999998,0.0,0.0,5.024999999999977,1.0,0.956,0.0,stable_feature_marker
H,10,t10,35.0,34.0,35.0,35.0,36.0,36.0,36.0,34.0,37.0,1.0,2.0,3.0,1.0,0.635,0.0,stable_feature_marker
