year,mode,object,metric,value
2020,raw,H,H_strength_transition,20.32071643937161
2021,raw,H,H_strength_transition,26.86527061187826
2022,raw,H,H_strength_transition,8.607826564776587
2023,raw,H,H_strength_transition,-5.614863454434271
1979,raw,H,H_centroid_lat_transition,0.007312569854608597
1980,raw,H,H_centroid_lat_transition,0.0066525150874419126
1981,raw,H,H_centroid_lat_transition,0.007465940708289764
1982,raw,H,H_centroid_lat_transition,0.012675250142244465
1983,raw,H,H_centroid_lat_transition,-0.00222665892553664
1984,raw,H,H_centroid_lat_transition,0.007524611813074955
1985,raw,H,H_centroid_lat_transition,0.01024047684690288
1986,raw,H,H_centroid_lat_transition,-0.012926223750852728
1987,raw,H,H_centroid_lat_transition,0.002363998937799039
1988,raw,H,H_centroid_lat_transition,0.007836709139986908
1989,raw,H,H_centroid_lat_transition,0.011150819512590004
1990,raw,H,H_centroid_lat_transition,0.004655117871795511
1991,raw,H,H_centroid_lat_transition,0.02153272026059483
1992,raw,H,H_centroid_lat_transition,0.02393967807458708
1993,raw,H,H_centroid_lat_transition,0.00421923537355795
1994,raw,H,H_centroid_lat_transition,-0.0006352938315323797
1995,raw,H,H_centroid_lat_transition,-0.005916129587742347
1996,raw,H,H_centroid_lat_transition,-0.009767672112349857
1997,raw,H,H_centroid_lat_transition,0.014871714033269257
1998,raw,H,H_centroid_lat_transition,0.004421864320150348
1999,raw,H,H_centroid_lat_transition,-0.013889610264950392
2000,raw,H,H_centroid_lat_transition,0.023206393107610523
2001,raw,H,H_centroid_lat_transition,0.001558357264464405
2002,raw,H,H_centroid_lat_transition,-0.0037861335648976535
2003,raw,H,H_centroid_lat_transition,-0.0026161815083156625
2004,raw,H,H_centroid_lat_transition,-0.0011016531577041633
2005,raw,H,H_centroid_lat_transition,-0.009487212990592298
2006,raw,H,H_centroid_lat_transition,0.032545557314044515
2007,raw,H,H_centroid_lat_transition,0.013369966631799457
2008,raw,H,H_centroid_lat_transition,0.008563022114099539
2009,raw,H,H_centroid_lat_transition,0.022908488422210382
2010,raw,H,H_centroid_lat_transition,0.020353474956781525
2011,raw,H,H_centroid_lat_transition,0.025111845107975483
2012,raw,H,H_centroid_lat_transition,0.0022612429602659745
2013,raw,H,H_centroid_lat_transition,0.013834217770597235
2014,raw,H,H_centroid_lat_transition,0.002354143681184695
2015,raw,H,H_centroid_lat_transition,0.001242808014286112
2016,raw,H,H_centroid_lat_transition,0.01797020343819611
2017,raw,H,H_centroid_lat_transition,0.014277013752799661
2018,raw,H,H_centroid_lat_transition,0.004883423218672078
2019,raw,H,H_centroid_lat_transition,-0.004035498572552143
2020,raw,H,H_centroid_lat_transition,0.016656710625518656
2021,raw,H,H_centroid_lat_transition,0.017310889004296115
2022,raw,H,H_centroid_lat_transition,0.011106810840104231
2023,raw,H,H_centroid_lat_transition,0.0035766139739372704
1979,raw,H,H_west_extent_lon_transition,6.049999999999997
1980,raw,H,H_west_extent_lon_transition,4.049999999999997
1981,raw,H,H_west_extent_lon_transition,3.0
1982,raw,H,H_west_extent_lon_transition,5.549999999999997
1983,raw,H,H_west_extent_lon_transition,-8.150000000000006
1984,raw,H,H_west_extent_lon_transition,0.0
1985,raw,H,H_west_extent_lon_transition,2.700000000000003
1986,raw,H,H_west_extent_lon_transition,0.0
1987,raw,H,H_west_extent_lon_transition,0.0
1988,raw,H,H_west_extent_lon_transition,-3.549999999999997
1989,raw,H,H_west_extent_lon_transition,9.150000000000006
1990,raw,H,H_west_extent_lon_transition,4.75
1991,raw,H,H_west_extent_lon_transition,-0.7000000000000028
1992,raw,H,H_west_extent_lon_transition,-0.15000000000000568
1993,raw,H,H_west_extent_lon_transition,-8.150000000000006
1994,raw,H,H_west_extent_lon_transition,0.29999999999999716
1995,raw,H,H_west_extent_lon_transition,-8.099999999999994
1996,raw,H,H_west_extent_lon_transition,0.0
1997,raw,H,H_west_extent_lon_transition,0.9000000000000057
1998,raw,H,H_west_extent_lon_transition,0.0
1999,raw,H,H_west_extent_lon_transition,-5.200000000000003
2000,raw,H,H_west_extent_lon_transition,0.0
2001,raw,H,H_west_extent_lon_transition,0.04999999999999716
2002,raw,H,H_west_extent_lon_transition,1.9000000000000057
2003,raw,H,H_west_extent_lon_transition,5.0
2004,raw,H,H_west_extent_lon_transition,9.650000000000006
2005,raw,H,H_west_extent_lon_transition,0.25
2006,raw,H,H_west_extent_lon_transition,-2.200000000000003
2007,raw,H,H_west_extent_lon_transition,-2.9000000000000057
2008,raw,H,H_west_extent_lon_transition,-0.04999999999999716
2009,raw,H,H_west_extent_lon_transition,0.0
2010,raw,H,H_west_extent_lon_transition,0.0
2011,raw,H,H_west_extent_lon_transition,9.049999999999997
2012,raw,H,H_west_extent_lon_transition,0.0
2013,raw,H,H_west_extent_lon_transition,0.20000000000000284
2014,raw,H,H_west_extent_lon_transition,5.950000000000003
2015,raw,H,H_west_extent_lon_transition,6.200000000000003
2016,raw,H,H_west_extent_lon_transition,0.0
2017,raw,H,H_west_extent_lon_transition,6.200000000000003
2018,raw,H,H_west_extent_lon_transition,-1.8999999999999915
2019,raw,H,H_west_extent_lon_transition,0.0
2020,raw,H,H_west_extent_lon_transition,-0.09999999999999432
2021,raw,H,H_west_extent_lon_transition,4.150000000000006
2022,raw,H,H_west_extent_lon_transition,1.25
2023,raw,H,H_west_extent_lon_transition,-0.7000000000000028
1979,raw,H,H_zonal_width_transition,-6.150000000000002
1980,raw,H,H_zonal_width_transition,-4.050000000000001
1981,raw,H,H_zonal_width_transition,-1.5
1982,raw,H,H_zonal_width_transition,-5.550000000000001
1983,raw,H,H_zonal_width_transition,6.75
1984,raw,H,H_zonal_width_transition,0.0
1985,raw,H,H_zonal_width_transition,-3.25
1986,raw,H,H_zonal_width_transition,7.0
1987,raw,H,H_zonal_width_transition,-0.8500000000000014
1988,raw,H,H_zonal_width_transition,0.05000000000000071
1989,raw,H,H_zonal_width_transition,-9.149999999999999
1990,raw,H,H_zonal_width_transition,4.850000000000001
1991,raw,H,H_zonal_width_transition,-4.449999999999999
1992,raw,H,H_zonal_width_transition,-5.600000000000001
1993,raw,H,H_zonal_width_transition,4.5
1994,raw,H,H_zonal_width_transition,-0.3000000000000007
1995,raw,H,H_zonal_width_transition,8.350000000000001
1996,raw,H,H_zonal_width_transition,0.3500000000000014
1997,raw,H,H_zonal_width_transition,-0.9000000000000004
1998,raw,H,H_zonal_width_transition,0.8000000000000007
1999,raw,H,H_zonal_width_transition,5.199999999999999
2000,raw,H,H_zonal_width_transition,0.0
2001,raw,H,H_zonal_width_transition,3.75
2002,raw,H,H_zonal_width_transition,1.0500000000000007
2003,raw,H,H_zonal_width_transition,-5.300000000000001
2004,raw,H,H_zonal_width_transition,-8.75
2005,raw,H,H_zonal_width_transition,-0.25
2006,raw,H,H_zonal_width_transition,-0.25
2007,raw,H,H_zonal_width_transition,2.8999999999999986
2008,raw,H,H_zonal_width_transition,0.05000000000000071
2009,raw,H,H_zonal_width_transition,0.0
2010,raw,H,H_zonal_width_transition,0.0
2011,raw,H,H_zonal_width_transition,-9.05
2012,raw,H,H_zonal_width_transition,1.9499999999999993
2013,raw,H,H_zonal_width_transition,-0.1999999999999993
2014,raw,H,H_zonal_width_transition,-5.949999999999999
2015,raw,H,H_zonal_width_transition,-6.199999999999999
2016,raw,H,H_zonal_width_transition,-0.8000000000000007
2017,raw,H,H_zonal_width_transition,-6.199999999999999
2018,raw,H,H_zonal_width_transition,-0.9000000000000021
2019,raw,H,H_zonal_width_transition,0.0
2020,raw,H,H_zonal_width_transition,-4.800000000000001
2021,raw,H,H_zonal_width_transition,-4.149999999999999
2022,raw,H,H_zonal_width_transition,-1.25
2023,raw,H,H_zonal_width_transition,-3.75
1979,raw,H,H_north_edge_lat_transition,0.9499999999999993
1980,raw,H,H_north_edge_lat_transition,2.349999999999998
1981,raw,H,H_north_edge_lat_transition,2.1499999999999986
1982,raw,H,H_north_edge_lat_transition,4.399999999999999
1983,raw,H,H_north_edge_lat_transition,-3.6000000000000014
1984,raw,H,H_north_edge_lat_transition,2.200000000000003
1985,raw,H,H_north_edge_lat_transition,2.3999999999999986
1986,raw,H,H_north_edge_lat_transition,-0.6499999999999986
1987,raw,H,H_north_edge_lat_transition,0.3500000000000014
1988,raw,H,H_north_edge_lat_transition,-1.6000000000000014
1989,raw,H,H_north_edge_lat_transition,4.050000000000001
1990,raw,H,H_north_edge_lat_transition,2.3500000000000014
1991,raw,H,H_north_edge_lat_transition,1.6999999999999993
1992,raw,H,H_north_edge_lat_transition,1.0500000000000007
1993,raw,H,H_north_edge_lat_transition,-2.599999999999998
1994,raw,H,H_north_edge_lat_transition,3.200000000000003
1995,raw,H,H_north_edge_lat_transition,-0.9000000000000021
1996,raw,H,H_north_edge_lat_transition,0.4499999999999993
1997,raw,H,H_north_edge_lat_transition,0.10000000000000142
1998,raw,H,H_north_edge_lat_transition,4.899999999999999
1999,raw,H,H_north_edge_lat_transition,1.9499999999999993
2000,raw,H,H_north_edge_lat_transition,2.3000000000000007
2001,raw,H,H_north_edge_lat_transition,1.1500000000000021
2002,raw,H,H_north_edge_lat_transition,-0.5
2003,raw,H,H_north_edge_lat_transition,-2.0500000000000007
2004,raw,H,H_north_edge_lat_transition,3.4499999999999993
2005,raw,H,H_north_edge_lat_transition,0.3000000000000007
2006,raw,H,H_north_edge_lat_transition,1.5
2007,raw,H,H_north_edge_lat_transition,1.6999999999999993
2008,raw,H,H_north_edge_lat_transition,1.3000000000000007
2009,raw,H,H_north_edge_lat_transition,1.8500000000000014
2010,raw,H,H_north_edge_lat_transition,-1.4000000000000021
2011,raw,H,H_north_edge_lat_transition,2.400000000000002
2012,raw,H,H_north_edge_lat_transition,1.5
2013,raw,H,H_north_edge_lat_transition,-1.4499999999999993
2014,raw,H,H_north_edge_lat_transition,2.1999999999999993
2015,raw,H,H_north_edge_lat_transition,3.8000000000000007
2016,raw,H,H_north_edge_lat_transition,2.6000000000000014
2017,raw,H,H_north_edge_lat_transition,3.3999999999999986
2018,raw,H,H_north_edge_lat_transition,0.20000000000000284
2019,raw,H,H_north_edge_lat_transition,-0.75
2020,raw,H,H_north_edge_lat_transition,2.6000000000000014
2021,raw,H,H_north_edge_lat_transition,2.3999999999999986
2022,raw,H,H_north_edge_lat_transition,0.8499999999999979
2023,raw,H,H_north_edge_lat_transition,0.75
1979,raw,H,H_south_edge_lat_transition,0.0
1980,raw,H,H_south_edge_lat_transition,0.05000000000000071
1981,raw,H,H_south_edge_lat_transition,0.0
1982,raw,H,H_south_edge_lat_transition,0.09999999999999964
1983,raw,H,H_south_edge_lat_transition,-0.6500000000000004
1984,raw,H,H_south_edge_lat_transition,0.0
1985,raw,H,H_south_edge_lat_transition,0.9000000000000004
1986,raw,H,H_south_edge_lat_transition,0.0
1987,raw,H,H_south_edge_lat_transition,0.0
1988,raw,H,H_south_edge_lat_transition,0.0
1989,raw,H,H_south_edge_lat_transition,0.0
1990,raw,H,H_south_edge_lat_transition,0.0
1991,raw,H,H_south_edge_lat_transition,0.0
1992,raw,H,H_south_edge_lat_transition,0.0
1993,raw,H,H_south_edge_lat_transition,0.0
1994,raw,H,H_south_edge_lat_transition,0.0
1995,raw,H,H_south_edge_lat_transition,-0.5500000000000007
1996,raw,H,H_south_edge_lat_transition,0.0
1997,raw,H,H_south_edge_lat_transition,0.0
1998,raw,H,H_south_edge_lat_transition,0.0
1999,raw,H,H_south_edge_lat_transition,0.0
2000,raw,H,H_south_edge_lat_transition,0.0
2001,raw,H,H_south_edge_lat_transition,0.0
2002,raw,H,H_south_edge_lat_transition,0.0
2003,raw,H,H_south_edge_lat_transition,0.05000000000000071
2004,raw,H,H_south_edge_lat_transition,0.0
2005,raw,H,H_south_edge_lat_transition,0.0
2006,raw,H,H_south_edge_lat_transition,0.5500000000000007
2007,raw,H,H_south_edge_lat_transition,0.0
2008,raw,H,H_south_edge_lat_transition,0.0
2009,raw,H,H_south_edge_lat_transition,0.0
2010,raw,H,H_south_edge_lat_transition,0.0
2011,raw,H,H_south_edge_lat_transition,0.0
2012,raw,H,H_south_edge_lat_transition,0.0
2013,raw,H,H_south_edge_lat_transition,0.0
2014,raw,H,H_south_edge_lat_transition,0.0
2015,raw,H,H_south_edge_lat_transition,0.0
2016,raw,H,H_south_edge_lat_transition,0.0
2017,raw,H,H_south_edge_lat_transition,0.0
2018,raw,H,H_south_edge_lat_transition,-0.05000000000000071
2019,raw,H,H_south_edge_lat_transition,0.0
2020,raw,H,H_south_edge_lat_transition,0.0
2021,raw,H,H_south_edge_lat_transition,0.9000000000000004
2022,raw,H,H_south_edge_lat_transition,0.0
2023,raw,H,H_south_edge_lat_transition,0.0
1979,raw,P,P_total_strength_transition,3.3636715958783086
1980,raw,P,P_total_strength_transition,1.3351108444913464
1981,raw,P,P_total_strength_transition,0.28558113745458513
1982,raw,P,P_total_strength_transition,0.9603406034847124
1983,raw,P,P_total_strength_transition,0.7225193257093814
1984,raw,P,P_total_strength_transition,2.7758328894097897
1985,raw,P,P_total_strength_transition,0.4230529457293857
1986,raw,P,P_total_strength_transition,1.0327357644910027
1987,raw,P,P_total_strength_transition,2.6810236419928524
1988,raw,P,P_total_strength_transition,1.500038856212801
1989,raw,P,P_total_strength_transition,2.4925184327546344
1990,raw,P,P_total_strength_transition,-0.3221818266421508
1991,raw,P,P_total_strength_transition,0.7307612781768666
1992,raw,P,P_total_strength_transition,-0.38270891615099245
1993,raw,P,P_total_strength_transition,0.837436202798937
1994,raw,P,P_total_strength_transition,-0.3559353013372508
1995,raw,P,P_total_strength_transition,-0.8283782801111563
1996,raw,P,P_total_strength_transition,1.8425302832411479
1997,raw,P,P_total_strength_transition,0.048390614694162615
1998,raw,P,P_total_strength_transition,1.351945471386486
1999,raw,P,P_total_strength_transition,0.21527892126477255
2000,raw,P,P_total_strength_transition,2.2652298074855874
2001,raw,P,P_total_strength_transition,0.20071622916861287
2002,raw,P,P_total_strength_transition,0.42203297133692885
2003,raw,P,P_total_strength_transition,-0.04329854080602491
2004,raw,P,P_total_strength_transition,2.303858698339724
2005,raw,P,P_total_strength_transition,-1.8583658940465853
2006,raw,P,P_total_strength_transition,1.0566843410866404
2007,raw,P,P_total_strength_transition,1.7795388539512853
2008,raw,P,P_total_strength_transition,-2.2990753801112334
2009,raw,P,P_total_strength_transition,0.8580919719685518
2010,raw,P,P_total_strength_transition,1.3775120143450215
2011,raw,P,P_total_strength_transition,-0.006906024968887259
2012,raw,P,P_total_strength_transition,2.3574753065596195
2013,raw,P,P_total_strength_transition,1.1804573938138958
2014,raw,P,P_total_strength_transition,-0.6474181642188857
2015,raw,P,P_total_strength_transition,1.4836989712493143
2016,raw,P,P_total_strength_transition,1.7268388126025123
2017,raw,P,P_total_strength_transition,3.466384955113961
2018,raw,P,P_total_strength_transition,0.061057854232223985
2019,raw,P,P_total_strength_transition,0.39822725990511554
2020,raw,P,P_total_strength_transition,3.8703942344561426
2021,raw,P,P_total_strength_transition,1.4173877041899061
2022,raw,P,P_total_strength_transition,-0.19956828232168888
2023,raw,P,P_total_strength_transition,1.0582916064482397
1979,raw,P,P_total_strength_M_full,9.607814950077096
1980,raw,P,P_total_strength_M_full,10.521646487891342
1981,raw,P,P_total_strength_M_full,8.631031409061286
1982,raw,P,P_total_strength_M_full,6.534944161049368
1983,raw,P,P_total_strength_M_full,9.134525070024724
1984,raw,P,P_total_strength_M_full,7.7241659151279976
1985,raw,P,P_total_strength_M_full,4.862816513208486
1986,raw,P,P_total_strength_M_full,8.543502496020583
1987,raw,P,P_total_strength_M_full,7.550306900796588
1988,raw,P,P_total_strength_M_full,6.821829409886482
1989,raw,P,P_total_strength_M_full,8.375067816341128
1990,raw,P,P_total_strength_M_full,6.909409820036352
1991,raw,P,P_total_strength_M_full,7.416933657576712
1992,raw,P,P_total_strength_M_full,6.691816861315082
1993,raw,P,P_total_strength_M_full,4.839892412061214
1994,raw,P,P_total_strength_M_full,6.133107987621664
1995,raw,P,P_total_strength_M_full,9.448484453946843
1996,raw,P,P_total_strength_M_full,9.743696833120175
1997,raw,P,P_total_strength_M_full,6.089534347392828
1998,raw,P,P_total_strength_M_full,8.515439164083533
1999,raw,P,P_total_strength_M_full,7.077036412265226
2000,raw,P,P_total_strength_M_full,8.827799954758483
2001,raw,P,P_total_strength_M_full,9.218945787623475
2002,raw,P,P_total_strength_M_full,7.309554294558028
2003,raw,P,P_total_strength_M_full,7.555058623143152
2004,raw,P,P_total_strength_M_full,9.130146058520545
2005,raw,P,P_total_strength_M_full,6.8190898247028535
2006,raw,P,P_total_strength_M_full,9.346414783514986
2007,raw,P,P_total_strength_M_full,4.541198224746487
2008,raw,P,P_total_strength_M_full,12.039853540560614
2009,raw,P,P_total_strength_M_full,4.5502578653856665
2010,raw,P,P_total_strength_M_full,6.708122252775671
2011,raw,P,P_total_strength_M_full,7.168908611186203
2012,raw,P,P_total_strength_M_full,8.296566616658446
2013,raw,P,P_total_strength_M_full,9.013241577945209
2014,raw,P,P_total_strength_M_full,8.109489545888149
2015,raw,P,P_total_strength_M_full,8.333091963594901
2016,raw,P,P_total_strength_M_full,6.483627054085566
2017,raw,P,P_total_strength_M_full,8.179189616192915
2018,raw,P,P_total_strength_M_full,3.378884267549959
2019,raw,P,P_total_strength_M_full,6.475131698163144
2020,raw,P,P_total_strength_M_full,7.246804442342281
2021,raw,P,P_total_strength_M_full,8.055806404352714
2022,raw,P,P_total_strength_M_full,10.255133944369106
2023,raw,P,P_total_strength_M_full,5.514411124232071
1979,raw,P,P_centroid_lat_transition,-2.895058216972533
1980,raw,P,P_centroid_lat_transition,-1.233694241009914
1981,raw,P,P_centroid_lat_transition,-0.8033321354198897
1982,raw,P,P_centroid_lat_transition,-2.7500950766169403
1983,raw,P,P_centroid_lat_transition,-1.189560569410645
1984,raw,P,P_centroid_lat_transition,-1.3490193341341907
1985,raw,P,P_centroid_lat_transition,-2.053270153120085
1986,raw,P,P_centroid_lat_transition,0.17784530526286346
1987,raw,P,P_centroid_lat_transition,-1.350302138050182
1988,raw,P,P_centroid_lat_transition,0.8445716865797017
1989,raw,P,P_centroid_lat_transition,-2.3206239042028756
1990,raw,P,P_centroid_lat_transition,-0.012669738053219248
1991,raw,P,P_centroid_lat_transition,2.6529326835120415
1992,raw,P,P_centroid_lat_transition,-0.7420172036283965
1993,raw,P,P_centroid_lat_transition,0.4246087128249165
1994,raw,P,P_centroid_lat_transition,-1.185266116188732
1995,raw,P,P_centroid_lat_transition,0.9972921722208952
1996,raw,P,P_centroid_lat_transition,0.4042252566416451
1997,raw,P,P_centroid_lat_transition,-2.554627778796469
1998,raw,P,P_centroid_lat_transition,-2.63804380061206
1999,raw,P,P_centroid_lat_transition,1.0009864925417347
2000,raw,P,P_centroid_lat_transition,-0.08065371435613855
2001,raw,P,P_centroid_lat_transition,1.4182423962864767
2002,raw,P,P_centroid_lat_transition,-2.144617134288943
2003,raw,P,P_centroid_lat_transition,-1.267158485941561
2004,raw,P,P_centroid_lat_transition,-2.390452149363899
2005,raw,P,P_centroid_lat_transition,0.2156282744588225
2006,raw,P,P_centroid_lat_transition,-0.5581302363378917
2007,raw,P,P_centroid_lat_transition,0.16389792373993117
2008,raw,P,P_centroid_lat_transition,0.24512547900762627
2009,raw,P,P_centroid_lat_transition,2.1731619065351566
2010,raw,P,P_centroid_lat_transition,0.7334544268021332
2011,raw,P,P_centroid_lat_transition,-1.3475652367412287
2012,raw,P,P_centroid_lat_transition,-0.772025481409834
2013,raw,P,P_centroid_lat_transition,-0.4926861400353282
2014,raw,P,P_centroid_lat_transition,0.032436546315786075
2015,raw,P,P_centroid_lat_transition,-1.0330077287789372
2016,raw,P,P_centroid_lat_transition,-1.7641143980340033
2017,raw,P,P_centroid_lat_transition,-3.2396204710290952
2018,raw,P,P_centroid_lat_transition,1.5040488094863171
2019,raw,P,P_centroid_lat_transition,1.7157019192096925
2020,raw,P,P_centroid_lat_transition,-1.009217143611881
2021,raw,P,P_centroid_lat_transition,-0.13474949794509783
2022,raw,P,P_centroid_lat_transition,-1.579271093071064
2023,raw,P,P_centroid_lat_transition,1.5158296451352733
1979,raw,P,P_centroid_lat_M_full,24.282460543287414
1980,raw,P,P_centroid_lat_M_full,24.437589107426327
1981,raw,P,P_centroid_lat_M_full,23.102307917695903
1982,raw,P,P_centroid_lat_M_full,24.745081258492903
1983,raw,P,P_centroid_lat_M_full,25.671286986444798
1984,raw,P,P_centroid_lat_M_full,25.622761960621286
1985,raw,P,P_centroid_lat_M_full,27.63471563607522
1986,raw,P,P_centroid_lat_M_full,23.66906315484337
1987,raw,P,P_centroid_lat_M_full,26.130297025125127
1988,raw,P,P_centroid_lat_M_full,26.426958960509875
1989,raw,P,P_centroid_lat_M_full,25.962483083337297
1990,raw,P,P_centroid_lat_M_full,26.68977297268735
1991,raw,P,P_centroid_lat_M_full,25.974835452438803
1992,raw,P,P_centroid_lat_M_full,25.901223474566294
1993,raw,P,P_centroid_lat_M_full,28.136812120920197
1994,raw,P,P_centroid_lat_M_full,25.29871855982363
1995,raw,P,P_centroid_lat_M_full,24.129686211981852
1996,raw,P,P_centroid_lat_M_full,21.83221441654981
1997,raw,P,P_centroid_lat_M_full,27.33055549274187
1998,raw,P,P_centroid_lat_M_full,26.88176527571507
1999,raw,P,P_centroid_lat_M_full,25.320862704543234
2000,raw,P,P_centroid_lat_M_full,21.96522413634465
2001,raw,P,P_centroid_lat_M_full,24.117822290679396
2002,raw,P,P_centroid_lat_M_full,26.68754934983471
2003,raw,P,P_centroid_lat_M_full,27.211105684118554
2004,raw,P,P_centroid_lat_M_full,25.92621845296538
2005,raw,P,P_centroid_lat_M_full,25.46276847225097
2006,raw,P,P_centroid_lat_M_full,23.74170709364813
2007,raw,P,P_centroid_lat_M_full,23.38117575663073
2008,raw,P,P_centroid_lat_M_full,22.872299958112208
2009,raw,P,P_centroid_lat_M_full,25.77934186938864
2010,raw,P,P_centroid_lat_M_full,27.068797612837738
2011,raw,P,P_centroid_lat_M_full,24.670410113243832
2012,raw,P,P_centroid_lat_M_full,24.696928339257607
2013,raw,P,P_centroid_lat_M_full,24.873285569379465
2014,raw,P,P_centroid_lat_M_full,27.2210942682377
2015,raw,P,P_centroid_lat_M_full,26.529926800832524
2016,raw,P,P_centroid_lat_M_full,26.203118230475283
2017,raw,P,P_centroid_lat_M_full,24.39967160283634
2018,raw,P,P_centroid_lat_M_full,27.58132358892334
2019,raw,P,P_centroid_lat_M_full,25.46999480837112
2020,raw,P,P_centroid_lat_M_full,25.862732559027595
2021,raw,P,P_centroid_lat_M_full,29.238611122694603
2022,raw,P,P_centroid_lat_M_full,25.068756281828847
2023,raw,P,P_centroid_lat_M_full,25.623109944391317
1979,raw,P,P_spread_lat_transition,-0.6201155714258793
1980,raw,P,P_spread_lat_transition,-0.23618492059785812
1981,raw,P,P_spread_lat_transition,-0.14847926271126966
1982,raw,P,P_spread_lat_transition,0.1256654878565353
1983,raw,P,P_spread_lat_transition,0.4260102050448955
1984,raw,P,P_spread_lat_transition,-0.5297684643974732
1985,raw,P,P_spread_lat_transition,0.7701634273441575
1986,raw,P,P_spread_lat_transition,0.7825115070627398
1987,raw,P,P_spread_lat_transition,-0.23593143987672693
1988,raw,P,P_spread_lat_transition,-0.012904159125882941
1989,raw,P,P_spread_lat_transition,0.29559033269219004
1990,raw,P,P_spread_lat_transition,0.6848282387001747
1991,raw,P,P_spread_lat_transition,-0.6291252754736041
1992,raw,P,P_spread_lat_transition,-0.23472721393861828
1993,raw,P,P_spread_lat_transition,-0.3169210898673409
1994,raw,P,P_spread_lat_transition,-0.5176796696800352
1995,raw,P,P_spread_lat_transition,-0.30169282760339744
1996,raw,P,P_spread_lat_transition,-0.19766325055330736
1997,raw,P,P_spread_lat_transition,0.13484166299100053
1998,raw,P,P_spread_lat_transition,0.41856493253058424
1999,raw,P,P_spread_lat_transition,0.513739103583573
2000,raw,P,P_spread_lat_transition,-0.527968459012941
2001,raw,P,P_spread_lat_transition,0.12103012203268548
2002,raw,P,P_spread_lat_transition,0.5566246405539621
2003,raw,P,P_spread_lat_transition,0.27281957572955573
2004,raw,P,P_spread_lat_transition,0.16785839138590308
2005,raw,P,P_spread_lat_transition,0.9752178548095047
2006,raw,P,P_spread_lat_transition,-0.5392464322455472
2007,raw,P,P_spread_lat_transition,-1.1111869728975803
2008,raw,P,P_spread_lat_transition,-0.25480700209140217
2009,raw,P,P_spread_lat_transition,-1.1466586029064016
2010,raw,P,P_spread_lat_transition,0.6180636860910811
2011,raw,P,P_spread_lat_transition,-1.0344513471797834
2012,raw,P,P_spread_lat_transition,-0.06470863868602539
2013,raw,P,P_spread_lat_transition,-0.5339518588514363
2014,raw,P,P_spread_lat_transition,-0.21883083974106166
2015,raw,P,P_spread_lat_transition,-0.794304964317325
2016,raw,P,P_spread_lat_transition,-0.042352177015079207
2017,raw,P,P_spread_lat_transition,-0.6550179918714241
2018,raw,P,P_spread_lat_transition,-0.562078045268759
2019,raw,P,P_spread_lat_transition,0.11709312642571668
2020,raw,P,P_spread_lat_transition,-0.7405349534957537
2021,raw,P,P_spread_lat_transition,0.20090571176273153
2022,raw,P,P_spread_lat_transition,0.40877269256880844
2023,raw,P,P_spread_lat_transition,-0.18018883877481162
1979,raw,P,P_spread_lat_M_full,5.248075817883852
1980,raw,P,P_spread_lat_M_full,6.041794089857131
1981,raw,P,P_spread_lat_M_full,4.72434294150986
1982,raw,P,P_spread_lat_M_full,5.174271151089296
1983,raw,P,P_spread_lat_M_full,4.450789893951255
1984,raw,P,P_spread_lat_M_full,5.230215919013509
1985,raw,P,P_spread_lat_M_full,5.7527509172418085
1986,raw,P,P_spread_lat_M_full,5.200908798474469
1987,raw,P,P_spread_lat_M_full,5.04036510681081
