mode,h_metric,group_fraction,year,group,h_metric_value,h_metric_z
anomaly,H_north_edge_lat_transition,0.3,1991,high,2.299999999999997,0.7455408318335432
anomaly,H_north_edge_lat_transition,0.3,1992,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1993,low,-2.150000000000002,-0.3147897901456268
anomaly,H_north_edge_lat_transition,0.3,1994,low,-1.8000000000000007,-0.23139299965288274
anomaly,H_north_edge_lat_transition,0.3,1995,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1996,low,-7.7499999999999964,-1.649138438029525
anomaly,H_north_edge_lat_transition,0.3,1997,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1998,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1999,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2000,high,3.4499999999999993,1.019558857738273
anomaly,H_north_edge_lat_transition,0.3,2001,low,-9.100000000000001,-1.970811772787252
anomaly,H_north_edge_lat_transition,0.3,2002,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2003,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2004,high,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2005,low,-14.3,-3.2098498029651585
anomaly,H_north_edge_lat_transition,0.3,2006,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2007,high,9.45,2.4492181233281656
anomaly,H_north_edge_lat_transition,0.3,2008,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2009,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2010,high,1.8999999999999986,0.6502302141275508
anomaly,H_north_edge_lat_transition,0.3,2011,high,3.3999999999999986,1.0076450305250237
anomaly,H_north_edge_lat_transition,0.3,2012,high,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2013,high,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2014,low,-9.8,-2.1376053537727393
anomaly,H_north_edge_lat_transition,0.3,2015,low,-5.350000000000001,-1.0772747317935694
anomaly,H_north_edge_lat_transition,0.3,2016,high,11.25,2.8781159030051335
anomaly,H_north_edge_lat_transition,0.3,2017,high,1.2000000000000028,0.4834366331420643
anomaly,H_north_edge_lat_transition,0.3,2018,high,0.14999999999999858,0.23324626166383214
anomaly,H_north_edge_lat_transition,0.3,2019,low,-7.199999999999999,-1.5180863386837857
anomaly,H_north_edge_lat_transition,0.3,2020,middle,-0.9500000000000028,-0.028857937027648477
anomaly,H_north_edge_lat_transition,0.3,2021,middle,-0.8000000000000007,0.006883544612099341
anomaly,H_north_edge_lat_transition,0.3,2022,high,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,2023,low,-1.6499999999999986,-0.1956515180131349
local_background_removed,H_west_extent_lon_transition,0.3,1979,middle,0.8499999999999943,-0.002819913186643742
local_background_removed,H_west_extent_lon_transition,0.3,1980,high,5.200000000000003,0.610511204908204
local_background_removed,H_west_extent_lon_transition,0.3,1981,low,-1.9500000000000028,-0.3976077593166595
local_background_removed,H_west_extent_lon_transition,0.3,1982,high,14.950000000000003,1.9852188833966533
local_background_removed,H_west_extent_lon_transition,0.3,1983,low,-13.950000000000003,-2.089555671302443
local_background_removed,H_west_extent_lon_transition,0.3,1984,low,-1.0499999999999972,-0.27071166591772494
local_background_removed,H_west_extent_lon_transition,0.3,1985,high,6.299999999999997,0.7656064301735667
local_background_removed,H_west_extent_lon_transition,0.3,1986,low,-13.049999999999997,-1.9626595779035085
local_background_removed,H_west_extent_lon_transition,0.3,1987,middle,-0.14999999999999147,-0.14381557251879035
local_background_removed,H_west_extent_lon_transition,0.3,1988,middle,2.049999999999997,0.16637487801193504
local_background_removed,H_west_extent_lon_transition,0.3,1989,low,-1.25,-0.298910797784155
local_background_removed,H_west_extent_lon_transition,0.3,1990,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,1991,high,3.5999999999999943,0.384918149976765
local_background_removed,H_west_extent_lon_transition,0.3,1992,middle,2.3499999999999943,0.20867357581157922
local_background_removed,H_west_extent_lon_transition,0.3,1993,low,-18.5,-2.7310859212637193
local_background_removed,H_west_extent_lon_transition,0.3,1994,high,11.599999999999994,1.5128834246339542
local_background_removed,H_west_extent_lon_transition,0.3,1995,low,-10.400000000000006,-1.5890210806733158
local_background_removed,H_west_extent_lon_transition,0.3,1996,low,-1.0999999999999943,-0.27776144888433196
local_background_removed,H_west_extent_lon_transition,0.3,1997,low,-10.75,-1.638369561439567
local_background_removed,H_west_extent_lon_transition,0.3,1998,middle,0.5,-0.052168393952894965
local_background_removed,H_west_extent_lon_transition,0.3,1999,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2000,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2001,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2002,low,-2.049999999999997,-0.4117073252498736
local_background_removed,H_west_extent_lon_transition,0.3,2003,high,6.799999999999997,0.836104259839641
local_background_removed,H_west_extent_lon_transition,0.3,2004,high,13.299999999999997,1.7525760454986072
local_background_removed,H_west_extent_lon_transition,0.3,2005,high,8.450000000000003,1.068747097737687
local_background_removed,H_west_extent_lon_transition,0.3,2006,middle,2.75,0.26507183954443947
local_background_removed,H_west_extent_lon_transition,0.3,2007,low,-5.299999999999997,-0.8699432180793567
local_background_removed,H_west_extent_lon_transition,0.3,2008,middle,1.2000000000000028,0.04652856757960948
local_background_removed,H_west_extent_lon_transition,0.3,2009,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2010,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2011,low,-2.700000000000003,-0.503354503815771
local_background_removed,H_west_extent_lon_transition,0.3,2012,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2013,middle,1.7999999999999972,0.13112596317889785
local_background_removed,H_west_extent_lon_transition,0.3,2014,high,13.350000000000009,1.7596258284652162
local_background_removed,H_west_extent_lon_transition,0.3,2015,high,6.900000000000006,0.850203825772857
local_background_removed,H_west_extent_lon_transition,0.3,2016,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2017,high,12.25,1.6045306031998516
local_background_removed,H_west_extent_lon_transition,0.3,2018,high,5.25,0.617560987874811
local_background_removed,H_west_extent_lon_transition,0.3,2019,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2020,middle,2.8499999999999943,0.2791714054776535
local_background_removed,H_west_extent_lon_transition,0.3,2021,high,8.25,1.0405479658712569
local_background_removed,H_west_extent_lon_transition,0.3,2022,middle,0.0,-0.12266622361896928
local_background_removed,H_west_extent_lon_transition,0.3,2023,low,-9.200000000000003,-1.419826289474737
local_background_removed,H_zonal_width_transition,0.3,1979,middle,-0.8500000000000014,-0.11766338357383277
local_background_removed,H_zonal_width_transition,0.3,1980,low,-6.300000000000001,-0.7802797973851402
local_background_removed,H_zonal_width_transition,0.3,1981,middle,1.9499999999999993,0.2227633978338115
local_background_removed,H_zonal_width_transition,0.3,1982,low,-14.95,-1.8319553899480407
local_background_removed,H_zonal_width_transition,0.3,1983,middle,2.1999999999999993,0.25315864617377976
local_background_removed,H_zonal_width_transition,0.3,1984,middle,0.8000000000000007,0.08294525546995782
local_background_removed,H_zonal_width_transition,0.3,1985,low,-8.3,-1.023441784104886
local_background_removed,H_zonal_width_transition,0.3,1986,high,13.05,1.572312424128401
local_background_removed,H_zonal_width_transition,0.3,1987,middle,-5.699999999999999,-0.7073312013692162
local_background_removed,H_zonal_width_transition,0.3,1988,low,-9.3,-1.145022777464759
local_background_removed,H_zonal_width_transition,0.3,1989,middle,1.25,0.13765670248190054
local_background_removed,H_zonal_width_transition,0.3,1990,high,3.1499999999999986,0.3686605898656589
local_background_removed,H_zonal_width_transition,0.3,1991,middle,-3.6999999999999993,-0.46416921464947036
local_background_removed,H_zonal_width_transition,0.3,1992,high,10.5,1.262280891060725
local_background_removed,H_zonal_width_transition,0.3,1993,high,18.5,2.2349288379397083
local_background_removed,H_zonal_width_transition,0.3,1994,low,-11.600000000000001,-1.4246590621924669
local_background_removed,H_zonal_width_transition,0.3,1995,high,10.399999999999999,1.2501227917247375
local_background_removed,H_zonal_width_transition,0.3,1996,middle,1.1000000000000014,0.11941955347791977
local_background_removed,H_zonal_width_transition,0.3,1997,high,10.75,1.2926761394006934
local_background_removed,H_zonal_width_transition,0.3,1998,middle,0.45000000000000284,0.04039190779400255
local_background_removed,H_zonal_width_transition,0.3,1999,high,9.55,1.146778947368846
local_background_removed,H_zonal_width_transition,0.3,2000,high,10.649999999999999,1.2805180400647058
local_background_removed,H_zonal_width_transition,0.3,2001,high,7.149999999999999,0.8549845633051506
local_background_removed,H_zonal_width_transition,0.3,2002,middle,2.5500000000000007,0.29571199384973545
local_background_removed,H_zonal_width_transition,0.3,2003,low,-6.800000000000001,-0.8410702940650766
local_background_removed,H_zonal_width_transition,0.3,2004,low,-7.300000000000001,-0.9018607907450131
