window,family_direction,v1_stability_judgement,n_pairs
S3,Je→P,significant_lagged_but_tau0_coupled,1
S3,Je→V,not_supported,9
S3,Jw→H,not_supported,12
S3,Jw→Je,not_supported,8
S3,Jw→Je,stable_lag_dominant,1
S3,Jw→P,not_supported,18
S3,Jw→P,stable_lag_dominant,3
S3,Jw→V,not_supported,9
S3,P→H,not_supported,28
S3,P→Je,not_supported,21
S3,P→Jw,not_supported,21
S3,P→V,not_supported,20
S3,P→V,stable_lag_dominant,1
S3,V→H,not_supported,7
S3,V→H,significant_lagged_but_tau0_coupled,1
S3,V→H,stable_lag_dominant,4
S3,V→Je,not_supported,9
S3,V→Jw,not_supported,9
S3,V→P,not_supported,9
S3,V→P,significant_lagged_but_tau0_coupled,4
S3,V→P,stable_lag_dominant,8
S4,H→Je,audit_sensitive,1
S4,H→Je,not_supported,11
S4,H→Jw,not_supported,11
S4,H→Jw,stable_lag_dominant,1
S4,H→P,not_supported,24
S4,H→P,significant_lagged_but_tau0_coupled,3
S4,H→P,stable_lag_dominant,1
S4,H→V,not_supported,8
S4,H→V,stable_lag_dominant,4
S4,Je→H,not_supported,12
S4,Je→Jw,not_supported,9
S4,Je→P,not_supported,21
S4,Je→V,not_supported,9
S4,Jw→H,not_supported,12
S4,Jw→Je,not_supported,8
S4,Jw→Je,stable_lag_dominant,1
S4,Jw→P,not_supported,21
S4,Jw→V,not_supported,9
S4,P→H,not_supported,27
S4,P→H,stable_lag_dominant,1
S4,P→Je,not_supported,21
S4,P→Jw,not_supported,21
S4,P→V,not_supported,20
S4,P→V,significant_lagged_but_tau0_coupled,1
S4,V→H,not_supported,12
S4,V→Je,not_supported,7
S4,V→Je,significant_lagged_but_tau0_coupled,1
S4,V→Je,stable_lag_dominant,1
S4,V→Jw,not_supported,9
S4,V→P,not_supported,12
S4,V→P,significant_lagged_but_tau0_coupled,3
S4,V→P,stable_lag_dominant,6
S5,H→Je,not_supported,9
S5,H→Je,significant_lagged_but_tau0_coupled,3
S5,H→Jw,not_supported,12
S5,H→P,not_supported,28
S5,H→V,not_supported,11
S5,H→V,significant_lagged_but_tau0_coupled,1
S5,Je→H,audit_sensitive,1
S5,Je→H,not_supported,11
S5,Je→Jw,not_supported,9
S5,Je→P,not_supported,21
S5,Je→V,not_supported,9
S5,Jw→H,not_supported,11
S5,Jw→H,significant_lagged_but_tau0_coupled,1
S5,Jw→Je,not_supported,9
S5,Jw→P,not_supported,21
S5,Jw→V,not_supported,9
S5,P→H,not_supported,27
S5,P→H,stable_lag_dominant,1
S5,P→Je,not_supported,19
S5,P→Je,significant_lagged_but_tau0_coupled,2
S5,P→Jw,not_supported,21
S5,P→V,not_supported,21
S5,V→H,not_supported,12
S5,V→Je,not_supported,9
S5,V→Jw,not_supported,9
S5,V→P,audit_sensitive,2
S5,V→P,not_supported,8
S5,V→P,significant_lagged_but_tau0_coupled,5
S5,V→P,stable_lag_dominant,6
T1,H→Je,not_supported,12
T1,H→Jw,not_supported,12
T1,H→P,audit_sensitive,1
T1,H→P,not_supported,25
T1,H→P,stable_lag_dominant,2
T1,H→V,audit_sensitive,1
T1,H→V,not_supported,11
T1,Je→H,not_supported,11
T1,Je→H,stable_lag_dominant,1
T1,Je→Jw,not_supported,9
T1,Je→P,not_supported,21
T1,Je→V,not_supported,9
T1,Jw→H,not_supported,11
T1,Jw→H,stable_lag_dominant,1
T1,Jw→Je,not_supported,7
T1,Jw→Je,stable_lag_dominant,2
T1,Jw→P,not_supported,21
T1,Jw→V,not_supported,9
T1,P→H,not_supported,28
T1,P→Je,not_supported,18
T1,P→Je,significant_lagged_but_tau0_coupled,3
T1,P→Jw,not_supported,21
T1,P→V,not_supported,21
T1,V→H,not_supported,10
T1,V→H,significant_lagged_but_tau0_coupled,1
T1,V→H,stable_lag_dominant,1
T1,V→Je,not_supported,7
T1,V→Je,stable_lag_dominant,2
T1,V→Jw,not_supported,8
T1,V→Jw,stable_lag_dominant,1
T1,V→P,not_supported,7
T1,V→P,significant_lagged_but_tau0_coupled,14
T2,H→Je,not_supported,12
T2,H→Jw,not_supported,12
T2,H→P,not_supported,22
T2,H→P,significant_lagged_but_tau0_coupled,1
T2,H→P,stable_lag_dominant,5
T2,H→V,audit_sensitive,3
T2,H→V,not_supported,7
T2,H→V,significant_lagged_but_tau0_coupled,1
T2,H→V,stable_lag_dominant,1
T2,Je→H,not_supported,11
T2,Je→H,significant_lagged_but_tau0_coupled,1
T2,Je→Jw,not_supported,9
T2,Je→P,not_supported,21
T2,Je→V,not_supported,9
T2,Jw→H,not_supported,12
T2,Jw→Je,not_supported,9
T2,Jw→P,not_supported,21
T2,Jw→V,not_supported,9
T2,P→H,not_supported,28
T2,P→Je,not_supported,20
T2,P→Je,significant_lagged_but_tau0_coupled,1
T2,P→Jw,not_supported,21
T2,P→V,not_supported,21
T2,V→H,not_supported,12
T2,V→Je,not_supported,9
T2,V→Jw,not_supported,9
T2,V→P,not_supported,6
T2,V→P,significant_lagged_but_tau0_coupled,2
T2,V→P,stable_lag_dominant,13
T3,H→Je,not_supported,12
T3,H→Jw,not_supported,12
T3,H→P,not_supported,28
T3,H→V,not_supported,12
T3,Je→H,not_supported,12
T3,Je→Jw,not_supported,9
T3,Je→P,not_supported,19
T3,Je→P,significant_lagged_but_tau0_coupled,2
T3,Je→V,not_supported,9
T3,Jw→H,not_supported,12
T3,Jw→Je,not_supported,9
T3,Jw→P,not_supported,21
T3,Jw→V,not_supported,9
T3,P→H,not_supported,28
T3,P→Je,not_supported,21
T3,P→Jw,not_supported,19
T3,P→Jw,significant_lagged_but_tau0_coupled,2
T3,P→V,not_supported,19
T3,P→V,significant_lagged_but_tau0_coupled,1
T3,P→V,stable_lag_dominant,1
T3,V→H,not_supported,12
T3,V→Je,not_supported,9
T3,V→Jw,not_supported,9
T3,V→P,not_supported,17
T3,V→P,significant_lagged_but_tau0_coupled,2
T3,V→P,stable_lag_dominant,2
T4,H→Je,not_supported,12
T4,H→Jw,not_supported,12
T4,H→P,not_supported,27
T4,H→P,stable_lag_dominant,1
T4,H→V,not_supported,11
T4,H→V,significant_lagged_but_tau0_coupled,1
T4,Je→H,not_supported,12
T4,Je→Jw,not_supported,9
T4,Je→P,not_supported,21
T4,Je→V,not_supported,9
T4,Jw→H,not_supported,12
T4,Jw→Je,not_supported,9
T4,Jw→P,not_supported,21
T4,Jw→V,not_supported,9
T4,P→H,not_supported,28
T4,P→Je,not_supported,21
T4,P→Jw,not_supported,21
T4,P→V,not_supported,21
T4,V→H,not_supported,12
T4,V→Je,not_supported,9
T4,V→Jw,not_supported,9
T4,V→P,not_supported,12
T4,V→P,significant_lagged_but_tau0_coupled,6
T4,V→P,stable_lag_dominant,3
