window_id,target_name,target_type,object_A,object_B,target_definition,selection_max_abs_effect,selection_max_permutation_percentile,selection_role
W045,W045_P_late_minus_early_peak_influence,object_peak_shift_influence,P,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,0.8931904228656791,1.0,high_effect_object_peak_target_from_v9_1_c
W045,W045_Jw_late_minus_early_peak_influence,object_peak_shift_influence,Jw,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,2.081739029538696,1.0,high_effect_object_peak_target_from_v9_1_c
W045,W045_Je_late_minus_early_peak_influence,object_peak_shift_influence,Je,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,0.7110471885487257,1.0,high_effect_object_peak_target_from_v9_1_c
W081,W081_V_late_minus_early_peak_influence,object_peak_shift_influence,V,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,2.546736377244855,1.0,high_effect_object_peak_target_from_v9_1_c
W081,W081_P_late_minus_early_peak_influence,object_peak_shift_influence,P,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,1.7835372411643675,1.0,high_effect_object_peak_target_from_v9_1_c
W081,W081_Jw_late_minus_early_peak_influence,object_peak_shift_influence,Jw,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,1.7500384208189672,1.0,high_effect_object_peak_target_from_v9_1_c
W113,W113_Je_late_minus_early_peak_influence,object_peak_shift_influence,Je,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,1.590776372907044,1.0,high_effect_object_peak_target_from_v9_1_c
W113,W113_V_late_minus_early_peak_influence,object_peak_shift_influence,V,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,1.1193398799781846,1.0,high_effect_object_peak_target_from_v9_1_c
W113,W113_H_late_minus_early_peak_influence,object_peak_shift_influence,H,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,0.9090971085651915,1.0,high_effect_object_peak_target_from_v9_1_c
W160,W160_P_late_minus_early_peak_influence,object_peak_shift_influence,P,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,1.439350697986754,1.0,high_effect_object_peak_target_from_v9_1_c
W160,W160_Jw_late_minus_early_peak_influence,object_peak_shift_influence,Jw,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,2.270238095238085,1.0,high_effect_object_peak_target_from_v9_1_c
W160,W160_Je_late_minus_early_peak_influence,object_peak_shift_influence,Je,,presence_effect_on_late_probability - presence_effect_on_early_probability; fallback=presence_effect_on_peak_day,1.0068041489566326,1.0,high_effect_object_peak_target_from_v9_1_c
