window_id,target_name,object,block_energy,block_contribution_fraction,dominant_object_warning
W045,W045_Je_earlier_minus_Jw_earlier,Jw,0.2040914685777504,0.2040914685777504,False
W045,W045_P_earlier_minus_Je_earlier,P,0.2130779651338789,0.2130779651338789,False
W045,W045_P_earlier_minus_Je_earlier,V,0.26200619337002845,0.26200619337002845,False
W045,W045_P_earlier_minus_Je_earlier,H,0.15872680859902533,0.15872680859902533,False
W045,W045_P_earlier_minus_Je_earlier,Je,0.14901489154279865,0.14901489154279865,False
W045,W045_P_earlier_minus_Je_earlier,Jw,0.21717414135426866,0.21717414135426866,False
W045,W045_P_late_minus_early_peak_influence,P,0.29837704690238454,0.29837704690238454,False
W045,W045_P_late_minus_early_peak_influence,V,0.2462096612388142,0.2462096612388142,False
W045,W045_P_late_minus_early_peak_influence,H,0.23445365319048966,0.23445365319048966,False
W045,W045_P_late_minus_early_peak_influence,Je,0.1487970882246515,0.1487970882246515,False
W045,W045_P_late_minus_early_peak_influence,Jw,0.07216255044366014,0.07216255044366014,False
W045,W045_Jw_late_minus_early_peak_influence,P,0.14942668954747781,0.14942668954747781,False
W045,W045_Jw_late_minus_early_peak_influence,V,0.1817700464144774,0.1817700464144774,False
W045,W045_Jw_late_minus_early_peak_influence,H,0.22814608790637322,0.22814608790637322,False
W045,W045_Jw_late_minus_early_peak_influence,Je,0.19252074005582928,0.19252074005582928,False
W045,W045_Jw_late_minus_early_peak_influence,Jw,0.24813643607584224,0.24813643607584224,False
W045,W045_Je_late_minus_early_peak_influence,P,0.14237746576176602,0.14237746576176605,False
W045,W045_Je_late_minus_early_peak_influence,V,0.139259366972452,0.13925936697245203,False
W045,W045_Je_late_minus_early_peak_influence,H,0.23997123893799396,0.239971238937994,False
W045,W045_Je_late_minus_early_peak_influence,Je,0.26753997972236643,0.2675399797223665,False
W045,W045_Je_late_minus_early_peak_influence,Jw,0.21085194860542147,0.2108519486054215,False
W081,W081_V_earlier_minus_Jw_earlier,P,0.18701301344244053,0.18701301344244053,False
W081,W081_V_earlier_minus_Jw_earlier,V,0.21165418937735725,0.21165418937735725,False
W081,W081_V_earlier_minus_Jw_earlier,H,0.19020637038035174,0.19020637038035174,False
W081,W081_V_earlier_minus_Jw_earlier,Je,0.08058084006371019,0.08058084006371019,False
W081,W081_V_earlier_minus_Jw_earlier,Jw,0.3305455867361403,0.3305455867361403,False
W081,W081_V_earlier_minus_Je_earlier,P,0.22652402106670821,0.22652402106670816,False
W081,W081_V_earlier_minus_Je_earlier,V,0.30384728694246826,0.3038472869424682,False
W081,W081_V_earlier_minus_Je_earlier,H,0.151409680757266,0.15140968075726596,False
W081,W081_V_earlier_minus_Je_earlier,Je,0.21980693301757226,0.2198069330175722,False
W081,W081_V_earlier_minus_Je_earlier,Jw,0.09841207821598537,0.09841207821598534,False
W081,W081_P_earlier_minus_Jw_earlier,P,0.2427264682946361,0.24272646829463612,False
W081,W081_P_earlier_minus_Jw_earlier,V,0.21113429120540714,0.21113429120540717,False
W081,W081_P_earlier_minus_Jw_earlier,H,0.20232976155248755,0.20232976155248758,False
W081,W081_P_earlier_minus_Jw_earlier,Je,0.09731768470986221,0.09731768470986223,False
W081,W081_P_earlier_minus_Jw_earlier,Jw,0.24649179423760692,0.24649179423760695,False
W081,W081_H_earlier_minus_Jw_earlier,P,0.17762909899051849,0.17762909899051849,False
W081,W081_H_earlier_minus_Jw_earlier,V,0.08267128241530788,0.08267128241530788,False
W081,W081_H_earlier_minus_Jw_earlier,H,0.09683640784134344,0.09683640784134344,False
W081,W081_H_earlier_minus_Jw_earlier,Je,0.13797988023647106,0.13797988023647106,False
W081,W081_H_earlier_minus_Jw_earlier,Jw,0.5048833305163591,0.5048833305163591,False
W081,W081_P_earlier_minus_V_earlier,P,0.2480291907510798,0.24802919075107982,False
W081,W081_P_earlier_minus_V_earlier,V,0.2946369835522984,0.29463698355229845,False
W081,W081_P_earlier_minus_V_earlier,H,0.12097996472461238,0.1209799647246124,False
W081,W081_P_earlier_minus_V_earlier,Je,0.15603859438179019,0.1560385943817902,False
W081,W081_P_earlier_minus_V_earlier,Jw,0.1803152665902192,0.18031526659021924,False
W081,W081_Je_earlier_minus_Jw_earlier,P,0.17696920433333346,0.17696920433333346,False
W081,W081_Je_earlier_minus_Jw_earlier,V,0.10239790419345018,0.10239790419345018,False
W081,W081_Je_earlier_minus_Jw_earlier,H,0.19637922635579536,0.19637922635579536,False
W081,W081_Je_earlier_minus_Jw_earlier,Je,0.24633193176432874,0.24633193176432874,False
W081,W081_Je_earlier_minus_Jw_earlier,Jw,0.2779217333530922,0.2779217333530922,False
W081,W081_V_late_minus_early_peak_influence,P,0.22976876544082647,0.22976876544082647,False
W081,W081_V_late_minus_early_peak_influence,V,0.29095991035174573,0.29095991035174573,False
W081,W081_V_late_minus_early_peak_influence,H,0.19373256533636346,0.19373256533636346,False
W081,W081_V_late_minus_early_peak_influence,Je,0.1411973485815214,0.1411973485815214,False
W081,W081_V_late_minus_early_peak_influence,Jw,0.14434141028954303,0.14434141028954303,False
W081,W081_P_late_minus_early_peak_influence,P,0.272126670596609,0.2721266705966089,False
