window_id,target_name,phase_group,phase_group_size,skip_reason,targeted_mode_status,performance_gate
W160,W160_H_earlier_minus_Jw_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_Je_late_minus_early_peak_influence,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_Je_late_minus_early_peak_influence,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_Je_late_minus_early_peak_influence,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_Jw_late_minus_early_peak_influence,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_Jw_late_minus_early_peak_influence,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_Jw_late_minus_early_peak_influence,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_Je_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_Je_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_Je_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_Jw_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_Jw_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_Jw_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_V_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_V_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_P_earlier_minus_V_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_V_earlier_minus_Jw_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_V_earlier_minus_Jw_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_V_earlier_minus_Jw_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
