window,source,target,lag,n_pairs,n_years_used,valid_year_fraction,r,signed_r,abs_r,eff_n,p_effn,same_year_only,target_window_rule,sample_status
S3_equal11,V_pos_centroid_lat_recomputed,P_highlat_minus_main,-10,495,45,1.0,-0.004372413722427873,-0.004372413722427873,0.004372413722427873,33.60285921642915,0.9807024252172838,True,True,ok
S3_equal11,V_pos_centroid_lat_recomputed,P_south_minus_main,-10,495,45,1.0,-0.1792624721698862,-0.1792624721698862,0.1792624721698862,30.468627408624577,0.3422207725051267,True,True,ok
S3_equal11,V_pos_centroid_lat_recomputed,P_south_plus_highlat_minus_main,-10,495,45,1.0,-0.14182311542381912,-0.14182311542381912,0.14182311542381912,30.468627408624577,0.45425093907345815,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_main_band_share,-10,495,45,1.0,0.06777367757095426,0.06777367757095426,0.06777367757095426,29.308575589532765,0.7277217614816975,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_south_band_share_18_24,-10,495,45,1.0,-0.1810179787123936,-0.1810179787123936,0.1810179787123936,30.28712051058055,0.33901107113356366,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_main_minus_south,-10,495,45,1.0,0.12629874341434416,0.12629874341434416,0.12629874341434416,28.440896838539295,0.5218749812583838,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_spread_lat,-10,495,45,1.0,0.21425309306475784,0.21425309306475784,0.21425309306475784,33.58590992554521,0.22875815400354815,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_north_band_share_35_45,-10,495,45,1.0,0.20856980743367617,0.20856980743367617,0.20856980743367617,37.017356107329405,0.21698481772865463,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_north_minus_main_35_45,-10,495,45,1.0,0.047199538153728335,0.047199538153728335,0.047199538153728335,33.93677329118303,0.792764097158632,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_total_centroid_lat_10_50,-10,495,45,1.0,0.20071777574415509,0.20071777574415509,0.20071777574415509,30.798363519309923,0.28334609024115043,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_main_28_35_mean,-10,495,45,1.0,0.12931879782147515,0.12931879782147515,0.12931879782147515,32.50448742568156,0.47994580741832005,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_south_10_25_mean,-10,495,45,1.0,-0.20565105406534892,-0.20565105406534892,0.20565105406534892,28.440896838539295,0.2926672368872725,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_scs_10_20_mean,-10,495,45,1.0,-0.17113765513234303,-0.17113765513234303,0.17113765513234303,28.916502687768123,0.378918818988387,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_highlat_40_60_mean,-10,495,45,1.0,0.04697432468410261,0.04697432468410261,0.04697432468410261,37.298199346590216,0.7830810232286278,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_highlat_35_60_mean,-10,495,45,1.0,0.13551169313744374,0.13551169313744374,0.13551169313744374,35.60639599822991,0.4362221993163833,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_highlat_minus_main,-10,495,45,1.0,-0.09942597667500214,-0.09942597667500214,0.09942597667500214,31.576744079192594,0.5938498102800531,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_south_minus_main,-10,495,45,1.0,-0.20185751660485882,-0.20185751660485882,0.20185751660485882,28.440896838539295,0.30191970043436633,True,True,ok
S3_equal11,V_highlat_35_55_mean,P_south_plus_highlat_minus_main,-10,495,45,1.0,-0.18417064037447967,-0.18417064037447967,0.18417064037447967,28.440896838539295,0.34739217930558164,True,True,ok
S3_equal11,V_lowlat_20_30_mean,P_main_band_share,-10,495,45,1.0,0.1873564735808024,0.1873564735808024,0.1873564735808024,26.23621263864007,0.36075468695533375,True,True,ok
S3_equal11,V_lowlat_20_30_mean,P_south_band_share_18_24,-10,495,45,1.0,-0.0425694427742405,-0.0425694427742405,0.0425694427742405,27.215453546798024,0.8339740278066436,True,True,ok
S3_equal11,V_lowlat_20_30_mean,P_main_minus_south,-10,495,45,1.0,0.14588417419458405,0.14588417419458405,0.14588417419458405,25.367936925098565,0.48710941203001057,True,True,ok
