lineage_id,lineage_day,lineage_status,lineage_strict_accepted_flag,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,input_source,assigned_objects,n_assigned_objects,object_order_sequence,object_order_sequence_tau2_grouped,n_near_tie_groups_tau2,reference_order_sequence_tau2_grouped,sequence_changed_from_reference_tau2,sequence_change_type
J018_W001,18,derived_non_strict_candidate_window,False,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,baseline_smooth9,P;V;H;Je;Jw,5,H@19 < P@19 < V@19 < Je@26 < Jw@42,H@19≈P@19≈V@19 < Je@26 < Jw@42,3,V@16≈P@18 < H@19 < Je@26 < Jw@41,True,ORDER_OR_NEAR_TIE_GROUP_CHANGED
J018_W001,18,derived_non_strict_candidate_window,False,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_BAND_MAX_HW_12,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,12,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_BAND_MAX_HW_8,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,8,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_BAND_PROM_045,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.45,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_BAND_PROM_055,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.55,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_BAND_Q30,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.30,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_BAND_Q40,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.40,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_CLOSE_NEIGHBOR_3,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,3,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_CLOSE_NEIGHBOR_5,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_DET_PEN_3,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,3.0,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_DET_PEN_5,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,5.0,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,smooth5,P;V;H;Je;Jw,5,V@16 < H@17 < P@17 < Je@25 < Jw@42,V@16≈H@17≈P@17 < Je@25 < Jw@42,3,V@15≈P@17 < H@18 < Je@26 < Jw@42,True,ORDER_OR_NEAR_TIE_GROUP_CHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_MATCH_RADIUS_1_4_7,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_MATCH_RADIUS_3_6_9,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_MERGE_GAP_0,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,0,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_MERGE_GAP_2,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,2,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_PEAK_DISTANCE_5,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,5,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_PEAK_DISTANCE_7,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,7,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH5_PROTECT_THR_090,SMOOTH_INPUT_5D,smooth5_window_merge,significant_peak_threshold,0.90,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@15≈P@17 < H@18 < Je@26 < Jw@42,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,smooth5,P;V;H;Je;Jw,5,V@15 < P@17 < H@18 < Je@26 < Jw@42,V@15≈P@17 < H@18 < Je@26 < Jw@42,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,True,ORDER_OR_NEAR_TIE_GROUP_CHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,P;V;H;Je;Jw,5,H@95 < Je@95 < V@95 < P@97 < Jw@103,H@95≈Je@95≈V@95≈P@97 < Jw@103,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,True,ORDER_OR_NEAR_TIE_GROUP_CHANGED
J096_W004,96,derived_non_strict_candidate_window,False,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,baseline_smooth9,V;H;Jw,3,H@95 < V@96 < Jw@105,H@95≈V@96 < Jw@105,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,True,ASSIGNED_OBJECT_SET_CHANGED
J096_W004,96,derived_non_strict_candidate_window,False,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,baseline_smooth9,P;V;H;Je;Jw,5,Je@94 < H@95 < P@95 < V@95 < Jw@104,Je@94≈H@95≈P@95≈V@95 < Jw@104,2,Je@94≈H@95≈P@95≈V@95 < Jw@104,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_BAND_MAX_HW_12,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,12,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_BAND_MAX_HW_8,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,8,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_BAND_PROM_045,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.45,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_BAND_PROM_055,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.55,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_BAND_Q30,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.30,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_BAND_Q40,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.40,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_CLOSE_NEIGHBOR_3,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,3,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_CLOSE_NEIGHBOR_5,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_DET_PEN_3,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,3.0,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_DET_PEN_5,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,5.0,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,smooth5,P;V;H;Je;Jw,5,H@95 < V@95 < Je@97 < P@97 < Jw@103,H@95≈V@95≈Je@97≈P@97 < Jw@103,2,Je@91 < H@95≈V@96≈P@97 < Jw@103,True,ORDER_OR_NEAR_TIE_GROUP_CHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,smooth5,V;H;Jw,3,H@96 < V@96 < Jw@104,H@96≈V@96 < Jw@104,2,Je@91 < H@95≈V@96≈P@97 < Jw@103,True,ASSIGNED_OBJECT_SET_CHANGED
J096_W004,96,derived_non_strict_candidate_window,False,SMOOTH5_MATCH_RADIUS_1_4_7,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,smooth5,P;V;H;Je;Jw,5,Je@91 < H@95 < V@96 < P@97 < Jw@103,Je@91 < H@95≈V@96≈P@97 < Jw@103,3,Je@91 < H@95≈V@96≈P@97 < Jw@103,False,UNCHANGED
