window,v_index,lag,map_r2_key,map_beta_key,n_samples,n_years,target_day_min,target_day_max,source_day_min,source_day_max
T3_full,V_NS_diff,3,T3_full__V_NS_diff__lag3__r2,T3_full__V_NS_diff__lag3__beta,495,45,107,117,104,114
T3_full,V_NS_diff,4,T3_full__V_NS_diff__lag4__r2,T3_full__V_NS_diff__lag4__beta,495,45,107,117,103,113
T3_full,V_NS_diff,5,T3_full__V_NS_diff__lag5__r2,T3_full__V_NS_diff__lag5__beta,495,45,107,117,102,112
T3_full,V_pos_centroid_lat,0,T3_full__V_pos_centroid_lat__lag0__r2,T3_full__V_pos_centroid_lat__lag0__beta,495,45,107,117,107,117
T3_full,V_pos_centroid_lat,1,T3_full__V_pos_centroid_lat__lag1__r2,T3_full__V_pos_centroid_lat__lag1__beta,495,45,107,117,106,116
T3_full,V_pos_centroid_lat,2,T3_full__V_pos_centroid_lat__lag2__r2,T3_full__V_pos_centroid_lat__lag2__beta,495,45,107,117,105,115
T3_full,V_pos_centroid_lat,3,T3_full__V_pos_centroid_lat__lag3__r2,T3_full__V_pos_centroid_lat__lag3__beta,495,45,107,117,104,114
T3_full,V_pos_centroid_lat,4,T3_full__V_pos_centroid_lat__lag4__r2,T3_full__V_pos_centroid_lat__lag4__beta,495,45,107,117,103,113
T3_full,V_pos_centroid_lat,5,T3_full__V_pos_centroid_lat__lag5__r2,T3_full__V_pos_centroid_lat__lag5__beta,495,45,107,117,102,112
T3_late,V_strength,0,T3_late__V_strength__lag0__r2,T3_late__V_strength__lag0__beta,225,45,113,117,113,117
T3_late,V_strength,1,T3_late__V_strength__lag1__r2,T3_late__V_strength__lag1__beta,225,45,113,117,112,116
T3_late,V_strength,2,T3_late__V_strength__lag2__r2,T3_late__V_strength__lag2__beta,225,45,113,117,111,115
T3_late,V_strength,3,T3_late__V_strength__lag3__r2,T3_late__V_strength__lag3__beta,225,45,113,117,110,114
T3_late,V_strength,4,T3_late__V_strength__lag4__r2,T3_late__V_strength__lag4__beta,225,45,113,117,109,113
T3_late,V_strength,5,T3_late__V_strength__lag5__r2,T3_late__V_strength__lag5__beta,225,45,113,117,108,112
T3_late,V_NS_diff,0,T3_late__V_NS_diff__lag0__r2,T3_late__V_NS_diff__lag0__beta,225,45,113,117,113,117
T3_late,V_NS_diff,1,T3_late__V_NS_diff__lag1__r2,T3_late__V_NS_diff__lag1__beta,225,45,113,117,112,116
T3_late,V_NS_diff,2,T3_late__V_NS_diff__lag2__r2,T3_late__V_NS_diff__lag2__beta,225,45,113,117,111,115
T3_late,V_NS_diff,3,T3_late__V_NS_diff__lag3__r2,T3_late__V_NS_diff__lag3__beta,225,45,113,117,110,114
T3_late,V_NS_diff,4,T3_late__V_NS_diff__lag4__r2,T3_late__V_NS_diff__lag4__beta,225,45,113,117,109,113
T3_late,V_NS_diff,5,T3_late__V_NS_diff__lag5__r2,T3_late__V_NS_diff__lag5__beta,225,45,113,117,108,112
T3_late,V_pos_centroid_lat,0,T3_late__V_pos_centroid_lat__lag0__r2,T3_late__V_pos_centroid_lat__lag0__beta,225,45,113,117,113,117
T3_late,V_pos_centroid_lat,1,T3_late__V_pos_centroid_lat__lag1__r2,T3_late__V_pos_centroid_lat__lag1__beta,225,45,113,117,112,116
T3_late,V_pos_centroid_lat,2,T3_late__V_pos_centroid_lat__lag2__r2,T3_late__V_pos_centroid_lat__lag2__beta,225,45,113,117,111,115
T3_late,V_pos_centroid_lat,3,T3_late__V_pos_centroid_lat__lag3__r2,T3_late__V_pos_centroid_lat__lag3__beta,225,45,113,117,110,114
T3_late,V_pos_centroid_lat,4,T3_late__V_pos_centroid_lat__lag4__r2,T3_late__V_pos_centroid_lat__lag4__beta,225,45,113,117,109,113
T3_late,V_pos_centroid_lat,5,T3_late__V_pos_centroid_lat__lag5__r2,T3_late__V_pos_centroid_lat__lag5__beta,225,45,113,117,108,112
S4,V_strength,0,S4__V_strength__lag0__r2,S4__V_strength__lag0__beta,1665,45,118,154,118,154
S4,V_strength,1,S4__V_strength__lag1__r2,S4__V_strength__lag1__beta,1665,45,118,154,117,153
S4,V_strength,2,S4__V_strength__lag2__r2,S4__V_strength__lag2__beta,1665,45,118,154,116,152
S4,V_strength,3,S4__V_strength__lag3__r2,S4__V_strength__lag3__beta,1665,45,118,154,115,151
S4,V_strength,4,S4__V_strength__lag4__r2,S4__V_strength__lag4__beta,1665,45,118,154,114,150
S4,V_strength,5,S4__V_strength__lag5__r2,S4__V_strength__lag5__beta,1665,45,118,154,113,149
S4,V_NS_diff,0,S4__V_NS_diff__lag0__r2,S4__V_NS_diff__lag0__beta,1665,45,118,154,118,154
S4,V_NS_diff,1,S4__V_NS_diff__lag1__r2,S4__V_NS_diff__lag1__beta,1665,45,118,154,117,153
S4,V_NS_diff,2,S4__V_NS_diff__lag2__r2,S4__V_NS_diff__lag2__beta,1665,45,118,154,116,152
S4,V_NS_diff,3,S4__V_NS_diff__lag3__r2,S4__V_NS_diff__lag3__beta,1665,45,118,154,115,151
S4,V_NS_diff,4,S4__V_NS_diff__lag4__r2,S4__V_NS_diff__lag4__beta,1665,45,118,154,114,150
S4,V_NS_diff,5,S4__V_NS_diff__lag5__r2,S4__V_NS_diff__lag5__beta,1665,45,118,154,113,149
S4,V_pos_centroid_lat,0,S4__V_pos_centroid_lat__lag0__r2,S4__V_pos_centroid_lat__lag0__beta,1664,45,118,154,118,154
S4,V_pos_centroid_lat,1,S4__V_pos_centroid_lat__lag1__r2,S4__V_pos_centroid_lat__lag1__beta,1664,45,118,154,117,153
S4,V_pos_centroid_lat,2,S4__V_pos_centroid_lat__lag2__r2,S4__V_pos_centroid_lat__lag2__beta,1664,45,118,154,116,152
S4,V_pos_centroid_lat,3,S4__V_pos_centroid_lat__lag3__r2,S4__V_pos_centroid_lat__lag3__beta,1664,45,118,154,115,151
S4,V_pos_centroid_lat,4,S4__V_pos_centroid_lat__lag4__r2,S4__V_pos_centroid_lat__lag4__beta,1664,45,118,154,114,150
S4,V_pos_centroid_lat,5,S4__V_pos_centroid_lat__lag5__r2,S4__V_pos_centroid_lat__lag5__beta,1665,45,118,154,113,149
