pair,field_early_candidate,field_late_candidate,bootstrap_id,delta_late_minus_early,H_midpoint,P_midpoint,V_midpoint,Je_midpoint,Jw_midpoint,H_onset,H_finish,H_duration,five_field_midpoint_range,tail_type,tail_interpretation
H-P,H,P,158,-9.0,50.0,41.0,42.0,43.0,41.0,43.0,53.0,11.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,171,-10.0,50.0,40.0,42.0,46.0,42.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,172,-2.0,43.0,41.0,44.0,46.0,44.0,37.0,51.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,188,-1.0,44.0,43.0,42.0,50.0,46.0,40.0,51.0,12.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,190,-6.0,50.0,44.0,44.0,45.0,44.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,191,-13.0,53.0,40.0,45.0,46.0,41.0,39.0,55.0,17.0,13.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,197,-2.0,45.0,43.0,44.0,44.0,46.0,37.0,52.0,16.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,204,-9.0,50.0,41.0,42.0,47.0,43.0,42.0,54.0,13.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,206,-8.0,50.0,42.0,44.0,46.0,43.0,42.0,52.0,11.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,208,-2.0,44.0,42.0,40.0,47.0,47.0,42.0,47.0,6.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,212,-10.0,50.0,40.0,44.0,46.0,45.0,38.0,54.0,17.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,215,-7.0,49.0,42.0,45.0,49.0,48.0,43.0,52.0,10.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,219,-12.0,52.0,40.0,42.0,45.0,43.0,39.0,54.0,16.0,12.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,220,-5.0,45.0,40.0,42.0,44.0,44.0,39.0,53.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,224,-7.0,50.0,43.0,42.0,46.0,46.0,38.0,53.0,16.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,226,-4.0,49.0,45.0,45.0,46.0,48.0,39.0,52.0,14.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,235,-10.0,51.0,41.0,41.0,48.0,41.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,237,0.0,42.0,42.0,45.0,49.0,46.0,37.0,53.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,241,-8.0,50.0,42.0,44.0,44.0,45.0,37.0,53.0,17.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,242,-1.0,42.0,41.0,46.0,46.0,44.0,38.0,51.0,14.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,249,-11.0,52.0,41.0,43.0,46.0,42.0,39.0,54.0,16.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,250,-1.0,42.0,41.0,42.0,48.0,43.0,39.0,53.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,254,-7.0,51.0,44.0,43.0,43.0,42.0,38.0,54.0,17.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,266,-10.0,51.0,41.0,42.0,46.0,42.0,38.0,54.0,17.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,270,0.0,41.0,41.0,45.0,47.0,47.0,38.0,54.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,273,-10.0,51.0,41.0,45.0,46.0,43.0,37.0,54.0,18.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,281,-3.0,44.0,41.0,42.0,44.0,45.0,38.0,51.0,14.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,288,-5.0,49.0,44.0,44.0,46.0,46.0,41.0,53.0,13.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,296,-6.0,51.0,45.0,44.0,43.0,45.0,38.0,53.0,16.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,298,-10.0,52.0,42.0,43.0,46.0,43.0,36.0,55.0,20.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,299,-1.0,43.0,42.0,41.0,50.0,48.0,40.0,52.0,13.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,304,-1.0,42.0,41.0,45.0,44.0,41.0,37.0,54.0,18.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,313,-10.0,52.0,42.0,47.0,44.0,43.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,314,-2.0,43.0,41.0,45.0,46.0,48.0,37.0,51.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,315,-2.0,43.0,41.0,43.0,47.0,40.0,38.0,54.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,321,-8.0,49.0,41.0,41.0,46.0,43.0,44.0,51.0,8.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,326,0.0,42.0,42.0,43.0,46.0,43.0,39.0,53.0,15.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,329,-6.0,50.0,44.0,47.0,46.0,45.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,332,-5.0,45.0,40.0,44.0,46.0,48.0,38.0,51.0,14.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,339,-7.0,48.0,41.0,43.0,47.0,48.0,38.0,51.0,14.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,344,-9.0,50.0,41.0,43.0,47.0,46.0,39.0,53.0,15.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,345,-8.0,49.0,41.0,44.0,46.0,49.0,37.0,51.0,15.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,346,-1.0,46.0,45.0,44.0,47.0,46.0,40.0,51.0,12.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,348,-1.0,42.0,41.0,45.0,45.0,44.0,38.0,53.0,16.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,353,-9.0,50.0,41.0,43.0,45.0,42.0,37.0,53.0,17.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,359,-5.0,50.0,45.0,47.0,49.0,42.0,37.0,53.0,17.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,367,-10.0,50.0,40.0,45.0,50.0,43.0,38.0,53.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,371,-2.0,43.0,41.0,40.0,48.0,40.0,40.0,53.0,14.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,373,-1.0,44.0,43.0,42.0,45.0,45.0,41.0,50.0,10.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,379,-9.0,51.0,42.0,43.0,45.0,46.0,40.0,54.0,15.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,381,-9.0,50.0,41.0,42.0,48.0,44.0,41.0,53.0,13.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,382,-1.0,43.0,42.0,43.0,45.0,45.0,38.0,51.0,14.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,383,-8.0,50.0,42.0,44.0,45.0,42.0,37.0,52.0,16.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,386,-5.0,49.0,44.0,48.0,45.0,44.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,388,-6.0,50.0,44.0,45.0,46.0,46.0,40.0,53.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,392,-9.0,51.0,42.0,44.0,45.0,48.0,37.0,52.0,16.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,401,-10.0,51.0,41.0,42.0,46.0,41.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,404,0.0,43.0,43.0,45.0,49.0,49.0,37.0,52.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,406,-8.0,49.0,41.0,41.0,46.0,41.0,42.0,53.0,12.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,415,0.0,41.0,41.0,42.0,45.0,46.0,38.0,51.0,14.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,425,-8.0,52.0,44.0,46.0,44.0,44.0,38.0,54.0,17.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,432,-2.0,47.0,45.0,46.0,45.0,48.0,39.0,51.0,13.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,446,-2.0,43.0,41.0,45.0,50.0,44.0,38.0,51.0,14.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,448,-10.0,51.0,41.0,40.0,45.0,42.0,38.0,54.0,17.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,453,0.0,41.0,41.0,44.0,46.0,43.0,38.0,54.0,17.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,456,-1.0,43.0,42.0,44.0,45.0,40.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,466,-9.0,50.0,41.0,45.0,42.0,41.0,42.0,54.0,13.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,469,-5.0,46.0,41.0,44.0,45.0,43.0,38.0,51.0,14.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,475,-7.0,50.0,43.0,43.0,44.0,41.0,36.0,53.0,18.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,482,-10.0,51.0,41.0,41.0,50.0,42.0,39.0,54.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,483,0.0,43.0,43.0,45.0,45.0,47.0,37.0,52.0,16.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,485,-9.0,49.0,40.0,42.0,48.0,43.0,38.0,53.0,16.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,491,0.0,40.0,40.0,43.0,45.0,42.0,37.0,53.0,17.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,500,0.0,42.0,42.0,44.0,46.0,40.0,38.0,54.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,505,-3.0,44.0,41.0,43.0,46.0,41.0,39.0,53.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,509,0.0,40.0,40.0,44.0,49.0,46.0,37.0,52.0,16.0,9.0,late_field_early_tail,"P shifts to the early side of its own bootstrap distribution, weakening H's lead."
H-P,H,P,510,-9.0,50.0,41.0,44.0,46.0,39.0,37.0,53.0,17.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,518,-9.0,50.0,41.0,41.0,49.0,42.0,39.0,53.0,15.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,520,-10.0,51.0,41.0,44.0,44.0,44.0,37.0,54.0,18.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,525,-1.0,42.0,41.0,43.0,46.0,45.0,38.0,49.0,12.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,534,-2.0,43.0,41.0,44.0,46.0,45.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,538,-7.0,48.0,41.0,44.0,46.0,40.0,38.0,52.0,15.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,550,-9.0,51.0,42.0,45.0,46.0,44.0,37.0,54.0,18.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,555,-2.0,43.0,41.0,44.0,47.0,42.0,37.0,53.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,556,-1.0,43.0,42.0,44.0,48.0,49.0,38.0,52.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,558,0.0,42.0,42.0,45.0,47.0,43.0,37.0,53.0,17.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,560,-1.0,42.0,41.0,44.0,47.0,41.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,561,-11.0,51.0,40.0,42.0,44.0,48.0,38.0,53.0,16.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,564,-6.0,51.0,45.0,45.0,44.0,44.0,38.0,54.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,565,-2.0,43.0,41.0,41.0,44.0,42.0,38.0,54.0,17.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,570,0.0,41.0,41.0,45.0,49.0,44.0,37.0,53.0,17.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,573,-3.0,49.0,46.0,47.0,43.0,40.0,37.0,52.0,16.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,574,0.0,41.0,41.0,44.0,46.0,48.0,38.0,52.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,577,0.0,43.0,43.0,44.0,46.0,45.0,37.0,52.0,16.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,578,-3.0,47.0,44.0,45.0,47.0,42.0,42.0,52.0,11.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,588,-10.0,51.0,41.0,45.0,46.0,43.0,40.0,54.0,15.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,595,-9.0,51.0,42.0,43.0,45.0,43.0,38.0,53.0,16.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,597,-2.0,42.0,40.0,41.0,46.0,46.0,39.0,54.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,607,0.0,41.0,41.0,43.0,47.0,41.0,37.0,53.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,611,-9.0,51.0,42.0,45.0,48.0,45.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,612,-8.0,50.0,42.0,42.0,44.0,42.0,39.0,53.0,15.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,617,-8.0,51.0,43.0,45.0,44.0,45.0,39.0,54.0,16.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,619,-9.0,51.0,42.0,46.0,45.0,45.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,623,-7.0,48.0,41.0,43.0,46.0,43.0,39.0,52.0,14.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,625,-6.0,51.0,45.0,47.0,43.0,45.0,38.0,54.0,17.0,8.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,628,-9.0,50.0,41.0,42.0,50.0,46.0,45.0,53.0,9.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,633,-10.0,50.0,40.0,44.0,45.0,43.0,37.0,53.0,17.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,635,-9.0,51.0,42.0,44.0,47.0,42.0,39.0,53.0,15.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,641,-1.0,42.0,41.0,46.0,47.0,43.0,38.0,54.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,649,-2.0,43.0,41.0,42.0,47.0,44.0,38.0,53.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,650,-6.0,49.0,43.0,45.0,44.0,43.0,38.0,51.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,655,-6.0,50.0,44.0,45.0,45.0,41.0,38.0,53.0,16.0,9.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,661,-9.0,50.0,41.0,44.0,46.0,44.0,38.0,52.0,15.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,671,-9.0,50.0,41.0,44.0,46.0,41.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,680,-1.0,43.0,42.0,43.0,48.0,45.0,40.0,51.0,12.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,685,-8.0,50.0,42.0,45.0,44.0,49.0,38.0,52.0,15.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,687,-1.0,42.0,41.0,45.0,49.0,45.0,37.0,50.0,14.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,692,-7.0,52.0,45.0,45.0,47.0,42.0,39.0,54.0,16.0,10.0,early_field_late_tail,"H shifts to the late side of its own bootstrap distribution, weakening its lead over P."
H-P,H,P,695,-5.0,49.0,44.0,44.0,46.0,43.0,39.0,53.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,704,-3.0,44.0,41.0,45.0,45.0,42.0,38.0,52.0,15.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,711,-11.0,51.0,40.0,43.0,46.0,50.0,37.0,54.0,18.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,723,-4.0,49.0,45.0,45.0,47.0,44.0,43.0,52.0,10.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,725,0.0,42.0,42.0,44.0,51.0,46.0,37.0,53.0,17.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,731,-7.0,48.0,41.0,44.0,44.0,44.0,39.0,53.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,732,-4.0,46.0,42.0,45.0,45.0,47.0,40.0,51.0,12.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,736,-4.0,49.0,45.0,46.0,43.0,42.0,37.0,52.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,741,-11.0,51.0,40.0,44.0,47.0,42.0,49.0,54.0,6.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,742,-9.0,50.0,41.0,42.0,45.0,46.0,40.0,53.0,14.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,746,0.0,41.0,41.0,41.0,48.0,45.0,37.0,53.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,756,-2.0,43.0,41.0,42.0,44.0,44.0,37.0,53.0,17.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,765,-7.0,50.0,43.0,45.0,46.0,47.0,37.0,52.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,774,0.0,41.0,41.0,45.0,49.0,48.0,38.0,52.0,15.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,780,-3.0,44.0,41.0,40.0,47.0,45.0,41.0,53.0,13.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,781,-2.0,44.0,42.0,44.0,48.0,43.0,37.0,53.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
