scope,object,config_id,sensitivity_group,changed_factor,changed_value,candidate_id,perturbed_candidate_day,perturbed_candidate_date,perturbed_peak_score,nearest_joint_candidate_day,distance_to_nearest_joint_candidate,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,distance_to_nearest_strict_anchor,matched_object_native_baseline_candidate_id,matched_object_native_baseline_candidate_day,object_support_class,was_v10_window_conditioned_main_peak,v10_window_id_if_main,candidate_provenance_class
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP004,96,07-06,6.44414632933013,96,0,derived_non_strict_candidate_window,W004,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP005,113,07-23,9.678099825113602,113,0,strict_accepted_main_window,W005,W113,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP006,132,08-11,3.7541518352022365,132,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP007,135,08-14,3.7666081070788318,135,0,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,CP008,160,09-08,7.120567750300529,160,0,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,CP001,18,04-19,3.021425291663116,18,0,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
joint_all,joint_all,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,CP002,45,05-16,5.878578493131532,45,0,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,CP003,81,06-21,9.238311473412097,81,0,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
