baseline_config,field,signal,day,score
C0_full_stage,Jw,R_diff,29,0.8444828374459581
C0_full_stage,Jw,R_diff,30,1.2000616513675881
C0_full_stage,Jw,R_diff,31,1.6522541327665863
C0_full_stage,Jw,R_diff,32,2.153491058282329
C0_full_stage,Jw,R_diff,33,2.6245877290885566
C0_full_stage,Jw,R_diff,34,3.0193355319476325
C0_full_stage,Jw,R_diff,35,3.3813542541891835
C0_full_stage,Jw,R_diff,36,3.8071643900161267
C0_full_stage,Jw,R_diff,37,4.2605091647055335
C0_full_stage,Jw,R_diff,38,4.562655511307906
C0_full_stage,Jw,R_diff,39,4.677126895529752
C0_full_stage,Jw,R_diff,40,4.66157951629209
C0_full_stage,Jw,R_diff,41,4.6317323899422576
C0_full_stage,Jw,R_diff,42,4.62554058016824
C0_full_stage,Jw,R_diff,43,4.647124817190543
C0_full_stage,Jw,R_diff,44,4.655116463360688
C0_full_stage,Jw,R_diff,45,4.552999883260918
C0_full_stage,Jw,R_diff,46,4.2497954343015065
C0_full_stage,Jw,R_diff,47,3.8370292250431763
C0_full_stage,Jw,R_diff,48,3.4189778918176783
C0_full_stage,Jw,R_diff,49,2.9888545035781355
C0_full_stage,Jw,R_diff,50,2.5389193241843615
C0_full_stage,Jw,R_diff,51,2.0744314244936257
C0_full_stage,Jw,R_diff,52,1.6293674987113893
C0_full_stage,Jw,R_diff,53,1.2313519807115876
C0_full_stage,Jw,R_diff,54,0.9069604422583066
C0_full_stage,Jw,R_diff,55,0.6743893866399107
C0_full_stage,Jw,R_diff,56,0.5195260296124861
C0_full_stage,Jw,R_diff,57,0.411186439988595
C0_full_stage,Jw,R_diff,58,0.33782989014892023
C0_full_stage,Jw,R_diff,59,0.2914300194807877
C0_full_stage,Jw,R_diff,60,0.2629237528583695
C0_full_stage,Jw,R_diff,61,0.24372956546188185
C0_full_stage,Jw,R_diff,62,0.20359975504806913
C0_full_stage,Jw,R_diff,63,0.17136950430133377
C0_full_stage,Jw,R_diff,64,0.1408524342405958
C0_full_stage,Jw,R_diff,65,0.10718940484909807
C0_full_stage,Jw,R_diff,66,0.0763254694456288
C0_full_stage,Jw,R_diff,67,0.051200420150769775
C0_full_stage,Jw,R_diff,68,0.031144361205326567
C0_full_stage,Jw,R_diff,69,0.01669390718164376
C0_full_stage,Jw,R_diff,70,
C0_full_stage,Jw,S_pattern,4,
C0_full_stage,Jw,S_pattern,5,
C0_full_stage,Jw,S_pattern,6,0.00011131032190609198
C0_full_stage,Jw,S_pattern,7,0.00024239836325795825
C0_full_stage,Jw,S_pattern,8,0.00039380860912623567
C0_full_stage,Jw,S_pattern,9,0.0006448255264828444
C0_full_stage,Jw,S_pattern,10,0.0012771118246244183
C0_full_stage,Jw,S_pattern,11,0.0027194554807556484
C0_full_stage,Jw,S_pattern,12,0.005451294862780692
C0_full_stage,Jw,S_pattern,13,0.009869066733230717
C0_full_stage,Jw,S_pattern,14,0.015992971034242052
C0_full_stage,Jw,S_pattern,15,0.02232350199570908
C0_full_stage,Jw,S_pattern,16,0.028578740836556864
C0_full_stage,Jw,S_pattern,17,0.03527693115241044
C0_full_stage,Jw,S_pattern,18,0.04211235903674536
C0_full_stage,Jw,S_pattern,19,0.0469398399936527
C0_full_stage,Jw,S_pattern,20,0.048240989955987544
C0_full_stage,Jw,S_pattern,21,0.046413308461105376
C0_full_stage,Jw,S_pattern,22,0.043710563749654666
C0_full_stage,Jw,S_pattern,23,0.04347505756106139
C0_full_stage,Jw,S_pattern,24,0.048052130954332764
C0_full_stage,Jw,S_pattern,25,0.0575633246076815
C0_full_stage,Jw,S_pattern,26,0.071070069978447
C0_full_stage,Jw,S_pattern,27,0.08818237369170825
C0_full_stage,Jw,S_pattern,28,0.1158030404502148
C0_full_stage,Jw,S_pattern,29,0.16184732752613168
C0_full_stage,Jw,S_pattern,30,0.22999493006614236
C0_full_stage,Jw,S_pattern,31,0.3166587927245964
C0_full_stage,Jw,S_pattern,32,0.412722150385585
C0_full_stage,Jw,S_pattern,33,0.5030090500069468
C0_full_stage,Jw,S_pattern,34,0.5786634909341043
C0_full_stage,Jw,S_pattern,35,0.6480453186174523
C0_full_stage,Jw,S_pattern,36,0.7296529362755673
C0_full_stage,Jw,S_pattern,37,0.8165376389337348
C0_full_stage,Jw,S_pattern,38,0.8744447704359863
C0_full_stage,Jw,S_pattern,39,0.896383508315557
C0_full_stage,Jw,S_pattern,40,0.893403812733748
C0_full_stage,Jw,S_pattern,41,0.8876835335050248
C0_full_stage,Jw,S_pattern,42,0.8864968570919131
C0_full_stage,Jw,S_pattern,43,0.890633532135915
C0_full_stage,Jw,S_pattern,44,0.8921651518655525
C0_full_stage,Jw,S_pattern,45,0.8725942442610345
C0_full_stage,Jw,S_pattern,46,0.8144843246959081
C0_full_stage,Jw,S_pattern,47,0.7353766094182391
C0_full_stage,Jw,S_pattern,48,0.6552559864155094
C0_full_stage,Jw,S_pattern,49,0.5728217227381142
C0_full_stage,Jw,S_pattern,50,0.4865904778674535
C0_full_stage,Jw,S_pattern,51,0.3975701663824581
C0_full_stage,Jw,S_pattern,52,0.3122725099090629
C0_full_stage,Jw,S_pattern,53,0.23599180289431668
C0_full_stage,Jw,S_pattern,54,0.17382132263975086
C0_full_stage,Jw,S_pattern,55,0.12924847622689745
C0_full_stage,Jw,S_pattern,56,0.0995685119277797
C0_full_stage,Jw,S_pattern,57,0.07880494839706839
C0_full_stage,Jw,S_pattern,58,0.06474597523427882
C0_full_stage,Jw,S_pattern,59,0.055853319596767315
C0_full_stage,Jw,S_pattern,60,0.05039001961480537
C0_full_stage,Jw,S_pattern,61,0.046711403784609924
C0_full_stage,Jw,S_pattern,62,0.039020421467847705
C0_full_stage,Jw,S_pattern,63,0.032843410263412996
C0_full_stage,Jw,S_pattern,64,0.026994734583755665
C0_full_stage,Jw,S_pattern,65,0.020543127633488867
C0_full_stage,Jw,S_pattern,66,0.01462797431065965
C0_full_stage,Jw,S_pattern,67,0.009812693404970912
C0_full_stage,Jw,S_pattern,68,0.00596889765555857
C0_full_stage,Jw,S_pattern,69,0.003199430637915432
C0_full_stage,Jw,S_pattern,70,
C1_buffered_stage,H,R_diff,4,
C1_buffered_stage,H,R_diff,5,
C1_buffered_stage,H,R_diff,6,5.707905610045361e-06
C1_buffered_stage,H,R_diff,7,9.30681325857605e-06
C1_buffered_stage,H,R_diff,8,1.2273525035066866e-05
C1_buffered_stage,H,R_diff,9,1.4786016972937143e-05
C1_buffered_stage,H,R_diff,10,1.6688886493491343e-05
C1_buffered_stage,H,R_diff,11,1.8009132787756546e-05
C1_buffered_stage,H,R_diff,12,1.8542911533601167e-05
C1_buffered_stage,H,R_diff,13,1.8965303209214422e-05
C1_buffered_stage,H,R_diff,14,1.9284872663486663e-05
C1_buffered_stage,H,R_diff,15,1.612731248326657e-05
C1_buffered_stage,H,R_diff,16,1.359874977752863e-05
C1_buffered_stage,H,R_diff,17,1.1582307267873616e-05
C1_buffered_stage,H,R_diff,18,9.565973633360945e-06
C1_buffered_stage,H,R_diff,19,7.629782779877976e-06
C1_buffered_stage,H,R_diff,20,6.179352845626846e-06
C1_buffered_stage,H,R_diff,21,5.241763010684953e-06
C1_buffered_stage,H,R_diff,22,4.495734558377012e-06
C1_buffered_stage,H,R_diff,23,3.848874006464994e-06
C1_buffered_stage,H,R_diff,24,3.5065243752959247e-06
C1_buffered_stage,H,R_diff,25,3.574645044413564e-06
C1_buffered_stage,H,R_diff,26,4.180274189934121e-06
C1_buffered_stage,H,R_diff,27,5.912723878075528e-06
C1_buffered_stage,H,R_diff,28,1.0123351481029234e-05
C1_buffered_stage,H,R_diff,29,1.813766327114459e-05
C1_buffered_stage,H,R_diff,30,3.1474856699768435e-05
C1_buffered_stage,H,R_diff,31,5.188916264531309e-05
C1_buffered_stage,H,R_diff,32,8.208780552756214e-05
C1_buffered_stage,H,R_diff,33,0.00012244689615619698
C1_buffered_stage,H,R_diff,34,0.0001703400483140641
C1_buffered_stage,H,R_diff,35,0.00022071573821118656
C1_buffered_stage,H,R_diff,36,0.0002683765769244241
C1_buffered_stage,H,R_diff,37,0.00030504658247568575
C1_buffered_stage,H,R_diff,38,0.0003213768869779289
C1_buffered_stage,H,R_diff,39,0.0003171847141956398
C1_buffered_stage,H,R_diff,40,0.0002960048921915705
C1_buffered_stage,H,R_diff,41,0.0002609369665423789
C1_buffered_stage,H,R_diff,42,0.00021512735512710707
C1_buffered_stage,H,R_diff,43,0.00016575673190238386
C1_buffered_stage,H,R_diff,44,0.00011956169833399667
C1_buffered_stage,H,R_diff,45,8.092948815083842e-05
C1_buffered_stage,H,R_diff,46,5.198131132931852e-05
C1_buffered_stage,H,R_diff,47,3.365464444999803e-05
C1_buffered_stage,H,R_diff,48,2.4287388332606793e-05
C1_buffered_stage,H,R_diff,49,2.0351086864446187e-05
C1_buffered_stage,H,R_diff,50,1.9561707786101133e-05
C1_buffered_stage,H,R_diff,51,2.1525097512910884e-05
C1_buffered_stage,H,R_diff,52,2.5742213782230266e-05
C1_buffered_stage,H,R_diff,53,3.2489329561530735e-05
C1_buffered_stage,H,R_diff,54,4.3564286844583315e-05
C1_buffered_stage,H,R_diff,55,6.0284784132259335e-05
C1_buffered_stage,H,R_diff,56,8.201071568006147e-05
C1_buffered_stage,H,R_diff,57,0.00010630817503138058
C1_buffered_stage,H,R_diff,58,0.0001301750224481407
C1_buffered_stage,H,R_diff,59,0.00015316549880661906
C1_buffered_stage,H,R_diff,60,0.00017709992977191496
C1_buffered_stage,H,R_diff,61,0.0002046555375915454
C1_buffered_stage,H,R_diff,62,0.00019533835873475946
C1_buffered_stage,H,R_diff,63,0.00018593408238764923
C1_buffered_stage,H,R_diff,64,0.0001720447661266177
C1_buffered_stage,H,R_diff,65,0.00015191673788735743
C1_buffered_stage,H,R_diff,66,0.00012522479600870375
C1_buffered_stage,H,R_diff,67,9.573999481524112e-05
C1_buffered_stage,H,R_diff,68,6.889094451001382e-05
C1_buffered_stage,H,R_diff,69,4.5105801014568804e-05
C1_buffered_stage,H,R_diff,70,
C1_buffered_stage,H,S_pattern,4,
C1_buffered_stage,H,S_pattern,5,
C1_buffered_stage,H,S_pattern,6,0.01961129140896435
C1_buffered_stage,H,S_pattern,7,0.03197646201113223
C1_buffered_stage,H,S_pattern,8,0.042169526359073624
C1_buffered_stage,H,S_pattern,9,0.05080197666966126
C1_buffered_stage,H,S_pattern,10,0.057339878875883925
C1_buffered_stage,H,S_pattern,11,0.06187599712613554
C1_buffered_stage,H,S_pattern,12,0.06370996062305229
C1_buffered_stage,H,S_pattern,13,0.06516121907143856
C1_buffered_stage,H,S_pattern,14,0.06625919968312041
C1_buffered_stage,H,S_pattern,15,0.055410416072077986
C1_buffered_stage,H,S_pattern,16,0.04672274962209426
C1_buffered_stage,H,S_pattern,17,0.03979463196074586
C1_buffered_stage,H,S_pattern,18,0.03286688837393316
C1_buffered_stage,H,S_pattern,19,0.02621450032739698
C1_buffered_stage,H,S_pattern,20,0.021231095545996368
C1_buffered_stage,H,S_pattern,21,0.018009713005477535
C1_buffered_stage,H,S_pattern,22,0.015446499389638962
C1_buffered_stage,H,S_pattern,23,0.013224008050226594
C1_buffered_stage,H,S_pattern,24,0.012047759030131736
C1_buffered_stage,H,S_pattern,25,0.012281808852309567
C1_buffered_stage,H,S_pattern,26,0.014362636824948587
C1_buffered_stage,H,S_pattern,27,0.020315008501472782
C1_buffered_stage,H,S_pattern,28,0.03478193395147094
C1_buffered_stage,H,S_pattern,29,0.062317603721770524
C1_buffered_stage,H,S_pattern,30,0.10814169486408745
C1_buffered_stage,H,S_pattern,31,0.178281415132982
C1_buffered_stage,H,S_pattern,32,0.2820382790651329
C1_buffered_stage,H,S_pattern,33,0.4207045327477441
C1_buffered_stage,H,S_pattern,34,0.5852564065223951
C1_buffered_stage,H,S_pattern,35,0.7583378136082847
C1_buffered_stage,H,S_pattern,36,0.922091502028777
C1_buffered_stage,H,S_pattern,37,1.0480827524041374
C1_buffered_stage,H,S_pattern,38,1.1041906109200519
C1_buffered_stage,H,S_pattern,39,1.0897870927669986
C1_buffered_stage,H,S_pattern,40,1.0170172031281828
C1_buffered_stage,H,S_pattern,41,0.8965303983352145
C1_buffered_stage,H,S_pattern,42,0.7391371791454558
C1_buffered_stage,H,S_pattern,43,0.5695089923376294
C1_buffered_stage,H,S_pattern,44,0.41079153503382365
C1_buffered_stage,H,S_pattern,45,0.27805851815615595
C1_buffered_stage,H,S_pattern,46,0.17859802070049796
C1_buffered_stage,H,S_pattern,47,0.1156310360865892
C1_buffered_stage,H,S_pattern,48,0.08344690376715017
C1_buffered_stage,H,S_pattern,49,0.0699225113823542
C1_buffered_stage,H,S_pattern,50,0.06721035315914786
C1_buffered_stage,H,S_pattern,51,0.07395619142495088
C1_buffered_stage,H,S_pattern,52,0.08844541071364355
C1_buffered_stage,H,S_pattern,53,0.11162723304178473
C1_buffered_stage,H,S_pattern,54,0.14967870576367617
C1_buffered_stage,H,S_pattern,55,0.20712719339008714
C1_buffered_stage,H,S_pattern,56,0.2817734128309455
C1_buffered_stage,H,S_pattern,57,0.3652549187264811
C1_buffered_stage,H,S_pattern,58,0.44725692290812574
C1_buffered_stage,H,S_pattern,59,0.5262478807655081
C1_buffered_stage,H,S_pattern,60,0.6084820893239106
C1_buffered_stage,H,S_pattern,61,0.7031579812922086
C1_buffered_stage,H,S_pattern,62,0.6711459050328723
C1_buffered_stage,H,S_pattern,63,0.6388345781586146
C1_buffered_stage,H,S_pattern,64,0.591113496684003
C1_buffered_stage,H,S_pattern,65,0.5219573728347743
C1_buffered_stage,H,S_pattern,66,0.4302488747944127
C1_buffered_stage,H,S_pattern,67,0.3289446368051381
C1_buffered_stage,H,S_pattern,68,0.2366963437249085
C1_buffered_stage,H,S_pattern,69,0.15497505886829313
C1_buffered_stage,H,S_pattern,70,
C1_buffered_stage,Jw,R_diff,4,
C1_buffered_stage,Jw,R_diff,5,
C1_buffered_stage,Jw,R_diff,6,0.0009286413223431503
C1_buffered_stage,Jw,R_diff,7,0.0019262066134046708
C1_buffered_stage,Jw,R_diff,8,0.0031240479397922952
C1_buffered_stage,Jw,R_diff,9,0.005100956396102283
C1_buffered_stage,Jw,R_diff,10,0.009805045481229928
C1_buffered_stage,Jw,R_diff,11,0.019973169341664668
C1_buffered_stage,Jw,R_diff,12,0.03840576050428852
C1_buffered_stage,Jw,R_diff,13,0.0672393074415543
C1_buffered_stage,Jw,R_diff,14,0.10617780008675634
C1_buffered_stage,Jw,R_diff,15,0.1448969268206336
C1_buffered_stage,Jw,R_diff,16,0.1823663930525221
C1_buffered_stage,Jw,R_diff,17,0.22163457154627442
C1_buffered_stage,Jw,R_diff,18,0.2607465124944337
C1_buffered_stage,Jw,R_diff,19,0.28695121272854524
C1_buffered_stage,Jw,R_diff,20,0.29136307691243185
C1_buffered_stage,Jw,R_diff,21,0.27736195534698427
C1_buffered_stage,Jw,R_diff,22,0.25903697730705555
C1_buffered_stage,Jw,R_diff,23,0.25618763934583194
C1_buffered_stage,Jw,R_diff,24,0.2823958725801428
C1_buffered_stage,Jw,R_diff,25,0.3377800855001927
C1_buffered_stage,Jw,R_diff,26,0.4168598900733436
C1_buffered_stage,Jw,R_diff,27,0.5170781672261991
C1_buffered_stage,Jw,R_diff,28,0.6771383890229243
C1_buffered_stage,Jw,R_diff,29,0.9417443301547207
C1_buffered_stage,Jw,R_diff,30,1.3310580771515557
C1_buffered_stage,Jw,R_diff,31,1.8224313448488485
C1_buffered_stage,Jw,R_diff,32,2.3608369676061387
C1_buffered_stage,Jw,R_diff,33,2.856751188546369
C1_buffered_stage,Jw,R_diff,34,3.2591349477890628
C1_buffered_stage,Jw,R_diff,35,3.6170432979797913
C1_buffered_stage,Jw,R_diff,36,4.034158170228901
C1_buffered_stage,Jw,R_diff,37,4.473634702232964
C1_buffered_stage,Jw,R_diff,38,4.749716499301075
C1_buffered_stage,Jw,R_diff,39,4.826679685659808
C1_buffered_stage,Jw,R_diff,40,4.768845422760804
C1_buffered_stage,Jw,R_diff,41,4.700588979177133
C1_buffered_stage,Jw,R_diff,42,4.66367672863371
C1_buffered_stage,Jw,R_diff,43,4.664579249892019
C1_buffered_stage,Jw,R_diff,44,4.660991681398756
C1_buffered_stage,Jw,R_diff,45,4.552915919214642
C1_buffered_stage,Jw,R_diff,46,4.247470839949685
C1_buffered_stage,Jw,R_diff,47,3.8351959425493254
C1_buffered_stage,Jw,R_diff,48,3.4205565427455458
C1_buffered_stage,Jw,R_diff,49,2.9956171156335847
C1_buffered_stage,Jw,R_diff,50,2.549758038804233
C1_buffered_stage,Jw,R_diff,51,2.086494237312583
C1_buffered_stage,Jw,R_diff,52,1.6400196728247731
C1_buffered_stage,Jw,R_diff,53,1.238888573573475
C1_buffered_stage,Jw,R_diff,54,0.9103840429589156
C1_buffered_stage,Jw,R_diff,55,0.6731481781800362
C1_buffered_stage,Jw,R_diff,56,0.513340757590324
C1_buffered_stage,Jw,R_diff,57,0.40052342635365956
C1_buffered_stage,Jw,R_diff,58,0.323134138478564
C1_buffered_stage,Jw,R_diff,59,0.27313649619454633
C1_buffered_stage,Jw,R_diff,60,0.24155875319827402
C1_buffered_stage,Jw,R_diff,61,0.21962373478967823
C1_buffered_stage,Jw,R_diff,62,0.18089048200161378
C1_buffered_stage,Jw,R_diff,63,0.15019397888811012
C1_buffered_stage,Jw,R_diff,64,0.12179922216153516
C1_buffered_stage,Jw,R_diff,65,0.09137892990629819
C1_buffered_stage,Jw,R_diff,66,0.06414740373109717
C1_buffered_stage,Jw,R_diff,67,0.042365322473947295
C1_buffered_stage,Jw,R_diff,68,0.025356985804686358
C1_buffered_stage,Jw,R_diff,69,0.013373444592277156
C1_buffered_stage,Jw,R_diff,70,
C1_buffered_stage,Jw,S_pattern,4,
C1_buffered_stage,Jw,S_pattern,5,
C1_buffered_stage,Jw,S_pattern,6,0.00015474614970055218
C1_buffered_stage,Jw,S_pattern,7,0.00032097759358803524
C1_buffered_stage,Jw,S_pattern,8,0.0005205824665900082
C1_buffered_stage,Jw,S_pattern,9,0.0008500088711274784
C1_buffered_stage,Jw,S_pattern,10,0.0016338849019023902
C1_buffered_stage,Jw,S_pattern,11,0.0033282721526337942
C1_buffered_stage,Jw,S_pattern,12,0.006399826737587403
C1_buffered_stage,Jw,S_pattern,13,0.011204567021482825
C1_buffered_stage,Jw,S_pattern,14,0.01769316672840144
C1_buffered_stage,Jw,S_pattern,15,0.024145211923544324
C1_buffered_stage,Jw,S_pattern,16,0.030389017245592027
C1_buffered_stage,Jw,S_pattern,17,0.03693255486497092
C1_buffered_stage,Jw,S_pattern,18,0.043450057503957126
C1_buffered_stage,Jw,S_pattern,19,0.0478167342474108
C1_buffered_stage,Jw,S_pattern,20,0.048551914751478326
C1_buffered_stage,Jw,S_pattern,21,0.04621880766092209
C1_buffered_stage,Jw,S_pattern,22,0.04316518542077556
C1_buffered_stage,Jw,S_pattern,23,0.042690379843976084
C1_buffered_stage,Jw,S_pattern,24,0.0470576453165382
C1_buffered_stage,Jw,S_pattern,25,0.05628671309261795
C1_buffered_stage,Jw,S_pattern,26,0.06946434689195202
