baseline_config,field,day,R_diff,S_pattern,dR_diff,dS_pattern,dRdiff_smooth3,dSpattern_smooth3
C1_buffered_stage,H,44,0.0033838365450434,0.6889760111025867,0.00043186603893989985,0.025314173858432043,0.00045263715679543323,0.026531689572142986
C1_buffered_stage,H,45,0.0037422762148069,0.7099862395067987,0.00035843966976349976,0.021010228404212072,0.00022346827584679993,0.013098772018553287
C1_buffered_stage,H,46,0.0036223753336439,0.7029581532998145,-0.00011990088116299981,-0.007028086206984252,-5.441200804130004e-05,-0.003189403443079386
C1_buffered_stage,H,47,0.0032206005209195,0.6794078007733485,-0.0004017748127244001,-0.02355035252646598,-0.0002057801417567999,-0.012061967868162271
C1_buffered_stage,H,48,0.0031249357895365,0.6738003359023119,-9.566473138299982e-05,-0.005607464871036583,-0.0001356076337092666,-0.007948750090822151
C1_buffered_stage,H,49,0.0032155524325161,0.679111903027348,9.061664297960008e-05,0.00531156712503611,1.6793125750100047e-05,0.0009843425195178075
C1_buffered_stage,H,50,0.0032709798981698,0.6823608283319019,5.542746565369988e-05,0.0032489253045538957,0.00013254478757003326,0.007769218910596824
C1_buffered_stage,H,51,0.0035225701522466,0.6971079926341024,0.00025159025407679985,0.014747164302200466,0.0002156040741978,0.01263780553855598
C1_buffered_stage,H,52,0.0038623646551095,0.717025319643016,0.0003397945028629002,0.019917327008913577,0.00021961554645376675,0.012872941198597684
C1_buffered_stage,H,53,0.0039298265375311,0.720979651927695,6.74618824216002e-05,0.0039543322846790074,0.00018285439406193348,0.010718156800250752
C1_buffered_stage,H,54,0.0040711333344324,0.7292624630348546,0.00014130679690130005,0.008282811107159671,0.0002488403642772334,0.014585977308544459
C1_buffered_stage,H,55,0.0046088857479412,0.7607832515686493,0.0005377524135088,0.0315207885337947,0.0004126229108428999,0.024186222488547515
C1_buffered_stage,H,56,0.0051676952700598,0.7935383193933375,0.0005588095221185996,0.03275506782468818,0.0005230040868651999,0.030656303552075343
C1_buffered_stage,H,57,0.005640145595028,0.8212313736910807,0.00047245032496820005,0.027693054297743158,0.0005384570352927999,0.03156209050416333
C1_buffered_stage,H,58,0.0062242568538196,0.8554695230811393,0.0005841112587916001,0.03423814939005865,0.0005299433959868333,0.03106305671561016
C1_buffered_stage,H,59,0.0067575254580203,0.886727489540168,0.0005332686042006998,0.031257966459028674,0.0005395958660049334,0.031628843978720456
C1_buffered_stage,H,60,0.0072589331930428,0.916117905627242,0.0005014077350225,0.029390416087074045,0.0004615395991768,0.02705351336444517
C1_buffered_stage,H,61,0.00760887565135,0.9366300631744748,0.00034994245830720014,0.02051215754723279,0.0004611902943074001,0.027033038579682533
C1_buffered_stage,H,62,0.0081410963409425,0.9678266052792156,0.0005322206895925002,0.031196542104740765,0.0005584623614152999,0.032734718721939594
C1_buffered_stage,H,63,0.0089343202772887,1.0143220617930608,0.0007932239363461994,0.046495456513845235,0.0007850445864775669,0.04601601736847131
C1_buffered_stage,H,64,0.0099640094107827,1.0746781152798888,0.0010296891334940009,0.06035605348682793,0.0010369431451830002,0.06078125319347316
C1_buffered_stage,H,65,0.0112519257764915,1.150170364859635,0.0012879163657088001,0.07549224957974632,0.0011298253333628001,0.06622561706543895
C1_buffered_stage,H,66,0.0123237962773771,1.2129989129893777,0.0010718705008855994,0.06282854812974259,0.0010032830264636663,0.05880823836820648
C1_buffered_stage,H,67,0.0129738584901737,1.2511028303845082,0.0006500622127965996,0.03810391739513053,0.0007981068641295663,0.04678167323777882
C1_buffered_stage,H,68,0.0136462463688802,1.2905153845729715,0.0006723878787064999,0.039412554188463345,0.0007144059013311667,0.04187547424700592
C1_buffered_stage,H,69,0.0144670139813706,1.3386253357303954,0.0008207676124904004,0.04810995115742389,0.0009119198330517665,0.05345291159148887
C1_buffered_stage,H,70,0.015709617989329,1.4114615651589748,0.0012426040079583991,0.07283622942857937,0.0010316858102243998,0.06047309029300163
C1_buffered_stage,Jw,0,,,0.0,0.0,0.0,0.0
C1_buffered_stage,Jw,1,,,0.0,0.0,0.0,0.0
C1_buffered_stage,Jw,2,,,0.0,0.0,0.0,0.0
C1_buffered_stage,Jw,3,,,0.0,0.0,0.0,0.0
C1_buffered_stage,Jw,4,-1.400155585612325,-0.0849940977572568,0.0,0.0,-0.0029270996938826808,-0.0011948776501802306
C1_buffered_stage,Jw,5,-1.408936884693973,-0.0885787307077975,-0.008781299081648042,-0.003584632950540692,-0.001246307507591841,-0.000508757863350399
C1_buffered_stage,Jw,6,-1.4038945081351004,-0.086520371347308,0.005042376558872519,0.002058359360489495,0.002197745852099864,0.0008971465525887679
C1_buffered_stage,Jw,7,-1.3935623480560253,-0.0823026580994905,0.010332160079075114,0.0042177132478175006,0.008742539892756973,0.0035688109788320674
C1_buffered_stage,Jw,8,-1.382709265015702,-0.0778722977713013,0.010853083040323286,0.004430360328189206,0.008370280304291766,0.0034168500930269
C1_buffered_stage,Jw,9,-1.3787836672222251,-0.0762698210682273,0.003925597793476898,0.0016024767030739934,0.00460095532231571,0.0018781658498349674
C1_buffered_stage,Jw,10,-1.3797594820890782,-0.0766681605499856,-0.0009758148668530531,-0.0003983394817582975,0.0016322633454705453,0.0006663097245328311
C1_buffered_stage,Jw,11,-1.3778124749792904,-0.0758733685977028,0.0019470071097877906,0.0007947919522827973,0.0009718748994428742,0.0003967311392032343
C1_buffered_stage,Jw,12,-1.3758680425238965,-0.0750796276506176,0.0019444324553938852,0.000793740947085203,0.0018306527280285885,0.0007472946803056638
C1_buffered_stage,Jw,13,-1.3742675239049924,-0.0744262765090686,0.0016005186189040899,0.0006533511415489912,0.0006956239286416052,0.0002839621373339346
C1_buffered_stage,Jw,14,-1.3757256031933656,-0.075021482185701,-0.0014580792883731597,-0.0005952056766323904,0.0029454090097040067,0.001202351735299631
C1_buffered_stage,Jw,15,-1.3670318154947845,-0.0714725724447187,0.00869378769858109,0.0035489097409822923,0.008469252643062605,0.00345725180391857
C1_buffered_stage,Jw,16,-1.3488597659758046,-0.0640545210973129,0.018172049518979883,0.007418051347405807,0.016946153034509342,0.0069176255116239
C1_buffered_stage,Jw,17,-1.3248871440898375,-0.0542686056508293,0.02397262188596705,0.0097859154464836,0.027566323550322586,0.011252908118146901
C1_buffered_stage,Jw,18,-1.2843328448438167,-0.037713848090278,0.04055429924602083,0.016554757560551296,0.040668888319462214,0.016601534212230134
C1_buffered_stage,Jw,19,-1.226853101017418,-0.0142499184606225,0.057479743826398755,0.023463929629655503,0.05051960623176751,0.02062271691955043
C1_buffered_stage,Jw,20,-1.173328325394535,0.007599545107822,0.053524775622882936,0.0218494635684445,0.05268498726884877,0.021506651761516966
C1_buffered_stage,Jw,21,-1.1262778830372704,0.0268061071942729,0.04705044235726463,0.0192065620864509,0.043102502503886995,0.0175949650831389
C1_buffered_stage,Jw,22,-1.097545593505757,0.0385349767887942,0.02873228953151341,0.011728869594521303,0.02655440731267304,0.010839831618310267
