mode,year,object,window,strength
anomaly,2015,P,E1,2.2303011355692988
anomaly,2016,P,E1,3.0201340812035773
anomaly,2017,P,E1,1.7799997404436199
anomaly,2018,P,E1,2.150785032170258
anomaly,2019,P,E1,2.607148331676709
anomaly,2020,P,E1,2.1523417409437102
anomaly,2021,P,E1,5.802817882247267
anomaly,2022,P,E1,2.8125325633600484
anomaly,2023,P,E1,2.4451641760917204
anomaly,1979,P,E2,2.3054495855572004
anomaly,1980,P,E2,3.4164147445905226
anomaly,1981,P,E2,2.0886490220894656
anomaly,1982,P,E2,3.6942418280822227
anomaly,1983,P,E2,2.3576949756009182
anomaly,1984,P,E2,3.7182323757455618
anomaly,1985,P,E2,3.2171899619033715
anomaly,1986,P,E2,1.8354957572714998
anomaly,1987,P,E2,1.95158150845438
anomaly,1988,P,E2,2.7645397965600953
anomaly,1989,P,E2,2.478788242510388
anomaly,1990,P,E2,2.272046364809234
anomaly,1991,P,E2,1.8654906111529401
anomaly,1992,P,E2,2.416335796701552
anomaly,1993,P,E2,3.5367493232714713
anomaly,1994,P,E2,3.079354016438112
anomaly,1995,P,E2,2.3588177765297744
anomaly,1996,P,E2,1.7534556543422584
anomaly,1997,P,E2,2.4959051983079776
anomaly,1998,P,E2,2.9739445354163716
anomaly,1999,P,E2,5.182149476333553
anomaly,2000,P,E2,3.474263727955753
anomaly,2001,P,E2,2.24252149167623
anomaly,2002,P,E2,3.3274168366064867
anomaly,2003,P,E2,2.6113389738276793
anomaly,2004,P,E2,2.4808840765547204
anomaly,2005,P,E2,2.364030419783108
anomaly,2006,P,E2,1.8752585871722656
anomaly,2007,P,E2,3.0079640831087495
anomaly,2008,P,E2,3.634824443346049
anomaly,2009,P,E2,6.553038741590385
anomaly,2010,P,E2,4.012389567884205
anomaly,2011,P,E2,3.0055907010934106
anomaly,2012,P,E2,2.004888360608875
anomaly,2013,P,E2,2.460695524644177
anomaly,2014,P,E2,3.037445771476789
anomaly,2015,P,E2,1.9648008032104083
anomaly,2016,P,E2,2.7498723468085156
anomaly,2017,P,E2,2.150029555006012
anomaly,2018,P,E2,2.2832693022179757
anomaly,2019,P,E2,4.122728412167116
anomaly,2020,P,E2,3.072763428852132
anomaly,2021,P,E2,2.1292462768269127
anomaly,2022,P,E2,3.701319816524244
anomaly,2023,P,E2,2.314096368242461
anomaly,1979,P,P45,5.581032461970783
anomaly,1980,P,P45,7.203887575048206
anomaly,1981,P,P45,4.707112721630136
anomaly,1982,P,P45,3.8281888306760083
anomaly,1983,P,P45,4.813906514476043
anomaly,1984,P,P45,3.450959801933737
anomaly,1985,P,P45,4.167512144095621
anomaly,1986,P,P45,4.915542917948883
anomaly,1987,P,P45,4.142115078028089
anomaly,1988,P,P45,3.2461089898354025
anomaly,1989,P,P45,4.860326591680651
anomaly,1990,P,P45,3.5978302647693607
anomaly,1991,P,P45,5.011638204445311
anomaly,1992,P,P45,2.2590542010047545
anomaly,1993,P,P45,4.25929805537998
anomaly,1994,P,P45,3.9600592666092984
anomaly,1995,P,P45,5.051827372570922
anomaly,1996,P,P45,7.656820504177036
anomaly,1997,P,P45,2.883708529421665
anomaly,1998,P,P45,3.7341801862581967
anomaly,1999,P,P45,3.485348820371944
anomaly,2000,P,P45,6.342845656060269
anomaly,2001,P,P45,4.939789192702087
anomaly,2002,P,P45,2.9999451281745406
anomaly,2003,P,P45,4.291142076219327
anomaly,2004,P,P45,4.623643414388767
anomaly,2005,P,P45,3.38396493199537
anomaly,2006,P,P45,6.7590857858672555
anomaly,2007,P,P45,3.4907913111090356
anomaly,2008,P,P45,8.717205374385918
anomaly,2009,P,P45,3.791361754658787
anomaly,2010,P,P45,4.203846146566502
anomaly,2011,P,P45,3.999302267966589
anomaly,2012,P,P45,3.947265489771004
