mode,source_object,source_package_type,source_col,target_object,target_type,target_col,is_self_target,is_leaveout_for_source,n_years_valid,base_predictors,extended_predictors,base_r2,extended_r2,delta_r2,base_cv_rmse,extended_cv_rmse,delta_cv_rmse_positive_means_improvement,source_coef,source_coef_loo_sign_stability,permutation_p_delta_r2,decision
anomaly,Jw,main_cluster_source,Jw_M_source_strength,Jw,individual_main,Jw_Jw41_strength,True,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.1320193596482906,1.0,0.8679806403517094,1.0166821021025463,8.805647310106308e-16,1.0166821021025454,1.0000000000000002,1.0,0.009900990099009901,self_target_only
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M,combined_available,M_combined_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.14829611430631662,0.19988488953910954,0.05158877523279293,1.0336891759026887,1.0165825985592662,0.01710657734342247,0.24379376218568338,1.0,0.1485148514851485,weak_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,joint_proxy,joint_proxy_available,joint45_strength_proxy,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.14829611430631662,0.19988488953910954,0.05158877523279293,1.0336891759026887,1.0165825985592662,0.01710657734342247,0.24379376218568338,1.0,0.1188118811881188,weak_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_P,leave_one_object_out,M_minus_P_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.1918435365568193,0.3447047589504767,0.1528612223936574,1.0046724950444839,0.9225549234896917,0.08211757155479216,0.41965620097013023,1.0,0.0297029702970297,clear_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_V,leave_one_object_out,M_minus_V_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.17181452892945426,0.2931587933873169,0.12134426445786262,1.0310454923786612,0.9720475657142357,0.05899792666442549,0.37389926153422465,1.0,0.009900990099009901,clear_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_Je,leave_one_object_out,M_minus_Je_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.11909717654289209,0.2361481176634046,0.11705094112051251,1.0437702893791603,0.9844159705354527,0.059354318843707565,0.36722516581930964,1.0,0.019801980198019802,clear_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_Jw,leave_one_object_out,M_minus_Jw_strength,False,True,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.08545494895369166,0.10439232019443834,0.01893737124074668,1.0682853412676414,1.0755369613025778,-0.007251620034936401,-0.14770827529403843,1.0,0.38613861386138615,no_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,P,individual_main,P_P45_strength,True,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.02970206704877365,1.0,0.9702979329512263,1.0724682367399478,7.345649410343591e-16,1.0724682367399472,0.9999999999999992,1.0,0.009900990099009901,self_target_only
anomaly,P,main_cluster_source,P_M_source_strength,V,individual_main,V_V45_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.056017172095305656,0.5345605859877084,0.47854341389240274,1.045909656835453,0.7363896697376281,0.3095199870978248,0.7022764718832305,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,Je,individual_main,Je_Je46_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.09963424457634562,0.2610424966700027,0.16140825209365706,1.0598696730431443,1.0057204181528372,0.054149254890307086,0.4078592480023902,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,Jw,individual_main,Jw_Jw41_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.13193305486218776,0.153699341523728,0.021766286661540235,0.9958628076170416,1.0011806658374538,-0.005317858220412197,-0.14977510032339056,1.0,0.39603960396039606,no_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,M,combined_available,M_combined_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.14735319265049884,0.6954962113249483,0.5481430186744495,1.0042600711716227,0.6036667500464352,0.40059332112518753,0.7516131858314494,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,joint_proxy,joint_proxy_available,joint45_strength_proxy,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.14735319265049884,0.6954962113249483,0.5481430186744495,1.0042600711716227,0.6036667500464352,0.40059332112518753,0.7516131858314494,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_P,leave_one_object_out,M_minus_P_strength,False,True,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.19175487870982488,0.4355885779894887,0.2438336992796638,0.9712602438863547,0.8218618138612414,0.14939843002511333,0.5012960824339491,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_V,leave_one_object_out,M_minus_V_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.1718009971615133,0.5906267450047742,0.4188257478432609,0.9966353437954427,0.7156364720481694,0.28099887174727334,0.6569981296675044,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_Je,leave_one_object_out,M_minus_Je_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.1131048055239876,0.6711127718116214,0.5580079662876338,1.0243935937544804,0.6239744204430993,0.4004191733113811,0.7583464297118739,1.0,0.009900990099009901,clear_incremental_support
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_Jw,leave_one_object_out,M_minus_Jw_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_M_source_strength,0.08463014504932953,0.7955294062664854,0.7108992612171559,1.0403975061787443,0.5009968967661151,0.5394006094126291,0.855956074495833,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,P,individual_main,P_P45_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.026495088658562316,0.5215578566232609,0.4950627679646986,1.0653491160376523,0.7751114714921489,0.2902376445455034,0.7225499437140624,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,V,individual_main,V_V45_strength,True,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.051746350934040675,1.0,0.9482536490659593,1.046836207580228,1.2880401438724707e-15,1.0468362075802267,1.0,1.0,0.009900990099009901,self_target_only
anomaly,V,main_cluster_source,V_M_source_strength,Je,individual_main,Je_Je46_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.023892305428731664,0.14227440262532054,0.11838209719658888,1.0957314333086752,1.0651534056774508,0.030578027631224414,0.35333019525666737,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,Jw,individual_main,Jw_Jw41_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.09204109902430302,0.09444663661119712,0.002405537586894102,1.0216531736796486,1.0399273059861205,-0.018274132306471902,-0.050366736560627026,1.0,0.7524752475247525,no_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,M,combined_available,M_combined_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.08051715584980557,0.6524059759992556,0.5718888201494501,1.0370936566183373,0.6526698195992165,0.38442383701912075,0.7765931258452464,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,joint_proxy,joint_proxy_available,joint45_strength_proxy,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.08051715584980557,0.6524059759992556,0.5718888201494501,1.0370936566183373,0.6526698195992165,0.38442383701912075,0.7765931258452464,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_P,leave_one_object_out,M_minus_P_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.09537501395616266,0.5340157181779137,0.43864070422175105,1.0253086248080403,0.7567711110872859,0.2685375137207544,0.6801304261066579,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_V,leave_one_object_out,M_minus_V_strength,False,True,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.08317469878282191,0.3551416231260468,0.2719669243432249,1.0385101758811248,0.8889750107232914,0.14953516515783338,0.5355447714490293,1.0,0.009900990099009901,clear_incremental_support
anomaly,V,main_cluster_source,V_M_source_strength,M_minus_Je,leave_one_object_out,M_minus_Je_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_M_source_strength,0.08226951590514953,0.7149195647996633,0.6326500488945138,1.0392144157231924,0.5885072759019826,0.4507071398212098,0.8168071141185992,1.0,0.009900990099009901,clear_incremental_support
