mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.46182716481753194,0.4002635046113307,0.019801980198019802
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.42676588644204183,0.45230566534914357,0.009900990099009901
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.05570885112794408,-0.0968379446640316,0.6633663366336634
anomaly,P,main_cluster_source,P_M_source_strength,P,P_P45_strength,True,45,1.0,0.9999999999999999,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,V,V_V45_strength,False,45,0.721869910654668,0.564953886693017,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,Je,Je_Je46_strength,False,45,0.449064692932024,0.4740447957839262,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,Jw,Jw_Jw41_strength,False,45,-0.10462935454479413,-0.06086956521739129,0.5346534653465347
anomaly,P,main_cluster_source,P_M_source_strength,M,M_combined_strength,False,45,0.7922329471602236,0.7188405797101448,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.7922329471602236,0.7188405797101448,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.5565978374531035,0.5491436100131751,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.7020925463601666,0.7108036890645586,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.7899694159232488,0.6984189723320158,0.009900990099009901
anomaly,P,main_cluster_source,P_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.8806185515754206,0.8027667984189722,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,P,P_P45_strength,False,45,0.7218699106546679,0.564953886693017,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,V,V_V45_strength,True,45,0.9999999999999998,0.9999999999999999,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,Je,Je_Je46_strength,False,45,0.3677653974409421,0.3073781291172595,0.009900990099009901
anomaly,V,main_cluster_source,V_M_source_strength,Jw,Jw_Jw41_strength,False,45,-0.021687328599673792,0.013965744400527008,0.8613861386138614
