day,detector_score,score_valid,object
24,11.139045042133596,True,H
25,9.735758200987881,True,H
26,8.643750231614934,True,H
27,7.887581806376361,True,H
28,7.452971374901028,True,H
29,7.391740557848151,True,H
30,7.748701945639219,True,H
31,8.376155020388756,True,H
32,9.05635146451737,True,H
33,9.65073110730752,True,H
34,10.048112697425328,True,H
35,10.10918859242761,True,H
36,9.766157573926874,True,H
37,8.994747711942265,True,H
38,7.824404603741401,True,H
39,6.339217246253232,True,H
40,4.76587438338236,True,H
41,3.3780985969383193,True,H
42,2.2921681004408727,True,H
43,1.4852926382610656,True,H
44,0.94827276664101,True,H
45,0.6708649510050593,True,H
46,0.5746600176411749,True,H
47,0.5764487734934733,True,H
48,0.6542623819586404,True,H
49,0.8484935139938596,True,H
50,1.168880632324901,True,H
51,1.5143388854078481,True,H
52,1.8277777592836175,True,H
53,2.168576863630527,True,H
54,2.5403301870463695,True,H
55,2.853548327958142,True,H
56,3.029478959876314,True,H
57,3.066305324426809,True,H
58,2.9855063606041794,True,H
59,2.828793291951,True,H
60,,False,H
61,,False,H
62,,False,H
63,,False,H
64,,False,H
65,,False,H
66,,False,H
67,,False,H
68,,False,H
69,,False,H
0,,False,Je
1,,False,Je
2,,False,Je
3,,False,Je
4,,False,Je
5,,False,Je
6,,False,Je
7,,False,Je
8,,False,Je
9,,False,Je
10,,False,Je
11,,False,Je
12,,False,Je
13,,False,Je
14,3.1315916424411308,True,Je
15,3.274745660215383,True,Je
16,3.4842999953967704,True,Je
17,3.728576877184414,True,Je
18,3.993478589130883,True,Je
19,4.257481048761578,True,Je
20,4.480060974315028,True,Je
21,4.68035780099184,True,Je
22,4.929902486558975,True,Je
23,5.2701804608926635,True,Je
24,5.652687245532948,True,Je
25,5.952954722422097,True,Je
26,6.0665828732930125,True,Je
27,5.923800405139695,True,Je
28,5.584828880162088,True,Je
29,5.212964065254532,True,Je
30,5.013734327150961,True,Je
31,5.075214153576109,True,Je
32,5.267809092366989,True,Je
33,5.442389697096082,True,Je
34,5.437637546724202,True,Je
35,5.1003605335904645,True,Je
36,4.404149915695158,True,Je
37,3.490009075697399,True,Je
38,2.798517569703481,True,Je
39,2.726614186275543,True,Je
40,3.4589868024456614,True,Je
41,4.8011229039725665,True,Je
42,6.548734272628787,True,Je
43,8.58232030548438,True,Je
44,10.463693053711147,True,Je
