window_id,table,status,n_v9_rows,n_v7_rows,v7_file
W081,tau_sync_estimate,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\tau_sync_estimate_W081.csv
W081,pairwise_peak_order_test,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\pairwise_peak_order_test_W081.csv
W081,pairwise_synchrony_equivalence_test,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\pairwise_synchrony_equivalence_test_W081.csv
W081,pairwise_window_overlap,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\pairwise_window_overlap_W081.csv
W113,main_window_selection,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\main_window_selection_W113.csv
W113,bootstrap_selected_peak_days,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\bootstrap_selected_peak_days_W113.csv
W113,timing_resolution_audit,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\timing_resolution_audit_W113.csv
W113,tau_sync_estimate,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\tau_sync_estimate_W113.csv
W113,pairwise_peak_order_test,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\pairwise_peak_order_test_W113.csv
W113,pairwise_synchrony_equivalence_test,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\pairwise_synchrony_equivalence_test_W113.csv
W113,pairwise_window_overlap,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W113\pairwise_window_overlap_W113.csv
W160,main_window_selection,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\main_window_selection_W160.csv
W160,bootstrap_selected_peak_days,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\bootstrap_selected_peak_days_W160.csv
W160,timing_resolution_audit,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\timing_resolution_audit_W160.csv
W160,tau_sync_estimate,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\tau_sync_estimate_W160.csv
W160,pairwise_peak_order_test,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\pairwise_peak_order_test_W160.csv
W160,pairwise_synchrony_equivalence_test,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\pairwise_synchrony_equivalence_test_W160.csv
W160,pairwise_window_overlap,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W160\pairwise_window_overlap_W160.csv
