window_id,block_id,object_A,object_B,baseline_config,branch,observed_block_type,start_day,end_day,duration,P_block_same_type,P_block_fragmented,P_block_contains_opposite_dominant,P_block_degrades_to_uncertain,support_class,matching_rule
W045,BLK00017,H,Jw,C0_full_stage,pattern,uncertain_block,4,46,43,0.414,0.586,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00018,H,Jw,C0_full_stage,pattern,B_dominant_block,47,65,19,0.89,0.007,0.012,0.091,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00019,H,Jw,C0_full_stage,pattern,A_dominant_block,66,74,9,0.948,0.0,0.002,0.05,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00020,H,Jw,C1_buffered_stage,dist,uncertain_block,4,19,16,0.404,0.596,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00021,H,Jw,C1_buffered_stage,dist,A_dominant_block,20,74,55,0.824,0.144,0.0,0.032,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00022,H,Jw,C1_buffered_stage,pattern,uncertain_block,4,12,9,0.528,0.472,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00023,H,Jw,C1_buffered_stage,pattern,A_dominant_block,13,31,19,0.62,0.011,0.01,0.359,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00024,H,Jw,C1_buffered_stage,pattern,uncertain_block,32,63,32,0.485,0.515,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00025,H,Jw,C1_buffered_stage,pattern,A_dominant_block,64,74,11,0.717,0.0,0.001,0.282,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00026,H,Jw,C2_immediate_pre,dist,A_dominant_block,4,28,25,0.692,0.0,0.0,0.308,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00027,H,Jw,C2_immediate_pre,dist,uncertain_block,29,29,1,0.753,0.247,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00028,H,Jw,C2_immediate_pre,dist,A_dominant_block,30,47,18,0.742,0.0,0.0,0.258,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00029,H,Jw,C2_immediate_pre,dist,uncertain_block,48,74,27,0.888,0.112,0.0,0.0,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00030,H,Jw,C2_immediate_pre,pattern,uncertain_block,4,63,60,0.697,0.303,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00031,H,Jw,C2_immediate_pre,pattern,A_dominant_block,64,74,11,0.691,0.0,0.001,0.308,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00032,Je,Jw,C0_full_stage,dist,A_dominant_block,4,22,19,0.837,0.034,0.001,0.128,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00033,Je,Jw,C0_full_stage,dist,uncertain_block,23,26,4,0.671,0.329,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00034,Je,Jw,C0_full_stage,dist,A_dominant_block,27,52,26,0.998,0.0,0.0,0.002,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00035,Je,Jw,C0_full_stage,dist,uncertain_block,53,74,22,0.896,0.104,0.0,0.0,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00036,Je,Jw,C0_full_stage,pattern,B_dominant_block,4,19,16,0.918,0.0,0.0,0.082,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00037,Je,Jw,C0_full_stage,pattern,A_dominant_block,20,46,27,0.927,0.008,0.0,0.065,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00038,Je,Jw,C0_full_stage,pattern,uncertain_block,47,74,28,0.461,0.539,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00039,Je,Jw,C1_buffered_stage,dist,uncertain_block,4,20,17,0.452,0.548,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00040,Je,Jw,C1_buffered_stage,dist,A_dominant_block,21,57,37,0.991,0.005,0.0,0.004,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00041,Je,Jw,C1_buffered_stage,dist,uncertain_block,58,66,9,0.894,0.106,0.0,0.0,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00042,Je,Jw,C1_buffered_stage,dist,near_block,67,69,3,0.011,0.057,0.0,0.932,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00043,Je,Jw,C1_buffered_stage,dist,uncertain_block,70,74,5,0.919,0.081,0.0,0.0,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00044,Je,Jw,C1_buffered_stage,pattern,B_dominant_block,4,19,16,0.892,0.0,0.0,0.108,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00045,Je,Jw,C1_buffered_stage,pattern,A_dominant_block,20,47,28,0.933,0.008,0.0,0.059,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00046,Je,Jw,C1_buffered_stage,pattern,uncertain_block,48,74,27,0.513,0.487,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00047,Je,Jw,C2_immediate_pre,dist,A_dominant_block,4,48,45,0.894,0.011,0.001,0.094,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00048,Je,Jw,C2_immediate_pre,dist,uncertain_block,49,74,26,0.854,0.146,0.0,0.0,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00049,Je,Jw,C2_immediate_pre,pattern,uncertain_block,4,74,71,0.42,0.58,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00050,P,H,C0_full_stage,dist,B_dominant_block,4,18,15,0.993,0.0,0.0,0.007,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00051,P,H,C0_full_stage,dist,uncertain_block,19,22,4,0.639,0.361,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00052,P,H,C0_full_stage,dist,B_dominant_block,23,44,22,0.985,0.0,0.0,0.015,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00053,P,H,C0_full_stage,dist,uncertain_block,45,54,10,0.616,0.384,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00054,P,H,C0_full_stage,dist,B_dominant_block,55,64,10,0.824,0.0,0.008,0.168,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00055,P,H,C0_full_stage,dist,near_block,65,67,3,0.001,0.734,0.0,0.265,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00056,P,H,C0_full_stage,dist,uncertain_block,68,74,7,0.251,0.749,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00057,P,H,C0_full_stage,pattern,uncertain_block,4,44,41,0.469,0.531,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00058,P,H,C0_full_stage,pattern,A_dominant_block,45,63,19,0.883,0.001,0.0,0.116,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00059,P,H,C0_full_stage,pattern,B_dominant_block,64,74,11,0.882,0.003,0.003,0.112,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00060,P,H,C1_buffered_stage,dist,B_dominant_block,4,17,14,0.961,0.0,0.0,0.039,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00061,P,H,C1_buffered_stage,dist,uncertain_block,18,20,3,0.629,0.371,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00062,P,H,C1_buffered_stage,dist,B_dominant_block,21,44,24,0.973,0.002,0.0,0.025,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00063,P,H,C1_buffered_stage,dist,uncertain_block,45,55,11,0.599,0.401,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00064,P,H,C1_buffered_stage,dist,B_dominant_block,56,74,19,0.818,0.02,0.0,0.162,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00065,P,H,C1_buffered_stage,pattern,uncertain_block,4,61,58,0.449,0.551,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00066,P,H,C1_buffered_stage,pattern,B_dominant_block,62,74,13,0.781,0.006,0.0,0.213,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00067,P,H,C2_immediate_pre,dist,B_dominant_block,4,28,25,0.922,0.0,0.003,0.075,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00068,P,H,C2_immediate_pre,dist,uncertain_block,29,42,14,0.589,0.411,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00069,P,H,C2_immediate_pre,dist,A_dominant_block,43,57,15,0.499,0.017,0.04,0.444,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00070,P,H,C2_immediate_pre,dist,uncertain_block,58,74,17,0.539,0.461,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00071,P,H,C2_immediate_pre,pattern,uncertain_block,4,61,58,0.559,0.441,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00072,P,H,C2_immediate_pre,pattern,B_dominant_block,62,74,13,0.772,0.005,0.001,0.222,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00073,P,Je,C0_full_stage,dist,B_dominant_block,4,19,16,0.974,0.001,0.0,0.025,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00074,P,Je,C0_full_stage,dist,uncertain_block,20,22,3,0.626,0.374,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00075,P,Je,C0_full_stage,dist,B_dominant_block,23,43,21,0.978,0.001,0.001,0.02,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00076,P,Je,C0_full_stage,dist,A_dominant_block,44,55,12,0.519,0.003,0.054,0.424,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00077,P,Je,C0_full_stage,dist,uncertain_block,56,74,19,0.356,0.644,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00078,P,Je,C0_full_stage,pattern,A_dominant_block,4,19,16,0.903,0.0,0.0,0.097,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00079,P,Je,C0_full_stage,pattern,uncertain_block,20,29,10,0.449,0.551,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00080,P,Je,C0_full_stage,pattern,B_dominant_block,30,45,16,0.925,0.001,0.0,0.074,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00081,P,Je,C0_full_stage,pattern,A_dominant_block,46,61,16,0.709,0.001,0.011,0.279,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00082,P,Je,C0_full_stage,pattern,B_dominant_block,62,74,13,0.702,0.003,0.007,0.288,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00083,P,Je,C1_buffered_stage,dist,B_dominant_block,4,18,15,0.883,0.001,0.001,0.115,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00084,P,Je,C1_buffered_stage,dist,uncertain_block,19,21,3,0.717,0.283,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00085,P,Je,C1_buffered_stage,dist,B_dominant_block,22,43,22,0.975,0.001,0.001,0.023,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00086,P,Je,C1_buffered_stage,dist,A_dominant_block,44,55,12,0.309,0.014,0.099,0.578,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00087,P,Je,C1_buffered_stage,dist,uncertain_block,56,74,19,0.348,0.652,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00088,P,Je,C1_buffered_stage,pattern,A_dominant_block,4,18,15,0.748,0.002,0.005,0.245,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00089,P,Je,C1_buffered_stage,pattern,B_dominant_block,19,45,27,0.839,0.088,0.001,0.072,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00090,P,Je,C1_buffered_stage,pattern,uncertain_block,46,74,29,0.566,0.434,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00091,P,Je,C2_immediate_pre,dist,B_dominant_block,4,28,25,0.885,0.003,0.001,0.111,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00092,P,Je,C2_immediate_pre,dist,uncertain_block,29,41,13,0.429,0.571,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00093,P,Je,C2_immediate_pre,dist,A_dominant_block,42,58,17,0.72,0.009,0.014,0.257,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00094,P,Je,C2_immediate_pre,dist,uncertain_block,59,74,16,0.693,0.307,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00095,P,Je,C2_immediate_pre,pattern,uncertain_block,4,30,27,0.627,0.373,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00096,P,Je,C2_immediate_pre,pattern,B_dominant_block,31,44,14,0.734,0.0,0.004,0.262,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00097,P,Je,C2_immediate_pre,pattern,uncertain_block,45,74,30,0.541,0.459,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00098,P,Jw,C0_full_stage,dist,B_dominant_block,4,15,12,0.809,0.001,0.02,0.17,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00099,P,Jw,C0_full_stage,dist,uncertain_block,16,22,7,0.618,0.382,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00100,P,Jw,C0_full_stage,dist,B_dominant_block,23,38,16,0.512,0.003,0.07,0.415,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00101,P,Jw,C0_full_stage,dist,A_dominant_block,39,55,17,0.848,0.002,0.009,0.141,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00102,P,Jw,C0_full_stage,dist,uncertain_block,56,74,19,0.27,0.73,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00103,P,Jw,C0_full_stage,pattern,uncertain_block,4,74,71,0.485,0.515,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00104,P,Jw,C1_buffered_stage,dist,B_dominant_block,4,15,12,0.758,0.001,0.028,0.213,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00105,P,Jw,C1_buffered_stage,dist,uncertain_block,16,21,6,0.74,0.26,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00106,P,Jw,C1_buffered_stage,dist,B_dominant_block,22,38,17,0.544,0.003,0.072,0.381,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00107,P,Jw,C1_buffered_stage,dist,A_dominant_block,39,57,19,0.817,0.003,0.012,0.168,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00108,P,Jw,C1_buffered_stage,dist,uncertain_block,58,74,17,0.306,0.694,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00109,P,Jw,C1_buffered_stage,pattern,uncertain_block,4,74,71,0.566,0.434,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00110,P,Jw,C2_immediate_pre,dist,uncertain_block,4,33,30,0.358,0.642,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00111,P,Jw,C2_immediate_pre,dist,A_dominant_block,34,58,25,0.846,0.015,0.006,0.133,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00112,P,Jw,C2_immediate_pre,dist,uncertain_block,59,74,16,0.465,0.535,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00113,P,Jw,C2_immediate_pre,pattern,uncertain_block,4,74,71,0.554,0.446,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00114,P,V,C0_full_stage,dist,B_dominant_block,4,15,12,0.644,0.0,0.0,0.356,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00115,P,V,C0_full_stage,dist,uncertain_block,16,38,23,0.586,0.414,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00116,P,V,C0_full_stage,dist,A_dominant_block,39,62,24,0.557,0.014,0.013,0.416,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00117,P,V,C0_full_stage,dist,uncertain_block,63,64,2,0.825,0.175,0.0,0.0,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00118,P,V,C0_full_stage,dist,A_dominant_block,65,74,10,0.679,0.0,0.011,0.31,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00119,P,V,C0_full_stage,pattern,uncertain_block,4,74,71,0.533,0.467,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00120,P,V,C1_buffered_stage,dist,B_dominant_block,4,15,12,0.627,0.0,0.0,0.373,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00121,P,V,C1_buffered_stage,dist,uncertain_block,16,63,48,0.601,0.399,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00122,P,V,C1_buffered_stage,dist,A_dominant_block,64,74,11,0.609,0.001,0.005,0.385,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00123,P,V,C1_buffered_stage,pattern,uncertain_block,4,74,71,0.6,0.4,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00124,P,V,C2_immediate_pre,dist,uncertain_block,4,63,60,0.63,0.37,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00125,P,V,C2_immediate_pre,dist,A_dominant_block,64,74,11,0.632,0.001,0.005,0.362,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00126,P,V,C2_immediate_pre,pattern,uncertain_block,4,74,71,0.841,0.159,0.0,0.0,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00127,V,H,C0_full_stage,dist,B_dominant_block,4,18,15,0.397,0.029,0.018,0.556,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00128,V,H,C0_full_stage,dist,uncertain_block,19,24,6,0.492,0.508,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00129,V,H,C0_full_stage,dist,B_dominant_block,25,63,39,0.736,0.208,0.0,0.056,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00130,V,H,C0_full_stage,dist,uncertain_block,64,64,1,0.179,0.821,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00131,V,H,C0_full_stage,dist,B_dominant_block,65,74,10,0.977,0.0,0.0,0.023,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00132,V,H,C0_full_stage,pattern,A_dominant_block,4,17,14,0.868,0.0,0.007,0.125,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00133,V,H,C0_full_stage,pattern,uncertain_block,18,21,4,0.456,0.544,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00134,V,H,C0_full_stage,pattern,B_dominant_block,22,46,25,0.709,0.136,0.012,0.143,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00135,V,H,C0_full_stage,pattern,A_dominant_block,47,63,17,0.931,0.005,0.001,0.063,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00136,V,H,C0_full_stage,pattern,B_dominant_block,64,74,11,0.914,0.004,0.021,0.061,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00137,V,H,C1_buffered_stage,dist,uncertain_block,4,20,17,0.698,0.302,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00138,V,H,C1_buffered_stage,dist,B_dominant_block,21,47,27,0.885,0.012,0.002,0.101,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00139,V,H,C1_buffered_stage,dist,uncertain_block,48,53,6,0.545,0.455,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00140,V,H,C1_buffered_stage,dist,B_dominant_block,54,74,21,0.905,0.062,0.0,0.033,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00141,V,H,C1_buffered_stage,pattern,A_dominant_block,4,16,13,0.696,0.003,0.014,0.287,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00142,V,H,C1_buffered_stage,pattern,B_dominant_block,17,46,30,0.736,0.132,0.001,0.131,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00143,V,H,C1_buffered_stage,pattern,A_dominant_block,47,62,16,0.707,0.004,0.016,0.273,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00144,V,H,C1_buffered_stage,pattern,B_dominant_block,63,74,12,0.91,0.006,0.002,0.082,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00145,V,H,C2_immediate_pre,dist,uncertain_block,4,31,28,0.616,0.384,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00146,V,H,C2_immediate_pre,dist,B_dominant_block,32,44,13,0.529,0.004,0.016,0.451,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00147,V,H,C2_immediate_pre,dist,uncertain_block,45,54,10,0.645,0.355,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00148,V,H,C2_immediate_pre,dist,B_dominant_block,55,74,20,0.831,0.057,0.0,0.112,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00149,V,H,C2_immediate_pre,pattern,uncertain_block,4,32,29,0.568,0.432,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00150,V,H,C2_immediate_pre,pattern,B_dominant_block,33,46,14,0.715,0.001,0.006,0.278,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00151,V,H,C2_immediate_pre,pattern,A_dominant_block,47,62,16,0.703,0.004,0.013,0.28,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00152,V,H,C2_immediate_pre,pattern,B_dominant_block,63,74,12,0.902,0.004,0.004,0.09,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00153,V,Je,C0_full_stage,dist,uncertain_block,4,25,22,0.653,0.347,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00154,V,Je,C0_full_stage,dist,B_dominant_block,26,49,24,0.857,0.004,0.002,0.137,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00155,V,Je,C0_full_stage,dist,uncertain_block,50,52,3,0.61,0.39,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00156,V,Je,C0_full_stage,dist,B_dominant_block,53,74,22,0.708,0.119,0.0,0.173,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00157,V,Je,C0_full_stage,pattern,A_dominant_block,4,20,17,0.992,0.0,0.0,0.008,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00158,V,Je,C0_full_stage,pattern,uncertain_block,21,24,4,0.271,0.729,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00159,V,Je,C0_full_stage,pattern,B_dominant_block,25,46,22,0.999,0.001,0.0,0.0,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00160,V,Je,C0_full_stage,pattern,A_dominant_block,47,62,16,0.845,0.003,0.016,0.136,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00161,V,Je,C0_full_stage,pattern,B_dominant_block,63,74,12,0.856,0.0,0.024,0.12,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00162,V,Je,C1_buffered_stage,dist,uncertain_block,4,20,17,0.755,0.245,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00163,V,Je,C1_buffered_stage,dist,B_dominant_block,21,48,28,0.825,0.009,0.002,0.164,exploratory_signal,overlap-based block matching after bootstrap segment aggregation
W045,BLK00164,V,Je,C1_buffered_stage,dist,uncertain_block,49,53,5,0.647,0.353,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00165,V,Je,C1_buffered_stage,dist,B_dominant_block,54,74,21,0.767,0.095,0.0,0.138,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00166,V,Je,C1_buffered_stage,pattern,A_dominant_block,4,18,15,0.962,0.0,0.0,0.038,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00167,V,Je,C1_buffered_stage,pattern,B_dominant_block,19,46,28,0.989,0.008,0.0,0.003,supported,overlap-based block matching after bootstrap segment aggregation
