window_id,segment_id,object_A,object_B,baseline_config,branch,raw_start_idx,raw_end_idx,start_day,end_day,duration,raw_sign_type,D_mean,E_abs_mean,signed_integral,abs_integral,peak_abs_delta,classified_type,directional_bias,P_near_null,P_separation_gt_null,support_basis,null_n,null_E_median,null_E_q025,null_E_q975
W045,SEG00150,P,H,C2_immediate_pre,pattern,17,27,17,27,11,negative,-0.09144581151991965,0.09144581151991965,-1.005903926719116,1.005903926719116,0.18055689154645754,uncertain_segment,negative,0.555,0.445,same_object_reproducibility_null,2000,0.10327981842309869,0.003604679482381877,0.3730502364839882
W045,SEG00151,P,H,C2_immediate_pre,pattern,28,32,28,32,5,positive,0.04148868779423178,0.04148868779423178,0.2074434389711589,0.2074434389711589,0.09870307088945084,uncertain_segment,positive,0.2535,0.7465,same_object_reproducibility_null,2000,0.023828237245354017,0.001041908392429745,0.09378015176017251
W045,SEG00152,P,H,C2_immediate_pre,pattern,33,44,33,44,12,negative,-0.27049765469870063,0.27049765469870063,-3.2459718563844078,3.2459718563844078,0.46346415649258504,uncertain_segment,negative,0.248,0.752,same_object_reproducibility_null,2000,0.15535689084058213,0.009330719385283714,0.5481937393415987
W045,SEG00153,P,H,C2_immediate_pre,pattern,45,61,45,61,17,positive,0.2853395890744328,0.2853395890744328,4.850773014265358,4.850773014265358,0.5593020332753638,uncertain_segment,positive,0.137,0.863,same_object_reproducibility_null,2000,0.11460160786050591,0.005288906335342562,0.4810913766326768
W045,SEG00154,P,H,C2_immediate_pre,pattern,62,74,62,74,13,negative,-0.4332388664635195,0.4332388664635195,-5.632105264025753,5.632105264025753,1.1994120626317017,B_dominant_segment,negative,0.033,0.967,same_object_reproducibility_null,2000,0.13021052778230738,0.005045900257656409,0.46066781470652807
W045,SEG00155,P,Je,C0_full_stage,dist,4,19,4,19,16,negative,-0.0730062682198023,0.0730062682198023,-1.1681002915168368,1.1681002915168368,0.09047864403300947,B_dominant_segment,negative,0.0,1.0,same_object_reproducibility_null,2000,0.01236576764860037,0.0005811216054762968,0.03997317576530194
W045,SEG00156,P,Je,C0_full_stage,dist,20,22,20,22,3,positive,0.02578822880051876,0.02578822880051876,0.07736468640155628,0.07736468640155628,0.032627489732936665,uncertain_segment,positive,0.428,0.572,same_object_reproducibility_null,2000,0.02218440296491722,0.0012158180755821816,0.0703190466419803
W045,SEG00157,P,Je,C0_full_stage,dist,23,43,23,43,21,negative,-0.1349052043319562,0.1349052043319562,-2.8330092909710807,2.8330092909710807,0.23683631444156156,B_dominant_segment,negative,0.0005,0.9995,same_object_reproducibility_null,2000,0.02202662146299556,0.001009488063232965,0.0758027088743254
W045,SEG00158,P,Je,C0_full_stage,dist,44,55,44,55,12,positive,0.08504549628605414,0.08504549628605414,1.0205459554326497,1.0205459554326497,0.1321778999594846,A_dominant_segment_tendency,positive,0.059,0.941,same_object_reproducibility_null,2000,0.028607876024055713,0.0012295786125572819,0.10737470528555378
W045,SEG00159,P,Je,C0_full_stage,dist,56,65,56,65,10,negative,-0.04051831932488124,0.04051831932488124,-0.40518319324881236,0.40518319324881236,0.08406529536530916,uncertain_segment,negative,0.243,0.757,same_object_reproducibility_null,2000,0.023450164649523868,0.0012724503838163193,0.0835917481209403
W045,SEG00160,P,Je,C0_full_stage,dist,66,67,66,67,2,positive,0.006269818269241556,0.006269818269241556,0.012539636538483112,0.012539636538483112,0.009592037550867905,short_uncertain,positive,,,too_short_for_primary_segment,2000,0.020617728639137467,0.0010063286318720138,0.07532295313497622
