window_id,object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
W045,P,C0_full_stage,main_full_stage,61,2.549669161852815,0.46429953755050096,0.8459507765815817,0.8059734906876236,0.9988556392635631,0.19288214857593955,0.9596379109428386,0.007458312508264786,-0.011763868082287465,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,62,2.6323030996723276,0.3590472922414752,0.879971502766092,0.8201914809404536,0.9980229314054782,0.17783145046502458,0.9235884054738358,0.03402072618451035,-0.03604950546900276,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,63,2.7483795487194485,0.2648848951052095,0.9120937109757954,0.8223723422201131,0.99753345057034,0.1751611083502269,0.9171923890258218,0.03212220820970335,-0.006396016448014019,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,64,2.875338283980458,0.22352307223001452,0.9278692892206847,0.8271259349479974,0.9967578833890357,0.16963194844103835,0.9039489182634435,0.015775578244889288,-0.013243470762378307,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,65,3.066321010122934,0.2502426633759867,0.9245476077014422,0.8194563616215963,0.9975981614763395,0.1781417998547432,0.9243317558446635,-0.003321681519242503,0.02038283758122006,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,66,3.196980752429455,0.3069541839800621,0.912397293456996,0.800101455955217,0.9982842968586799,0.19818284090346294,0.9723341550401124,-0.012150314244446125,0.04800239919544891,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,67,3.297751968000811,0.3908901068588408,0.8940287241413323,0.7973861829712348,0.9987295910608729,0.20134340808963813,0.9799043609683374,-0.018368569315663774,0.007570205928224993,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,68,3.4430014858308717,0.553005914885831,0.861610387711833,0.8009742851777963,0.9982974248180794,0.19732313964028303,0.9702749943845521,-0.03241833642949932,-0.009629366583785326,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,69,3.560755330153193,0.7080672207573234,0.834130556538056,0.8133787157269976,0.9973066551281838,0.18392793940118624,0.9381907454866549,-0.027479831173776947,-0.03208424889789718,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,70,3.583610437253836,0.7622586384774632,0.82460156410736,0.8253357285912675,0.9963918655161426,0.1710561369248751,0.9073601414611057,-0.009528992430696048,-0.03083060402554927,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,71,3.577215533718887,0.7758622364668577,0.8217669709967639,0.8328408303687047,0.995696525168104,0.16285569479939932,0.8877184025150437,-0.002834593110596084,-0.019641738946061915,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,72,3.6025961437628857,0.8287100568871442,0.8129874083705656,0.8390490310446547,0.9939794198717721,0.1549303888271174,0.8687356710240639,-0.008779562626198278,-0.018982731490979843,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,73,3.5826796552127855,0.8700216446396363,0.8046081275048763,0.843849573980646,0.9884383950635006,0.14458882108285465,0.8439654975605155,-0.008379280865689287,-0.024770173463548373,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,74,3.5007883718008137,0.9041959362175247,0.7947334489769627,0.8527911728608673,0.9781252141716119,0.12533404131074466,0.797846355206864,-0.009874678527913572,-0.046119142353651554,0.4175008204719022,True
W045,P,C1_buffered_stage,buffered_sensitivity,0,,,,,,,,,,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,1,,,,,,,,,,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,2,,,,,,,,,,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,3,,,,,,,,,,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,4,0.5861971597880823,3.5302740162124335,0.1424028335739788,0.9970325251837537,0.7485728109051939,-0.24845971427855984,-0.0744623721939059,,,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,5,0.5406727837154294,3.519523149870623,0.13316420994439437,0.9958586590860783,0.7344220545527219,-0.2614366045333564,-0.10438133366282651,-0.009238623629584414,-0.029918961468920605,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,6,0.5153064086919723,3.5100513057414524,0.12801505984034078,0.992610051272914,0.7104281575714991,-0.2821818937014149,-0.15221078240547445,-0.00514915010405359,-0.04782944874264794,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,7,0.4736360184494377,3.471054254890734,0.12006925401734667,0.9918807626327768,0.7058552105200276,-0.28602555211274916,-0.16107255634749396,-0.007945805822994118,-0.008861773942019507,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,8,0.42350976002973834,3.410395238436876,0.11046433341439675,0.9943408727623989,0.7229996402683544,-0.2713412324940445,-0.12721701898507,-0.009604920602949915,0.03385553736242394,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,9,0.43719928121259216,3.406957872505181,0.11373085535531935,0.9953147117356581,0.741728371441939,-0.25358634029371907,-0.08628210120459251,0.003266521940922598,0.0409349177804775,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,10,0.47431656472304734,3.429326980496723,0.12150611581937969,0.993447458729363,0.7410096818418825,-0.2524377768874805,-0.08363402268800314,0.007775260464060338,0.0026480785165893667,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,11,0.4679570260113752,3.412333853510139,0.12059843979250336,0.9923627953736792,0.7407395154310383,-0.2516232799426409,-0.08175615347351996,-0.0009076760268763306,0.0018778692144831854,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,12,0.43113954014072486,3.3690650068002546,0.11345166682877,0.9936685699885975,0.7527957477562967,-0.2408728222323009,-0.056970359366180806,-0.007146772963733353,0.02478579410733915,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,13,0.3987349889826205,3.3243507144366418,0.1070979882672119,0.9933610624969673,0.7575947364135093,-0.23576632608345804,-0.04519704091171138,-0.006353678561558107,0.011773318454469425,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,14,0.28078791513017576,3.2381019291520126,0.07979446005859644,0.9971673573013494,0.7654975387119924,-0.23166981858935698,-0.035752308971572465,-0.027303528208615452,0.009444731940138916,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,15,0.23224387531980442,3.1888020830786274,0.06788680366881997,0.9982842285315185,0.7767000589485124,-0.2215841695830062,-0.012499269292167577,-0.011907656389776478,0.02325303967940489,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,16,0.19593417168573693,3.1619349460971433,0.05835074709972839,0.9990083133799553,0.7797910065343555,-0.2192173068455998,-0.007042332102110727,-0.00953605656909158,0.00545693719005685,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,17,0.1705848920990537,3.1486414346534493,0.051392967910673396,0.9992522310618033,0.7741839631233114,-0.22506826793849188,-0.02053205699438124,-0.006957779189054991,-0.013489724892270512,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,18,0.1390930358983071,3.0968248046605744,0.04298410613363536,0.9980902441326819,0.7562117795240746,-0.2418784646086073,-0.05928892528740403,-0.008408861777038035,-0.038756868293022786,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,19,0.2423018713996538,3.0176575631074205,0.07432665229967542,0.9972488447112536,0.7429016501496648,-0.25434719456158883,-0.08803629416429987,0.031342546166040056,-0.028747368876895836,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,20,0.3534713794967532,2.969299327244257,0.10637850477604568,0.9961235141711439,0.735606401777518,-0.26051711239362585,-0.10226139203124766,0.03205185247637027,-0.014225097866947797,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,21,0.2988956619086215,2.965118540535053,0.09157302737373103,0.9963515430198512,0.7491596309885177,-0.2471919120313335,-0.07153938172082584,-0.014805477402314651,0.03072201031042182,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,22,0.25269233282016984,2.942812599876736,0.0790774347536073,0.9954151261444747,0.7679617552046955,-0.22745337093977924,-0.026031048154343255,-0.01249559262012373,0.04550833356648259,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,23,0.16904374214440746,2.92206899883831,0.05468701930640859,0.9979060138339365,0.7851608542109075,-0.21274515962302898,0.007879572882151959,-0.024390415447198714,0.03391062103649521,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,24,0.18276482844981037,2.8984268634268635,0.05931627977955928,0.9969622840057369,0.8131616227899058,-0.18380066121583116,0.07461276670430801,0.004629260473150688,0.06673319382215605,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,25,0.19349120656180666,2.9059459355156423,0.06242785308822749,0.9969129959507349,0.8204329074146026,-0.17648008853613228,0.0914907650254688,0.0031115733086682154,0.016877998321160784,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,26,0.20904695185098612,2.8297905799051937,0.06879175002494307,0.9970645949161685,0.8244034442035332,-0.17266115071263533,0.10029554424067226,0.006363896936715581,0.008804779215203465,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,27,0.28898840622160377,2.7378069350720766,0.0954766918922531,0.9957713226603209,0.8323035722162986,-0.1634677504440223,0.12149145350740363,0.02668494186731002,0.021195909266731372,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,28,0.4088368583925822,2.6564783190055654,0.1333751456969605,0.9900149965861686,0.8483016450349994,-0.14171335155116926,0.17164746234120135,0.0378984538047074,0.05015600883379771,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,29,0.5119342759279373,2.567605168589296,0.16623728487692455,0.984222739464669,0.8604115513821378,-0.12381118808253122,0.21292192244003166,0.032862139179964056,0.04127446009883032,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,30,0.5888985035934186,2.5025370500725814,0.19049354041848593,0.9887633638937289,0.8337793585845616,-0.15498400530916723,0.14105121234161677,0.024256255541561383,-0.07187071009841489,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,31,0.638998332366047,2.4612220542196592,0.20611384117429798,0.991927611168451,0.8214163181121122,-0.17051129305633872,0.10525216382513916,0.015620300755812055,-0.03579904851647761,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,32,0.6621261311008435,2.425034173805438,0.21447740502770685,0.9921504076147241,0.8283694221756076,-0.16378098543911646,0.12076927234034968,0.008363563853408862,0.015517108515210515,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,33,0.7228438768224967,2.3773282179474244,0.2331625002502135,0.9938552894492334,0.8257838501750923,-0.16807143927414114,0.1108773860367848,0.018685095222506665,-0.00989188630356487,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,34,0.8686211749522474,2.2571150446400634,0.2778933070256138,0.9904068877321918,0.8340462155562725,-0.1563606721759193,0.13787722827199955,0.04473080677540031,0.026999842235214747,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,35,0.938731294279481,2.1900353186410357,0.3000323803005656,0.9853302198721218,0.8428366559480056,-0.14249356392411616,0.16984863816488183,0.022139073274951793,0.031971409892882274,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,36,1.0058729052899789,2.1329589415360584,0.3204609085087211,0.9821558777788982,0.848376105682768,-0.13377977209613023,0.1899387827858817,0.020428528208155494,0.020090144620999867,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,37,1.1064633038453404,2.020555651614624,0.353839653550353,0.9874429973057608,0.854645856073717,-0.13279714123204378,0.19220429435171374,0.03337874504163191,0.0022655115658320457,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,38,1.1708669261448075,1.9556123241330623,0.37450014294537387,0.9871534630925473,0.8613270735046161,-0.12582638958793113,0.20827576030038614,0.020660489395020853,0.016071465948672398,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,39,1.286587999922377,1.8179928717290832,0.4144160043213774,0.9776235117866768,0.8869340905780055,-0.0906894212086713,0.28928604723605533,0.0399158613760035,0.0810102869356692,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,40,1.4791575289094796,1.61933163654378,0.47738024886496655,0.9648325923812745,0.9102026425150351,-0.05462994986623937,0.3724232174286673,0.06296424454358918,0.08313717019261196,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,41,1.6817298756774035,1.4104119413716802,0.5438721686065242,0.9435909298920901,0.9375808710209858,-0.006010058871104396,0.48451915233640774,0.06649191974155766,0.11209593490774045,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,42,1.831686171397996,1.2626544543472364,0.5919471683751228,0.91304986837907,0.9607680783674046,0.04771820998833465,0.6083927441010601,0.048074999768598636,0.1238735917646524,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,43,1.9414925033600563,1.1610522931070706,0.6257742049593731,0.8787010917839304,0.9775562202633677,0.09885512847943734,0.7262918296241984,0.033827036584250236,0.11789908552313821,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,44,2.078001542049992,1.011113625260527,0.6726850342258899,0.8502473429649138,0.987992036811184,0.1377446938462702,0.8159539431897557,0.046910829266516796,0.08966211356555731,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,45,2.279799504108794,0.8008376388507522,0.7400415557927756,0.8121746964754704,0.9966340723320367,0.18445937585656635,0.9236573099946284,0.06735652156688576,0.10770336680487269,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,46,2.445137017364557,0.661864411846255,0.7869764701027606,0.7830246559033194,0.9982299576541698,0.2152053017508504,0.9945437977506116,0.046934914309984976,0.07088648775598327,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,47,2.614586217523191,0.5807511648095242,0.8182504395246194,0.7548158228412145,0.9954828685972523,0.2406670457560378,1.0532473024320317,0.03127396942185878,0.05870350468142005,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,48,2.75039971513601,0.6011433444269255,0.8206368428680374,0.7186991696649244,0.9899871797458724,0.27128801008094794,1.1238456841544593,0.0023864033434179976,0.0705983817224276,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,49,2.8355975664822437,0.6859189639684754,0.8052205752728117,0.6754082608987051,0.9813872289525946,0.30597896805388947,1.2038276686309595,-0.015416267595225741,0.07998198447650018,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,50,2.8848520752130895,0.5779749333170678,0.8330915948462592,0.6805254447887735,0.9858192142910412,0.3052937695022677,1.2022479042450385,0.02787101957344751,-0.0015797643859210009,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,51,2.9829469356843945,0.4392762993011401,0.8716400803984965,0.6949145217070142,0.9899827048049819,0.2950681830979677,1.178672230904171,0.03854848555223733,-0.02357567334086741,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,52,3.0566158446419722,0.37603000883984744,0.8904547614609206,0.7060487929736388,0.9912933589558104,0.2852445659821716,1.1560233207105832,0.01881468106242412,-0.022648910193587835,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,53,3.064954700793412,0.3785861906684884,0.89005904021434,0.7050521063814632,0.9913137403586965,0.28626163397723325,1.1583682290482546,-0.0003957212465806048,0.0023449083376714253,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,54,2.9810388181130296,0.3406346420956916,0.8974508945035532,0.7188947461863535,0.9943628271352818,0.2754680809489283,1.1334830762245847,0.0073918542892131844,-0.024885152823669987,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,55,2.9061399971054476,0.41318238676459534,0.8755220677652706,0.7114438284633876,0.9932957120779555,0.2818518836145679,1.148201297788327,-0.02192882673828256,0.014718221563742251,0.4337346491213188,True
W045,P,C1_buffered_stage,buffered_sensitivity,56,2.820955172085291,0.41923790059923627,0.8706132964317789,0.728031319647574,0.9951017810842647,0.2670704614366908,1.1141218849311294,-0.004908771333491768,-0.03407941285719751,0.4337346491213188,True
