lineage_id,lineage_day,lineage_month_day,lineage_status,lineage_strict_accepted_flag,lineage_strict_accepted_window_id,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,input_source,object,baseline_candidate_id,baseline_candidate_day,baseline_candidate_source,baseline_object_support_class,assigned_candidate_available,assignment_class,candidate_selection_basis,assigned_candidate_id,assigned_candidate_day,assigned_candidate_date,assigned_peak_score,assigned_registry_rank,object_support_class,nearest_joint_candidate_day,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,was_v10_window_conditioned_main_peak,v10_window_id_if_main,candidate_provenance_class,distance_to_lineage_day,distance_to_baseline_object_candidate,candidate_shift_class
J132_W006,132,08-11,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Jw,CP004,130,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP004,130.0,08-09,21.9408475625849,4.0,object_candidate,132.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,2.0,0.0,SAME_DAY
J135_W006,135,08-14,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,P,CP009,138,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP009,138.0,08-17,5.071550450487186,9.0,object_candidate,135.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,3.0,0.0,SAME_DAY
J135_W006,135,08-14,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,V,CP008,136,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP008,136.0,08-15,8.498506242322458,8.0,object_candidate,135.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,1.0,0.0,SAME_DAY
J135_W006,135,08-14,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,H,CP007,129,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP007,129.0,08-08,4.241067494898854,7.0,object_candidate,132.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,6.0,0.0,SAME_DAY
J135_W006,135,08-14,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Je,CP007,136,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP007,136.0,08-15,14.318820217804232,7.0,object_candidate,135.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,1.0,0.0,SAME_DAY
J135_W006,135,08-14,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Jw,CP004,130,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP004,130.0,08-09,21.9408475625849,4.0,object_candidate,132.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,5.0,0.0,SAME_DAY
W160,160,09-08,strict_accepted_main_window,True,W160,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,P,CP010,158,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP010,158.0,09-06,21.186921722771807,10.0,object_strong_candidate,160.0,strict_accepted_main_window,W007,W160,True,W160,BASELINE_MAIN_CANDIDATE,2.0,0.0,SAME_DAY
W160,160,09-08,strict_accepted_main_window,True,W160,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,V,CP009,161,V10_WINDOW_CONDITIONED_MAIN,object_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP009,161.0,09-09,34.08042868585578,9.0,object_candidate,160.0,strict_accepted_main_window,W007,W160,True,W160,BASELINE_MAIN_CANDIDATE,1.0,0.0,SAME_DAY
W160,160,09-08,strict_accepted_main_window,True,W160,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,H,CP008,155,V10_WINDOW_CONDITIONED_MAIN,object_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP008,155.0,09-03,9.746850391531572,8.0,object_candidate,160.0,strict_accepted_main_window,W007,W160,True,W160,BASELINE_MAIN_CANDIDATE,5.0,0.0,SAME_DAY
W160,160,09-08,strict_accepted_main_window,True,W160,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Je,CP008,162,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP008,162.0,09-10,20.266046161694703,8.0,object_strong_candidate,160.0,strict_accepted_main_window,W007,W160,True,W160,BASELINE_MAIN_CANDIDATE,2.0,0.0,SAME_DAY
