lineage_id,lineage_day,lineage_status,lineage_strict_accepted_flag,lineage_strict_accepted_window_id,object,baseline_candidate_available,baseline_candidate_source,baseline_candidate_id,baseline_candidate_day,baseline_candidate_date,baseline_object_support_class,baseline_nearest_joint_candidate_day,baseline_nearest_joint_lineage_status,baseline_v10_window_id_if_selected,baseline_was_v10_window_conditioned_main_peak,baseline_distance_to_lineage_day
J096_W004,96,derived_non_strict_candidate_window,False,,V,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP006,95,07-05,object_candidate,96,derived_non_strict_candidate_window,,False,1
J096_W004,96,derived_non_strict_candidate_window,False,,H,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP005,95,07-05,object_candidate,96,derived_non_strict_candidate_window,,False,1
J096_W004,96,derived_non_strict_candidate_window,False,,Je,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP005,94,07-04,object_weak_candidate,96,derived_non_strict_candidate_window,,False,2
J096_W004,96,derived_non_strict_candidate_window,False,,Jw,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP003,104,07-14,object_candidate,96,derived_non_strict_candidate_window,W113,True,8
W113,113,strict_accepted_main_window,True,W113,P,True,V10_WINDOW_CONDITIONED_MAIN,CP007,113,07-23,object_candidate,113,strict_accepted_main_window,W113,True,0
W113,113,strict_accepted_main_window,True,W113,V,True,V10_WINDOW_CONDITIONED_MAIN,CP007,114,07-24,object_candidate,113,strict_accepted_main_window,W113,True,1
W113,113,strict_accepted_main_window,True,W113,H,True,V10_WINDOW_CONDITIONED_MAIN,CP006,115,07-25,object_strong_candidate,113,strict_accepted_main_window,W113,True,2
W113,113,strict_accepted_main_window,True,W113,Je,True,V10_WINDOW_CONDITIONED_MAIN,CP006,111,07-21,object_strong_candidate,113,strict_accepted_main_window,W113,True,2
W113,113,strict_accepted_main_window,True,W113,Jw,True,V10_WINDOW_CONDITIONED_MAIN,CP003,104,07-14,object_candidate,96,derived_non_strict_candidate_window,W113,True,9
J132_W006,132,derived_non_strict_candidate_window,False,,P,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP008,126,08-05,object_candidate,132,derived_non_strict_candidate_window,,False,6
J132_W006,132,derived_non_strict_candidate_window,False,,V,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP008,136,08-15,object_candidate,135,derived_non_strict_candidate_window,,False,4
J132_W006,132,derived_non_strict_candidate_window,False,,H,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP007,129,08-08,object_candidate,132,derived_non_strict_candidate_window,,False,3
J132_W006,132,derived_non_strict_candidate_window,False,,Je,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP007,136,08-15,object_candidate,135,derived_non_strict_candidate_window,,False,4
J132_W006,132,derived_non_strict_candidate_window,False,,Jw,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP004,130,08-09,object_candidate,132,derived_non_strict_candidate_window,,False,2
J135_W006,135,derived_non_strict_candidate_window,False,,P,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP009,138,08-17,object_candidate,135,derived_non_strict_candidate_window,,False,3
J135_W006,135,derived_non_strict_candidate_window,False,,V,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP008,136,08-15,object_candidate,135,derived_non_strict_candidate_window,,False,1
J135_W006,135,derived_non_strict_candidate_window,False,,H,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP007,129,08-08,object_candidate,132,derived_non_strict_candidate_window,,False,6
J135_W006,135,derived_non_strict_candidate_window,False,,Je,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP007,136,08-15,object_candidate,135,derived_non_strict_candidate_window,,False,1
J135_W006,135,derived_non_strict_candidate_window,False,,Jw,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP004,130,08-09,object_candidate,132,derived_non_strict_candidate_window,,False,5
W160,160,strict_accepted_main_window,True,W160,P,True,V10_WINDOW_CONDITIONED_MAIN,CP010,158,09-06,object_strong_candidate,160,strict_accepted_main_window,W160,True,2
W160,160,strict_accepted_main_window,True,W160,V,True,V10_WINDOW_CONDITIONED_MAIN,CP009,161,09-09,object_candidate,160,strict_accepted_main_window,W160,True,1
W160,160,strict_accepted_main_window,True,W160,H,True,V10_WINDOW_CONDITIONED_MAIN,CP008,155,09-03,object_candidate,160,strict_accepted_main_window,W160,True,5
W160,160,strict_accepted_main_window,True,W160,Je,True,V10_WINDOW_CONDITIONED_MAIN,CP008,162,09-10,object_strong_candidate,160,strict_accepted_main_window,W160,True,2
W160,160,strict_accepted_main_window,True,W160,Jw,True,V10_WINDOW_CONDITIONED_MAIN,CP005,152,08-31,object_weak_candidate,160,strict_accepted_main_window,W160,True,8
