source,target,source_family,target_family
H_strength,P_total_centroid_lat_10_50,H,P
H_strength,V_strength,H,V
H_strength,V_pos_centroid_lat,H,V
H_strength,V_NS_diff,H,V
H_strength,Je_strength,H,Je
H_strength,Je_axis_lat,H,Je
H_strength,Je_meridional_width,H,Je
H_strength,Jw_strength,H,Jw
H_strength,Jw_axis_lat,H,Jw
H_strength,Jw_meridional_width,H,Jw
H_centroid_lat,P_main_band_share,H,P
H_centroid_lat,P_south_band_share_18_24,H,P
H_centroid_lat,P_main_minus_south,H,P
H_centroid_lat,P_spread_lat,H,P
H_centroid_lat,P_north_band_share_35_45,H,P
H_centroid_lat,P_north_minus_main_35_45,H,P
H_centroid_lat,P_total_centroid_lat_10_50,H,P
H_centroid_lat,V_strength,H,V
H_centroid_lat,V_pos_centroid_lat,H,V
H_centroid_lat,V_NS_diff,H,V
H_centroid_lat,Je_strength,H,Je
H_centroid_lat,Je_axis_lat,H,Je
H_centroid_lat,Je_meridional_width,H,Je
H_centroid_lat,Jw_strength,H,Jw
H_centroid_lat,Jw_axis_lat,H,Jw
H_centroid_lat,Jw_meridional_width,H,Jw
H_west_extent_lon,P_main_band_share,H,P
H_west_extent_lon,P_south_band_share_18_24,H,P
H_west_extent_lon,P_main_minus_south,H,P
H_west_extent_lon,P_spread_lat,H,P
H_west_extent_lon,P_north_band_share_35_45,H,P
H_west_extent_lon,P_north_minus_main_35_45,H,P
H_west_extent_lon,P_total_centroid_lat_10_50,H,P
H_west_extent_lon,V_strength,H,V
H_west_extent_lon,V_pos_centroid_lat,H,V
H_west_extent_lon,V_NS_diff,H,V
H_west_extent_lon,Je_strength,H,Je
H_west_extent_lon,Je_axis_lat,H,Je
H_west_extent_lon,Je_meridional_width,H,Je
H_west_extent_lon,Jw_strength,H,Jw
H_west_extent_lon,Jw_axis_lat,H,Jw
H_west_extent_lon,Jw_meridional_width,H,Jw
H_zonal_width,P_main_band_share,H,P
H_zonal_width,P_south_band_share_18_24,H,P
H_zonal_width,P_main_minus_south,H,P
H_zonal_width,P_spread_lat,H,P
H_zonal_width,P_north_band_share_35_45,H,P
H_zonal_width,P_north_minus_main_35_45,H,P
H_zonal_width,P_total_centroid_lat_10_50,H,P
H_zonal_width,V_strength,H,V
H_zonal_width,V_pos_centroid_lat,H,V
H_zonal_width,V_NS_diff,H,V
H_zonal_width,Je_strength,H,Je
H_zonal_width,Je_axis_lat,H,Je
H_zonal_width,Je_meridional_width,H,Je
H_zonal_width,Jw_strength,H,Jw
H_zonal_width,Jw_axis_lat,H,Jw
H_zonal_width,Jw_meridional_width,H,Jw
Je_strength,P_main_band_share,Je,P
Je_strength,P_south_band_share_18_24,Je,P
Je_strength,P_main_minus_south,Je,P
Je_strength,P_spread_lat,Je,P
Je_strength,P_north_band_share_35_45,Je,P
Je_strength,P_north_minus_main_35_45,Je,P
Je_strength,P_total_centroid_lat_10_50,Je,P
Je_strength,V_strength,Je,V
Je_strength,V_pos_centroid_lat,Je,V
Je_strength,V_NS_diff,Je,V
Je_strength,H_strength,Je,H
Je_strength,H_centroid_lat,Je,H
Je_strength,H_west_extent_lon,Je,H
Je_strength,H_zonal_width,Je,H
Je_strength,Jw_strength,Je,Jw
Je_strength,Jw_axis_lat,Je,Jw
Je_strength,Jw_meridional_width,Je,Jw
Je_axis_lat,P_main_band_share,Je,P
Je_axis_lat,P_south_band_share_18_24,Je,P
Je_axis_lat,P_main_minus_south,Je,P
Je_axis_lat,P_spread_lat,Je,P
Je_axis_lat,P_north_band_share_35_45,Je,P
Je_axis_lat,P_north_minus_main_35_45,Je,P
Je_axis_lat,P_total_centroid_lat_10_50,Je,P
Je_axis_lat,V_strength,Je,V
Je_axis_lat,V_pos_centroid_lat,Je,V
Je_axis_lat,V_NS_diff,Je,V
Je_axis_lat,H_strength,Je,H
Je_axis_lat,H_centroid_lat,Je,H
Je_axis_lat,H_west_extent_lon,Je,H
Je_axis_lat,H_zonal_width,Je,H
Je_axis_lat,Jw_strength,Je,Jw
Je_axis_lat,Jw_axis_lat,Je,Jw
Je_axis_lat,Jw_meridional_width,Je,Jw
Je_meridional_width,P_main_band_share,Je,P
Je_meridional_width,P_south_band_share_18_24,Je,P
Je_meridional_width,P_main_minus_south,Je,P
Je_meridional_width,P_spread_lat,Je,P
Je_meridional_width,P_north_band_share_35_45,Je,P
Je_meridional_width,P_north_minus_main_35_45,Je,P
Je_meridional_width,P_total_centroid_lat_10_50,Je,P
Je_meridional_width,V_strength,Je,V
Je_meridional_width,V_pos_centroid_lat,Je,V
Je_meridional_width,V_NS_diff,Je,V
Je_meridional_width,H_strength,Je,H
Je_meridional_width,H_centroid_lat,Je,H
Je_meridional_width,H_west_extent_lon,Je,H
Je_meridional_width,H_zonal_width,Je,H
Je_meridional_width,Jw_strength,Je,Jw
Je_meridional_width,Jw_axis_lat,Je,Jw
Je_meridional_width,Jw_meridional_width,Je,Jw
Jw_strength,P_main_band_share,Jw,P
Jw_strength,P_south_band_share_18_24,Jw,P
Jw_strength,P_main_minus_south,Jw,P
Jw_strength,P_spread_lat,Jw,P
Jw_strength,P_north_band_share_35_45,Jw,P
Jw_strength,P_north_minus_main_35_45,Jw,P
Jw_strength,P_total_centroid_lat_10_50,Jw,P
Jw_strength,V_strength,Jw,V
Jw_strength,V_pos_centroid_lat,Jw,V
Jw_strength,V_NS_diff,Jw,V
Jw_strength,H_strength,Jw,H
Jw_strength,H_centroid_lat,Jw,H
Jw_strength,H_west_extent_lon,Jw,H
Jw_strength,H_zonal_width,Jw,H
Jw_strength,Je_strength,Jw,Je
Jw_strength,Je_axis_lat,Jw,Je
Jw_strength,Je_meridional_width,Jw,Je
Jw_axis_lat,P_main_band_share,Jw,P
Jw_axis_lat,P_south_band_share_18_24,Jw,P
Jw_axis_lat,P_main_minus_south,Jw,P
Jw_axis_lat,P_spread_lat,Jw,P
Jw_axis_lat,P_north_band_share_35_45,Jw,P
Jw_axis_lat,P_north_minus_main_35_45,Jw,P
Jw_axis_lat,P_total_centroid_lat_10_50,Jw,P
Jw_axis_lat,V_strength,Jw,V
Jw_axis_lat,V_pos_centroid_lat,Jw,V
Jw_axis_lat,V_NS_diff,Jw,V
Jw_axis_lat,H_strength,Jw,H
Jw_axis_lat,H_centroid_lat,Jw,H
Jw_axis_lat,H_west_extent_lon,Jw,H
Jw_axis_lat,H_zonal_width,Jw,H
Jw_axis_lat,Je_strength,Jw,Je
Jw_axis_lat,Je_axis_lat,Jw,Je
Jw_axis_lat,Je_meridional_width,Jw,Je
Jw_meridional_width,P_main_band_share,Jw,P
Jw_meridional_width,P_south_band_share_18_24,Jw,P
Jw_meridional_width,P_main_minus_south,Jw,P
Jw_meridional_width,P_spread_lat,Jw,P
Jw_meridional_width,P_north_band_share_35_45,Jw,P
Jw_meridional_width,P_north_minus_main_35_45,Jw,P
Jw_meridional_width,P_total_centroid_lat_10_50,Jw,P
Jw_meridional_width,V_strength,Jw,V
Jw_meridional_width,V_pos_centroid_lat,Jw,V
Jw_meridional_width,V_NS_diff,Jw,V
Jw_meridional_width,H_strength,Jw,H
Jw_meridional_width,H_centroid_lat,Jw,H
Jw_meridional_width,H_west_extent_lon,Jw,H
Jw_meridional_width,H_zonal_width,Jw,H
Jw_meridional_width,Je_strength,Jw,Je
Jw_meridional_width,Je_axis_lat,Jw,Je
Jw_meridional_width,Je_meridional_width,Jw,Je
