window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule,abs_val_matrix,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,evidence_tier,recommended_usage,failure_reason,risk_note,suggested_reverse_direction,pair_phi_risk,v1_lead_lag_yes,v1_available,pcmci_plus_any_supported_1to5,pcmci_plus_supported_tau,exact_lag_agreement,lag_band_agreement,agreement_band
S1,H_west_extent_lon,Jw_meridional_width,H,Jw,False,3,,False,0.03177438114111526,0.21417769181543891,lagged_direct_edge_control,source(t-tau)->target(t),0.5993827529369583,False,graph_selected_and_window_BH_q_le_alpha,0.03177438114111526,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,1,0.0627687128841628,0.0627687128841628,0.0598483036202139,0.0598483036202139,Tier5c_no_same_day_only,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,Jw_strength,H,Jw,False,2,,False,-0.0463455391355585,0.06993863190374315,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.0463455391355585,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,1,-0.0829191814001387,0.0829191814001387,-0.1144790780491272,0.1144790780491272,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_main_band_share,H,P,False,5,,False,0.048576248239081785,0.05748052464387941,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.048576248239081785,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,1,-0.1441011743909886,0.1441011743909886,-0.2157199826061608,0.2157199826061608,Tier5c_no_same_day_only,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_main_minus_south,H,P,False,5,,False,0.04468327933909163,0.08059566964285932,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04468327933909163,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,1,-0.1194151840466023,0.1194151840466023,-0.2046618002294489,0.2046618002294489,Tier5c_no_same_day_only,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_north_band_share_35_45,H,P,False,1,,False,-0.04988685366896861,0.05106240693079458,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04988685366896861,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,1,-0.060831717072563,0.060831717072563,-0.0983638877213356,0.0983638877213356,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_north_minus_main_35_45,H,P,False,5,,False,-0.047484644083121086,0.06332517173544278,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.047484644083121086,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,1,0.102297761303957,0.102297761303957,0.1537293389030895,0.1537293389030895,Tier5c_no_same_day_only,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_south_band_share_18_24,H,P,False,4,,False,-0.029794230769413083,0.24428929666929036,lagged_direct_edge_control,source(t-tau)->target(t),0.6169367621442271,False,graph_selected_and_window_BH_q_le_alpha,0.029794230769413083,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,4,-0.0581064641331426,0.0581064641331426,0.1297776277448424,0.1297776277448424,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_spread_lat,H,P,False,1,,False,0.04565628496051645,0.07430312652819089,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04565628496051645,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,1,0.0629480168393943,0.0629480168393943,0.0506686322550549,0.0506686322550549,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,P_total_centroid_lat_10_50,H,P,False,1,,False,0.0314141567665981,0.21972261182604186,lagged_direct_edge_control,source(t-tau)->target(t),0.6059386321953635,False,graph_selected_and_window_BH_q_le_alpha,0.0314141567665981,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,1,-0.1533276793878966,0.1533276793878966,-0.2145547499701936,0.2145547499701936,Tier5b_no_reverse_dominant,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,P_total_centroid_lat_10_50 -> H_west_extent_lon,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,V_NS_diff,H,V,False,3,,False,0.050032075143161145,0.05054060013034533,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.050032075143161145,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,bidirectional_close,False,3,0.2136692594264773,0.2136692594264773,0.080871451305365,0.080871451305365,Tier4a_ambiguous_bidirectional_close,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,V_pos_centroid_lat,H,V,False,4,,False,-0.04669316056314193,0.06795299401141061,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04669316056314193,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,5,-0.1328168701871429,0.1328168701871429,-0.1215395486892388,0.1215395486892388,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
