window,source_family,target_family,family_edge,n_candidate_lagged_tests,n_graph_selected,n_pcmci_plus_supported,min_q,max_abs_val
S3,Jw,P,Jw->P,105,0,0,0.6421488325647786,0.07447815224443996
S3,Jw,V,Jw->V,45,0,0,0.6421488325647786,0.07451124551377392
S3,P,H,P->H,140,0,0,0.6421488325647786,0.07538642294156495
S3,P,Je,P->Je,105,0,0,0.6421488325647786,0.07533525757760343
S3,P,Jw,P->Jw,105,0,0,0.6421488325647786,0.07497879225182955
S3,P,V,P->V,105,0,0,0.6421488325647786,0.07261797767373446
S3,V,H,V->H,60,0,0,0.6421488325647786,0.07519902013913143
S3,V,Je,V->Je,45,0,0,0.6421488325647786,0.07466921265168946
S3,V,Jw,V->Jw,45,0,0,0.6421488325647786,0.062028942139286204
S4,Jw,Je,Jw->Je,45,2,1,0.023296595981851756,0.11056834012192036
S4,V,P,V->P,105,3,1,0.023296595981851756,0.11011256786931614
S4,H,Je,H->Je,60,0,0,0.6261314306064926,0.050320941323946225
S4,H,Jw,H->Jw,60,0,0,0.6261314306064926,0.05126124394798981
S4,H,P,H->P,140,0,0,0.6261314306064926,0.05158688375862976
S4,H,V,H->V,60,0,0,0.6261314306064926,0.05128094147502735
S4,Je,H,Je->H,60,1,0,0.6261314306064926,0.07033463514013846
S4,Je,Jw,Je->Jw,45,1,0,0.6261314306064926,0.052438519568851996
S4,Je,P,Je->P,105,0,0,0.6261314306064926,0.04980221480570543
S4,Je,V,Je->V,45,0,0,0.6261314306064926,0.05151832066540097
S4,Jw,H,Jw->H,60,0,0,0.6261314306064926,0.05132104587028334
S4,Jw,P,Jw->P,105,0,0,0.6261314306064926,0.05157819572591732
S4,Jw,V,Jw->V,45,0,0,0.6261314306064926,0.05071537752967708
S4,P,H,P->H,140,0,0,0.6261314306064926,0.05077925830930974
S4,P,Je,P->Je,105,1,0,0.6261314306064926,0.08395396950101115
S4,P,Jw,P->Jw,105,0,0,0.6261314306064926,0.05111194000941929
S4,P,V,P->V,105,0,0,0.6261314306064926,0.0500984606655235
S4,V,H,V->H,60,0,0,0.6261314306064926,0.05147740465529085
S4,V,Je,V->Je,45,0,0,0.6261314306064926,0.05163956826336098
S4,V,Jw,V->Jw,45,0,0,0.6261314306064926,0.051549222191632216
S5,Jw,Je,Jw->Je,45,6,2,3.837623464067703e-16,0.34969324866651547
S5,H,Je,H->Je,60,0,0,0.5710955298227374,0.07798046714763346
S5,H,Jw,H->Jw,60,1,0,0.5710955298227374,0.10896834373235643
S5,H,P,H->P,140,0,0,0.5710955298227374,0.07808060246165296
S5,H,V,H->V,60,0,0,0.5710955298227374,0.07693727294591342
S5,Je,H,Je->H,60,0,0,0.5710955298227374,0.07827025288868991
S5,Je,Jw,Je->Jw,45,0,0,0.5710955298227374,0.07616241114470698
S5,Je,P,Je->P,105,0,0,0.5710955298227374,0.07759669188116299
S5,Je,V,Je->V,45,0,0,0.5710955298227374,0.07704910448836019
S5,Jw,H,Jw->H,60,0,0,0.5710955298227374,0.07718325473496349
S5,Jw,P,Jw->P,105,0,0,0.5710955298227374,0.07770831491497743
S5,Jw,V,Jw->V,45,0,0,0.5710955298227374,0.07796952345675746
S5,P,H,P->H,140,0,0,0.5710955298227374,0.07787418178051969
S5,P,Je,P->Je,105,0,0,0.5710955298227374,0.07771280249714652
S5,P,Jw,P->Jw,105,0,0,0.5710955298227374,0.07766825162717647
S5,P,V,P->V,105,1,0,0.5710955298227374,0.11666930067135799
S5,V,H,V->H,60,0,0,0.5710955298227374,0.07800521279805432
S5,V,Je,V->Je,45,0,0,0.5710955298227374,0.07779303991251812
S5,V,Jw,V->Jw,45,0,0,0.5710955298227374,0.07686472167955341
S5,V,P,V->P,105,0,0,0.5710955298227374,0.07767480263126784
T1,H,Je,H->Je,60,0,0,0.6652276008216654,0.14385603895186394
T1,H,Jw,H->Jw,60,0,0,0.6652276008216654,0.14161974844504804
T1,H,P,H->P,140,0,0,0.6652276008216654,0.14711292430837575
T1,H,V,H->V,60,0,0,0.6652276008216654,0.14847392407852156
T1,Je,H,Je->H,60,1,0,0.6652276008216654,0.18128369444185993
T1,Je,Jw,Je->Jw,45,0,0,0.6652276008216654,0.14562596273336373
T1,Je,P,Je->P,105,0,0,0.6652276008216654,0.1466621121690465
T1,Je,V,Je->V,45,0,0,0.6652276008216654,0.13604876552582518
T1,Jw,H,Jw->H,60,0,0,0.6652276008216654,0.14402823627925307
T1,Jw,Je,Jw->Je,45,2,0,0.6652276008216654,0.23754823378255352
T1,Jw,P,Jw->P,105,0,0,0.6652276008216654,0.1450096648758994
T1,Jw,V,Jw->V,45,0,0,0.6652276008216654,0.1290862512819687
T1,P,H,P->H,140,0,0,0.6652276008216654,0.14621841165518729
T1,P,Je,P->Je,105,1,0,0.6652276008216654,0.2636333301482327
T1,P,Jw,P->Jw,105,0,0,0.6652276008216654,0.14616901608316887
T1,P,V,P->V,105,1,0,0.6652276008216654,0.20910022535581896
T1,V,H,V->H,60,0,0,0.6652276008216654,0.14362484596989217
T1,V,Je,V->Je,45,0,0,0.6652276008216654,0.1444174860982133
T1,V,Jw,V->Jw,45,0,0,0.6652276008216654,0.13895196727711837
T1,V,P,V->P,105,0,0,0.6652276008216654,0.14668758915010455
T2,P,V,P->V,105,1,0,0.43692997547725393,0.20544773944147773
T2,H,Je,H->Je,60,0,0,0.700716466998632,0.10860744701878329
T2,H,Jw,H->Jw,60,0,0,0.700716466998632,0.11015068047737675
T2,H,P,H->P,140,0,0,0.700716466998632,0.10933497658112609
T2,H,V,H->V,60,0,0,0.700716466998632,0.1094797536879284
T2,Je,H,Je->H,60,1,0,0.700716466998632,0.15686602967097746
T2,Je,Jw,Je->Jw,45,0,0,0.700716466998632,0.09929657779316978
T2,Je,P,Je->P,105,0,0,0.700716466998632,0.10646114379082211
T2,Je,V,Je->V,45,0,0,0.700716466998632,0.10914556259662456
T2,Jw,H,Jw->H,60,0,0,0.700716466998632,0.10693580899909944
