window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W081,V,Je,3.0,1.0,3.0,6.0,-3.0,-2.0,-7.0,6.0,0.336,0.65,0.944,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Jw,3.0,1.0,3.0,6.0,7.0,3.0,-11.0,11.0,0.0967741935483871,0.3629032258064516,0.7217741935483871,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Je,3.0,1.0,3.0,6.0,-2.0,-1.0,-9.524999999999999,7.524999999999977,0.408,0.728,0.898,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Jw,3.0,1.0,3.0,6.0,8.0,5.0,-11.625,13.0,0.07459677419354839,0.2842741935483871,0.5725806451612904,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,3.0,1.0,3.0,6.0,10.0,4.0,-11.0,15.0,0.13306451612903225,0.3165322580645161,0.5907258064516129,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,V,3.0,1.0,3.0,10.0,4.0,3.0,-7.524999999999999,9.524999999999977,0.136,0.432,0.982,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,H,3.0,1.0,3.0,10.0,-2.0,-2.0,-12.0,11.524999999999977,0.162,0.528,0.892,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Je,3.0,1.0,3.0,10.0,10.0,3.0,-10.0,12.0,0.166,0.35,0.872,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Jw,3.0,1.0,3.0,10.0,10.0,9.0,-2.0,12.0,0.146,0.236,0.784,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,H,3.0,1.0,3.0,10.0,-6.0,-5.0,-11.0,8.0,0.068,0.212,0.96,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
