window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,target_name,phase_group,phase_group_size,years_in_phase_group,group_role,targeted_best_direction,targeted_best_prob,targeted_order_level
W081,H,Je,78.0,76.0,-2.0,-1.0,-9.524999999999999,7.524999999999977,0.336,0.512,0.152,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,78.0,86.0,8.0,5.0,-11.625,13.0,0.7520161290322581,0.23387096774193547,0.014112903225806451,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,76.0,86.0,10.0,4.0,-11.0,15.0,0.7379032258064516,0.2157258064516129,0.046370967741935484,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,V,76.0,80.0,4.0,3.0,-7.524999999999999,9.524999999999977,0.814,0.146,0.04,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,76.0,74.0,-2.0,-2.0,-12.0,11.524999999999977,0.228,0.734,0.038,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,76.0,86.0,10.0,3.0,-10.0,12.0,0.61,0.332,0.058,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Jw,76.0,86.0,10.0,9.0,-2.0,12.0,0.846,0.102,0.052,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,H,80.0,74.0,-6.0,-5.0,-11.0,8.0,0.162,0.818,0.02,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Je,80.0,86.0,6.0,3.0,-10.0,9.0,0.592,0.394,0.014,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,80.0,86.0,6.0,5.0,-8.0,10.0,0.854,0.142,0.004,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Je,74.0,86.0,12.0,4.0,-12.0,13.0,0.69,0.244,0.066,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,74.0,86.0,12.0,11.0,-6.0,14.0,0.868,0.1,0.032,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,86.0,86.0,0.0,1.0,-10.0,14.0,0.662,0.142,0.196,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_high,15,1979;1980;1984;1986;1990;1997;2001;2003;2004;2006;2007;2010;2011;2012;2013,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,V,74.0,68.0,-6.0,-1.0,-18.0,17.55000000000001,0.374749498997996,0.533066132264529,0.09218436873747494,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,74.0,87.0,13.0,-2.0,-17.0,15.0,0.36088709677419356,0.6068548387096774,0.03225806451612903,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,74.0,88.0,14.0,4.0,-9.0,16.0,0.776,0.142,0.082,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Jw,74.0,78.0,4.0,-1.0,-14.0,13.0,0.44,0.516,0.044,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,H,68.0,87.0,19.0,-1.0,-20.0,16.649999999999977,0.3616161616161616,0.5353535353535354,0.10303030303030303,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Je,68.0,88.0,20.0,3.0,-16.099999999999998,21.0,0.7054108216432866,0.23046092184368738,0.06412825651302605,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,68.0,78.0,10.0,-3.0,-17.0,14.0,0.3847695390781563,0.5871743486973948,0.028056112224448898,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Je,87.0,88.0,1.0,4.0,-14.0,21.0,0.7782258064516129,0.1592741935483871,0.0625,A_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,87.0,78.0,-9.0,-2.0,-13.625,16.625,0.4112903225806452,0.5725806451612904,0.016129032258064516,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,88.0,78.0,-10.0,-8.0,-16.525,10.0,0.146,0.822,0.032,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_low,15,1982;1987;1988;1989;1994;1995;1998;2014;2015;2016;2017;2019;2020;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,V,82.0,77.0,-5.0,-3.0,-11.0,3.0,0.048,0.858,0.094,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,82.0,79.0,-3.0,-3.0,-12.0,1.5249999999999773,0.034,0.93,0.036,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,82.0,78.0,-4.0,-4.0,-12.549999999999999,6.0,0.06212424849699399,0.9078156312625251,0.03006012024048096,B_peak_earlier_tendency,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
