day,date_mmdd,lat,shape_profile_value
6,04-07,31.0,0.8618909299608815
6,04-07,33.0,0.8004446486945119
6,04-07,35.0,0.5865845406117669
6,04-07,37.0,0.2555445163123661
6,04-07,39.0,-0.11966858305407438
6,04-07,41.0,-0.525803368048509
6,04-07,43.0,-0.9812404691814578
6,04-07,45.0,-1.5138032206391654
7,04-08,25.0,-0.5827775348633131
7,04-08,27.0,0.1464333199298538
7,04-08,29.0,0.6450591131100095
7,04-08,31.0,0.8596111314415111
7,04-08,33.0,0.8137251132470087
7,04-08,35.0,0.6039716040336867
7,04-08,37.0,0.2741801988719338
7,04-08,39.0,-0.10107527412942838
7,04-08,41.0,-0.4906437176390212
7,04-08,43.0,-0.926646360958977
7,04-08,45.0,-1.4408396087968276
8,04-09,25.0,-0.677006915424128
8,04-09,27.0,0.07135854211720905
8,04-09,29.0,0.6177978825152574
8,04-09,31.0,0.8969574374655581
8,04-09,33.0,0.88164272791732
8,04-09,35.0,0.6371396882670903
8,04-09,37.0,0.27296184557334197
8,04-09,39.0,-0.11256370383195323
8,04-09,41.0,-0.49301079366907324
8,04-09,43.0,-0.9018057983589314
8,04-09,45.0,-1.3798305426791933
9,04-10,25.0,-0.7412093055081341
9,04-10,27.0,0.009808865920855841
9,04-10,29.0,0.5845020039939411
9,04-10,31.0,0.9066747709103259
9,04-10,33.0,0.9181222120771272
9,04-10,35.0,0.6689673992281755
9,04-10,37.0,0.2977593267947287
9,04-10,39.0,-0.09177389799825995
9,04-10,41.0,-0.48238473455537395
9,04-10,43.0,-0.8954836536698079
9,04-10,45.0,-1.3512637832273593
10,04-11,25.0,-0.7254235907043878
10,04-11,27.0,0.026130427564505215
10,04-11,29.0,0.5970555106961968
10,04-11,31.0,0.92098388116209
10,04-11,33.0,0.9435156950739413
10,04-11,35.0,0.69341787349891
10,04-11,37.0,0.30874777461026875
10,04-11,39.0,-0.10155604283554896
10,04-11,41.0,-0.5155544192638934
10,04-11,43.0,-0.9420291933976715
10,04-11,45.0,-1.3909621347514973
11,04-12,25.0,-0.6795730926948893
11,04-12,27.0,0.06016936010989055
11,04-12,29.0,0.6035138479756413
11,04-12,31.0,0.9123131690136099
11,04-12,33.0,0.9412616855994979
11,04-12,35.0,0.7029578361159506
11,04-12,37.0,0.31605538960487395
11,04-12,39.0,-0.11427246718534959
11,04-12,41.0,-0.5517593649601774
11,04-12,43.0,-0.9764708366735779
11,04-12,45.0,-1.408533804933612
12,04-13,25.0,-0.6266481098564932
12,04-13,27.0,0.1046438088992412
12,04-13,29.0,0.6229077466633814
12,04-13,31.0,0.9149306282558791
12,04-13,33.0,0.9322506704384973
12,04-13,35.0,0.6847862587495427
12,04-13,37.0,0.29796852854804007
12,04-13,39.0,-0.12876343457192732
12,04-13,41.0,-0.5723393104237314
12,04-13,43.0,-1.0047360305837465
12,04-13,45.0,-1.4290339192632049
13,04-14,25.0,-0.5818886817062424
13,04-14,27.0,0.13953666674719103
13,04-14,29.0,0.6349516092579105
13,04-14,31.0,0.9090314862946102
13,04-14,33.0,0.915540815937757
13,04-14,35.0,0.6617674574235005
13,04-14,37.0,0.29129795854707247
13,04-14,39.0,-0.1326820476637438
13,04-14,41.0,-0.589248107757869
13,04-14,43.0,-1.0212774171576542
13,04-14,45.0,-1.437313137713114
14,04-15,25.0,-0.5716611692080921
14,04-15,27.0,0.14161288932280888
14,04-15,29.0,0.6156364948127884
14,04-15,31.0,0.8765434390590555
14,04-15,33.0,0.9020857487474582
14,04-15,35.0,0.6771489867762587
14,04-15,37.0,0.3076257441433093
14,04-15,39.0,-0.12427343903741163
14,04-15,41.0,-0.582764120438925
14,04-15,43.0,-1.0119563426102727
14,04-15,45.0,-1.438219316435535
15,04-16,25.0,-0.6162732399750265
15,04-16,27.0,0.10279519017451803
15,04-16,29.0,0.5802630927042699
15,04-16,31.0,0.8460285801119135
15,04-16,33.0,0.8992926622451427
15,04-16,35.0,0.7182012524462489
15,04-16,37.0,0.3772662828247861
15,04-16,39.0,-0.06812226821114511
15,04-16,41.0,-0.5584291863450103
15,04-16,43.0,-1.0203066827710585
15,04-16,45.0,-1.4618695617732533
16,04-17,25.0,-0.6597928273225023
16,04-17,27.0,0.04347819452581257
16,04-17,29.0,0.5314636402472666
16,04-17,31.0,0.8157171778843236
16,04-17,33.0,0.8879528298848247
16,04-17,35.0,0.7318714704752648
16,04-17,37.0,0.4117261514492336
16,04-17,39.0,-0.02161970922048193
16,04-17,41.0,-0.5057828358423394
16,04-17,43.0,-0.9812550695494614
16,04-17,45.0,-1.4402111629426815
17,04-18,25.0,-0.690674311380575
17,04-18,27.0,-0.012167566734821765
17,04-18,29.0,0.4771646210886744
17,04-18,31.0,0.778031179771349
17,04-18,33.0,0.8649024418368074
17,04-18,35.0,0.7376351984600868
17,04-18,37.0,0.44598424343149407
17,04-18,39.0,0.02858399085096724
17,04-18,41.0,-0.4479487393221595
17,04-18,43.0,-0.9356903620068157
17,04-18,45.0,-1.4171314971816735
18,04-19,25.0,-0.7270482498653956
18,04-19,27.0,-0.05877555409571025
18,04-19,29.0,0.4344798144999521
18,04-19,31.0,0.751084702789934
18,04-19,33.0,0.8552374622524505
18,04-19,35.0,0.7495872728189443
18,04-19,37.0,0.48080343820436533
18,04-19,39.0,0.07455675363041103
18,04-19,41.0,-0.4010272292198258
18,04-19,43.0,-0.9040050099517035
18,04-19,45.0,-1.4147297182100367
19,04-20,25.0,-0.8163377078427402
19,04-20,27.0,-0.13967494757215687
19,04-20,29.0,0.39121742196311765
19,04-20,31.0,0.7397354862870502
19,04-20,33.0,0.8661444500754872
19,04-20,35.0,0.7809957120103638
19,04-20,37.0,0.529534455486714
19,04-20,39.0,0.13007566002079815
19,04-20,41.0,-0.35454319982235694
19,04-20,43.0,-0.871775694222412
19,04-20,45.0,-1.3986972140287093
20,04-21,25.0,-0.9533879006118312
20,04-21,27.0,-0.24953820114676328
20,04-21,29.0,0.3275005193341706
20,04-21,31.0,0.721189060014432
20,04-21,33.0,0.881190878162614
20,04-21,35.0,0.8234330242916635
20,04-21,37.0,0.5982910925804118
20,04-21,39.0,0.2002750816759631
20,04-21,41.0,-0.2899299666056562
20,04-21,43.0,-0.8157295539441237
20,04-21,45.0,-1.3614103612930641
21,04-22,25.0,-1.08233019569859
21,04-22,27.0,-0.32802538713820073
21,04-22,29.0,0.29992321490303464
21,04-22,31.0,0.7233075570923
21,04-22,33.0,0.9013229077972877
21,04-22,35.0,0.8576149411657094
21,04-22,37.0,0.6434537110153152
21,04-22,39.0,0.24372515036567585
21,04-22,41.0,-0.24353712665571478
21,04-22,43.0,-0.7701779023238309
21,04-22,45.0,-1.3455075886499042
22,04-23,25.0,-1.0981869319243898
22,04-23,27.0,-0.36001235303709017
22,04-23,29.0,0.2673783612323303
22,04-23,31.0,0.7140743200772036
22,04-23,33.0,0.9123482842171033
22,04-23,35.0,0.8739614783208945
22,04-23,37.0,0.6422039874269088
22,04-23,39.0,0.24312559334503384
22,04-23,41.0,-0.22865374574145492
22,04-23,43.0,-0.7482211545078308
22,04-23,45.0,-1.3106393820794047
23,04-24,25.0,-1.0547500332732531
23,04-24,27.0,-0.3432056829426402
23,04-24,29.0,0.2713122538025304
23,04-24,31.0,0.713635710635391
23,04-24,33.0,0.901665514833209
23,04-24,35.0,0.8466360254060561
23,04-24,37.0,0.6032322683360839
23,04-24,39.0,0.21901889500462457
23,04-24,41.0,-0.23159676123957465
23,04-24,43.0,-0.7350693542023562
23,04-24,45.0,-1.2851739139800173
24,04-25,25.0,-1.0140240958866447
24,04-25,27.0,-0.31759021917027
24,04-25,29.0,0.29059922886754447
24,04-25,31.0,0.7303258616200176
24,04-25,33.0,0.9102148855529487
24,04-25,35.0,0.8265144107774488
24,04-25,37.0,0.5656689966552516
24,04-25,39.0,0.18341817342861827
24,04-25,41.0,-0.2561279266734745
24,04-25,43.0,-0.7417971695481086
24,04-25,45.0,-1.2780864686246447
25,04-26,25.0,-0.9912450074817428
25,04-26,27.0,-0.2989996387101395
25,04-26,29.0,0.3077591506218692
25,04-26,31.0,0.7344582706139574
25,04-26,33.0,0.8985355043637628
25,04-26,35.0,0.8044345771029683
25,04-26,37.0,0.545491483379981
25,04-26,39.0,0.1792628784584647
25,04-26,41.0,-0.26227921439740265
25,04-26,43.0,-0.7463534393208573
25,04-26,45.0,-1.2751050935345918
26,04-27,25.0,-0.9758858818919445
26,04-27,27.0,-0.28686451722882667
26,04-27,29.0,0.3091463854651225
26,04-27,31.0,0.7247597635884208
26,04-27,33.0,0.8860078303221006
26,04-27,35.0,0.7923290585350544
26,04-27,37.0,0.5226158068998784
26,04-27,39.0,0.1572492000784903
26,04-27,41.0,-0.26783013219125795
26,04-27,43.0,-0.7287062871417359
26,04-27,45.0,-1.2351306312712902
27,04-28,25.0,-0.9710073805838557
27,04-28,27.0,-0.292956543757144
27,04-28,29.0,0.2948117812510138
27,04-28,31.0,0.709603329617263
27,04-28,33.0,0.8644181678131297
27,04-28,35.0,0.7692522150830653
27,04-28,37.0,0.5042313689399466
27,04-28,39.0,0.16014318773863123
27,04-28,41.0,-0.2504814440846733
27,04-28,43.0,-0.7012846224221704
27,04-28,45.0,-1.1821418578232545
28,04-29,25.0,-0.9678340321588695
28,04-29,27.0,-0.30953010984725277
28,04-29,29.0,0.2605173503777928
28,04-29,31.0,0.6792668989230916
28,04-29,33.0,0.8435023218712293
28,04-29,35.0,0.7681991979949531
28,04-29,37.0,0.5206367920468444
28,04-29,39.0,0.18970861703197292
28,04-29,41.0,-0.22769192030656804
28,04-29,43.0,-0.6887468562056558
28,04-29,45.0,-1.156401619764847
29,04-30,25.0,-1.0130078832811644
29,04-30,27.0,-0.34012933583504684
29,04-30,29.0,0.24296200144771432
29,04-30,31.0,0.6785275597263474
29,04-30,33.0,0.8597573747367893
29,04-30,35.0,0.7871955850045361
29,04-30,37.0,0.5342923922132001
29,04-30,39.0,0.199378554246435
29,04-30,41.0,-0.21914917528328748
29,04-30,43.0,-0.6809814990582679
29,04-30,45.0,-1.1300940760051197
30,05-01,25.0,-1.0777757149511507
30,05-01,27.0,-0.39954219524521645
30,05-01,29.0,0.19362545893045435
30,05-01,31.0,0.6371691725269497
30,05-01,33.0,0.8409061739330761
30,05-01,35.0,0.792782820349187
30,05-01,37.0,0.551739546428427
30,05-01,39.0,0.22607359889573225
30,05-01,41.0,-0.1691005625493814
30,05-01,43.0,-0.6115111867953529
30,05-01,45.0,-1.0440384653313037
31,05-02,25.0,-1.145022053615314
31,05-02,27.0,-0.4662826311573424
31,05-02,29.0,0.13255587741130628
31,05-02,31.0,0.5798345604185664
31,05-02,33.0,0.8011138415912056
31,05-02,35.0,0.7730653906756694
31,05-02,37.0,0.5676885423820042
31,05-02,39.0,0.2838822378185493
31,05-02,41.0,-0.08177882589159798
31,05-02,43.0,-0.5155062700904913
31,05-02,45.0,-0.9627894301431883
32,05-03,25.0,-1.2289305413755751
32,05-03,27.0,-0.5482181924491462
32,05-03,29.0,0.061024406415811014
32,05-03,31.0,0.5353031481313847
32,05-03,33.0,0.7898058366471539
32,05-03,35.0,0.7974635877562414
32,05-03,37.0,0.6370145851608946
32,05-03,39.0,0.3719411845593618
32,05-03,41.0,-0.010280680317488819
32,05-03,43.0,-0.47336086471447913
32,05-03,45.0,-0.9439013927831303
33,05-04,25.0,-1.3487101187387232
33,05-04,27.0,-0.6322713281238145
33,05-04,29.0,-0.020880453975602883
33,05-04,31.0,0.4774627716083502
33,05-04,33.0,0.7621560414690739
33,05-04,35.0,0.8092740175474769
33,05-04,37.0,0.6790696276199927
33,05-04,39.0,0.43979746749169607
33,05-04,41.0,0.0933781786744811
33,05-04,43.0,-0.3791577590817472
33,05-04,45.0,-0.8604963196247215
34,05-05,25.0,-1.3989599697699855
34,05-05,27.0,-0.7217728507057896
34,05-05,29.0,-0.10882653881409399
34,05-05,31.0,0.39496123381673715
34,05-05,33.0,0.7339549130846705
34,05-05,35.0,0.8435370302696867
34,05-05,37.0,0.7513097610567696
34,05-05,39.0,0.5202808444298979
34,05-05,41.0,0.15732972059678607
34,05-05,43.0,-0.31802583305047577
34,05-05,45.0,-0.8100479190162381
35,05-06,25.0,-1.389323816452759
35,05-06,27.0,-0.7336997802958825
35,05-06,29.0,-0.1471658204451529
35,05-06,31.0,0.34352102033953225
35,05-06,33.0,0.6924659826584405
35,05-06,35.0,0.8287172769260789
35,05-06,37.0,0.7662058134165339
35,05-06,39.0,0.5568894002569974
35,05-06,41.0,0.1956496786658439
35,05-06,43.0,-0.2815475615124774
35,05-06,45.0,-0.7780554989382407
36,05-07,25.0,-1.4262597862004738
36,05-07,27.0,-0.7736060309948545
36,05-07,29.0,-0.18119614750023175
36,05-07,31.0,0.3137178401470356
36,05-07,33.0,0.676230484038403
36,05-07,35.0,0.8393185060238783
36,05-07,37.0,0.7977395537347168
36,05-07,39.0,0.5912250274779725
36,05-07,41.0,0.2303463593003241
36,05-07,43.0,-0.24473074717302093
36,05-07,45.0,-0.7573081896829066
37,05-08,25.0,-1.4935891433236275
37,05-08,27.0,-0.8245614823154847
37,05-08,29.0,-0.21315895349274522
37,05-08,31.0,0.2857841733575643
37,05-08,33.0,0.6560877504846562
37,05-08,35.0,0.8361123270447096
37,05-08,37.0,0.8163651234546909
37,05-08,39.0,0.6250844549061169
37,05-08,41.0,0.2901826781123244
37,05-08,43.0,-0.17733304039214098
37,05-08,45.0,-0.7178454765367448
38,05-09,25.0,-1.5236227853173088
38,05-09,27.0,-0.8551424808045035
38,05-09,29.0,-0.22678378708857458
38,05-09,31.0,0.28383767308509456
38,05-09,33.0,0.6475621010753247
38,05-09,35.0,0.8339549478071571
38,05-09,37.0,0.8311865724354048
38,05-09,39.0,0.6452931314664246
38,05-09,41.0,0.3161411603544166
38,05-09,43.0,-0.15438219201255404
38,05-09,45.0,-0.7077088364516173
39,05-10,25.0,-1.5282644148452287
39,05-10,27.0,-0.872068649620551
39,05-10,29.0,-0.24758418533599363
39,05-10,31.0,0.2725313029282467
39,05-10,33.0,0.6511326618377751
39,05-10,35.0,0.8477825800504007
39,05-10,37.0,0.8496475027221646
39,05-10,39.0,0.664940953548204
39,05-10,41.0,0.32382413602674914
39,05-10,43.0,-0.15501548772318322
39,05-10,45.0,-0.7141541042926198
40,05-11,25.0,-1.5246042341740478
40,05-11,27.0,-0.8929122169194288
40,05-11,29.0,-0.2794247659003243
40,05-11,31.0,0.2515196018734604
40,05-11,33.0,0.6560772795849967
40,05-11,35.0,0.8825194212344616
40,05-11,37.0,0.8939242956752405
40,05-11,39.0,0.6855118821985412
40,05-11,41.0,0.3140868421096898
40,05-11,43.0,-0.17339052498811738
40,05-11,45.0,-0.719001087615471
41,05-12,25.0,-1.5162579793409987
41,05-12,27.0,-0.8974645698992508
41,05-12,29.0,-0.2938878208167379
41,05-12,31.0,0.23721957317096026
41,05-12,33.0,0.6562954399547628
41,05-12,35.0,0.8998526225003683
41,05-12,37.0,0.9127710499355172
41,05-12,39.0,0.6886044756374099
41,05-12,41.0,0.29985846954602646
41,05-12,43.0,-0.1857145498521066
41,05-12,45.0,-0.7064423997480478
42,05-13,25.0,-1.5176870499277493
42,05-13,27.0,-0.8988432628082876
42,05-13,29.0,-0.2871337708829495
42,05-13,31.0,0.25709047220521347
42,05-13,33.0,0.6875906551355497
42,05-13,35.0,0.9214877687180102
42,05-13,37.0,0.9150827346143752
42,05-13,39.0,0.6658590449647751
42,05-13,41.0,0.26956247920048637
42,05-13,43.0,-0.20812348115893226
42,05-13,45.0,-0.7145575922305678
43,05-14,25.0,-1.5262415880449152
43,05-14,27.0,-0.8995178713037729
43,05-14,29.0,-0.2836888720326006
43,05-14,31.0,0.27918206477318563
43,05-14,33.0,0.7197818092321956
43,05-14,35.0,0.9549640283912156
43,05-14,37.0,0.9345982416441522
43,05-14,39.0,0.6556230771738261
43,05-14,41.0,0.23783339344837265
43,05-14,43.0,-0.24375288574772377
43,05-14,45.0,-0.7443533958837331
44,05-15,25.0,-1.5361463583479036
44,05-15,27.0,-0.8966481694206009
44,05-15,29.0,-0.2582380919657922
44,05-15,31.0,0.32780533172672843
44,05-15,33.0,0.7654911780458993
44,05-15,35.0,0.9862555084650931
44,05-15,37.0,0.944320246474521
44,05-15,39.0,0.6369855031495835
44,05-15,41.0,0.19223788510743234
44,05-15,43.0,-0.296741398798049
44,05-15,45.0,-0.7914597381707874
45,05-16,25.0,-1.5551240148678653
45,05-16,27.0,-0.8831389733681297
45,05-16,29.0,-0.2152041065427292
45,05-16,31.0,0.4041780148195921
45,05-16,33.0,0.8432881713234778
45,05-16,35.0,1.0322753704865346
45,05-16,37.0,0.9406820274771178
45,05-16,39.0,0.5955371255194049
45,05-16,41.0,0.12447616501858264
45,05-16,43.0,-0.37157776320454106
45,05-16,45.0,-0.8579111634337099
46,05-17,25.0,-1.5621371231060992
46,05-17,27.0,-0.8613239618683692
46,05-17,29.0,-0.1658469905487913
46,05-17,31.0,0.463227954466848
46,05-17,33.0,0.8999637328209606
46,05-17,35.0,1.061694363856879
46,05-17,37.0,0.9341919963153954
46,05-17,39.0,0.561857018058548
46,05-17,41.0,0.06931263023749422
46,05-17,43.0,-0.43906764649510815
46,05-17,45.0,-0.9199208678579179
47,05-18,25.0,-1.5612742938524187
47,05-18,27.0,-0.8324052552447125
47,05-18,29.0,-0.126447788143027
47,05-18,31.0,0.4929591708161446
47,05-18,33.0,0.9149492015438099
47,05-18,35.0,1.0535545288361758
47,05-18,37.0,0.9125776091918398
47,05-18,39.0,0.5401638605028946
47,05-18,41.0,0.04133857726592617
47,05-18,43.0,-0.46652443906924845
47,05-18,45.0,-0.9349346179549528
48,05-19,25.0,-1.5733679609809277
48,05-19,27.0,-0.817098510542432
48,05-19,29.0,-0.10600233978260674
48,05-19,31.0,0.5012099655289504
48,05-19,33.0,0.9275250085490686
48,05-19,35.0,1.0492873436925612
48,05-19,37.0,0.890960497622546
48,05-19,39.0,0.5141690575977884
48,05-19,41.0,0.031058615688727156
48,05-19,43.0,-0.46294475840273536
48,05-19,45.0,-0.9221458815678271
49,05-20,25.0,-1.587144212027186
49,05-20,27.0,-0.8336977798605248
49,05-20,29.0,-0.12005287230728819
49,05-20,31.0,0.5013375073281823
49,05-20,33.0,0.9415167595721688
49,05-20,35.0,1.0586445946072642
49,05-20,37.0,0.8823645617343844
49,05-20,39.0,0.5030940728997455
49,05-20,41.0,0.029538212256103678
49,05-20,43.0,-0.44766043971398417
49,05-20,45.0,-0.8909670263979981
50,05-21,25.0,-1.5671505402487718
50,05-21,27.0,-0.8416933785752849
50,05-21,29.0,-0.14137865995005602
50,05-21,31.0,0.4711872666461986
50,05-21,33.0,0.9043398718059656
50,05-21,35.0,1.0359275625412483
50,05-21,37.0,0.880576499421227
50,05-21,39.0,0.5144325817366816
50,05-21,41.0,0.05138331434372585
50,05-21,43.0,-0.41668169891477286
50,05-21,45.0,-0.8468354624855612
51,05-22,25.0,-1.5500420503893315
51,05-22,27.0,-0.8434767728610856
51,05-22,29.0,-0.15520423755473126
51,05-22,31.0,0.4496437413134781
51,05-22,33.0,0.8739541004343792
51,05-22,35.0,1.0280353944833889
51,05-22,37.0,0.8958096733144265
51,05-22,39.0,0.5306516342013659
51,05-22,41.0,0.0601557982748959
51,05-22,43.0,-0.4116808341270341
51,05-22,45.0,-0.8308614722970645
52,05-23,25.0,-1.5530057693606947
52,05-23,27.0,-0.8443097364493323
52,05-23,29.0,-0.14681567560106176
52,05-23,31.0,0.4562266105177942
52,05-23,33.0,0.8755666417140918
52,05-23,35.0,1.023765721665108
52,05-23,37.0,0.8942273623139202
52,05-23,39.0,0.5302205945502227
52,05-23,41.0,0.05538548643699696
52,05-23,43.0,-0.41511477931661245
52,05-23,45.0,-0.8297549117064732
53,05-24,25.0,-1.5817423359608613
53,05-24,27.0,-0.8544203307057556
53,05-24,29.0,-0.15382511667882845
53,05-24,31.0,0.45642097569271456
53,05-24,33.0,0.8849852186933096
53,05-24,35.0,1.0352140664325327
53,05-24,37.0,0.9018190379341168
53,05-24,39.0,0.525950265094271
53,05-24,41.0,0.05709743605157376
53,05-24,43.0,-0.40003357785148214
53,05-24,45.0,-0.821567320366015
54,05-25,25.0,-1.6091335507491875
54,05-25,27.0,-0.885906050694244
54,05-25,29.0,-0.1866386628947586
54,05-25,31.0,0.4185607695470397
54,05-25,33.0,0.8529454410678939
54,05-25,35.0,1.0223008436873977
54,05-25,37.0,0.9191248399732298
54,05-25,39.0,0.5609626566292392
54,05-25,41.0,0.10871376204085476
54,05-25,43.0,-0.3475271856203683
54,05-25,45.0,-0.7900646802941064
55,05-26,25.0,-1.568584221484888
55,05-26,27.0,-0.8813664820635346
55,05-26,29.0,-0.2056443252065576
55,05-26,31.0,0.3932857664399418
55,05-26,33.0,0.8267840833151382
55,05-26,35.0,0.9980319364300012
55,05-26,37.0,0.9073515137197214
55,05-26,39.0,0.563974764366287
55,05-26,41.0,0.11639718234475627
55,05-26,43.0,-0.33229293525170783
55,05-26,45.0,-0.7515665197489232
56,05-27,25.0,-1.5266401386921924
56,05-27,27.0,-0.8608253637468798
56,05-27,29.0,-0.19341456796535686
56,05-27,31.0,0.4030887112844074
56,05-27,33.0,0.8318123677500481
56,05-27,35.0,0.9917274346808524
56,05-27,37.0,0.885961751158473
56,05-27,39.0,0.5376568287319599
56,05-27,41.0,0.0905599019817572
56,05-27,43.0,-0.34953230324927725
56,05-27,45.0,-0.750647808540082
57,05-28,25.0,-1.4966254432610524
57,05-28,27.0,-0.8485895447458796
57,05-28,29.0,-0.1846740455052488
57,05-28,31.0,0.4192236882390598
57,05-28,33.0,0.8477084254128628
57,05-28,35.0,1.0072793553453743
57,05-28,37.0,0.886143903097785
57,05-28,39.0,0.5174944512385434
57,05-28,41.0,0.05611387167917632
57,05-28,43.0,-0.37970780333378235
57,05-28,45.0,-0.7726806484232223
58,05-29,25.0,-1.4907405853170408
58,05-29,27.0,-0.8392781031218745
58,05-29,29.0,-0.16785840033718372
58,05-29,31.0,0.44051788035904793
58,05-29,33.0,0.8672402753762922
58,05-29,35.0,1.0244504188860764
58,05-29,37.0,0.9000982545654727
58,05-29,39.0,0.5144450523934986
58,05-29,41.0,0.027354586124752445
58,05-29,43.0,-0.4210122899532972
58,05-29,45.0,-0.8116099925556282
59,05-30,25.0,-1.510302343440946
59,05-30,27.0,-0.8483915331352835
59,05-30,29.0,-0.1674890231460137
59,05-30,31.0,0.4517664232757829
59,05-30,33.0,0.8860128822310477
59,05-30,35.0,1.0417915779818208
59,05-30,37.0,0.9195072028538694
59,05-30,39.0,0.5299721875378306
59,05-30,41.0,0.020504449218953613
59,05-30,43.0,-0.4461890081562296
59,05-30,45.0,-0.835361313082442
60,05-31,25.0,-1.5288520572232642
60,05-31,27.0,-0.863219243609027
60,05-31,29.0,-0.1743901066983837
60,05-31,31.0,0.4556841790989615
60,05-31,33.0,0.9067857352799537
60,05-31,35.0,1.0588540145394916
60,05-31,37.0,0.9324107900953905
60,05-31,39.0,0.5398222272427473
60,05-31,41.0,0.021396017778587507
60,05-31,43.0,-0.4561330243087334
60,05-31,45.0,-0.8501896990344535
61,06-01,25.0,-1.5589647768813626
61,06-01,27.0,-0.8780177101481864
61,06-01,29.0,-0.1764207838464473
61,06-01,31.0,0.46734467395676943
61,06-01,33.0,0.9156160114692518
61,06-01,35.0,1.0661691263142885
61,06-01,37.0,0.932816245346908
61,06-01,39.0,0.5360700948641332
61,06-01,41.0,0.023603540770376498
61,06-01,43.0,-0.447218029704877
61,06-01,45.0,-0.8354009976863715
62,06-02,25.0,-1.5913412514148508
62,06-02,27.0,-0.9041646140478098
62,06-02,29.0,-0.19354999684106236
62,06-02,31.0,0.4576669382002693
62,06-02,33.0,0.9070444156210158
62,06-02,35.0,1.0624246547378962
62,06-02,37.0,0.9365660002645425
62,06-02,39.0,0.5512124233178541
62,06-02,41.0,0.04974460609776172
62,06-02,43.0,-0.419855153234951
62,06-02,45.0,-0.8010194131295972
63,06-03,25.0,-1.6081294815339282
63,06-03,27.0,-0.9265782433877938
63,06-03,29.0,-0.21647954082869944
63,06-03,31.0,0.4323397232481221
63,06-03,33.0,0.8975789004832438
63,06-03,35.0,1.0708194189036908
63,06-03,37.0,0.9445477984042512
63,06-03,39.0,0.5630301402658902
63,06-03,41.0,0.07166231410532214
63,06-03,43.0,-0.39256060268013865
63,06-03,45.0,-0.7734669965729801
64,06-04,25.0,-1.6272429546041847
64,06-04,27.0,-0.9603130906853227
64,06-04,29.0,-0.25854476201908394
64,06-04,31.0,0.3938025188898887
64,06-04,33.0,0.878509904371175
64,06-04,35.0,1.0821131564881332
64,06-04,37.0,0.9722178038552065
64,06-04,39.0,0.5985317183397515
64,06-04,41.0,0.10783225689374824
64,06-04,43.0,-0.3615436922096066
64,06-04,45.0,-0.7516714792977806
65,06-05,25.0,-1.649743269263658
65,06-05,27.0,-1.0018710970242992
65,06-05,29.0,-0.30862314770054866
65,06-05,31.0,0.34679859186378303
65,06-05,33.0,0.8524963574916254
65,06-05,35.0,1.0847250079942372
65,06-05,37.0,0.9969658357616272
65,06-05,39.0,0.640365615482424
65,06-05,41.0,0.15490907474487034
65,06-05,43.0,-0.3154695460196407
65,06-05,45.0,-0.7122329777096016
66,06-06,25.0,-1.6812896885687985
66,06-06,27.0,-1.0378046631860967
66,06-06,29.0,-0.34885721072812254
66,06-06,31.0,0.29984518740519134
66,06-06,33.0,0.8156922104248392
66,06-06,35.0,1.0716790772383031
66,06-06,37.0,1.0255323211393814
66,06-06,39.0,0.6901594110517865
66,06-06,41.0,0.20683908768656242
66,06-06,43.0,-0.2675321778669982
66,06-06,45.0,-0.6705781174179728
67,06-07,25.0,-1.6997427288452611
67,06-07,27.0,-1.06250035904002
67,06-07,29.0,-0.3802884332646571
