window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,mode,phase_group,phase_group_size,years_in_phase_group,group_role
W081,Je,CP001,65,59,75,front_or_early,weak_window,system_relevant_first,,,,3,PC_high,15,1982;1985;1987;1988;1989;1991;1995;2004;2009;2012;2013;2014;2018;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W081,Jw,CP001,80,70,90,within_system_window,accepted_window,system_relevant_first,CP002@66:candidate_window,,,3,PC_high,15,1982;1985;1987;1988;1989;1991;1995;2004;2009;2012;2013;2014;2018;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W081,P,CP001,79,69,89,within_system_window,accepted_window,system_relevant_first,,,,3,PC_low,15,1979;1993;1994;1996;1997;1998;2000;2001;2002;2006;2015;2016;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W081,V,CP001,79,69,89,within_system_window,accepted_window,system_relevant_first,,,,3,PC_low,15,1979;1993;1994;1996;1997;1998;2000;2001;2002;2006;2015;2016;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W081,H,CP001,79,69,89,within_system_window,candidate_window,system_relevant_first,,,,3,PC_low,15,1979;1993;1994;1996;1997;1998;2000;2001;2002;2006;2015;2016;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W081,Je,CP001,83,73,92,within_system_window,candidate_window,system_relevant_first,CP002@67:weak_window,,,3,PC_low,15,1979;1993;1994;1996;1997;1998;2000;2001;2002;2006;2015;2016;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W081,Jw,CP002,75,65,85,within_system_window,candidate_window,system_relevant_first,CP001@61:weak_window,CP001@61:weak_window,,3,PC_low,15,1979;1993;1994;1996;1997;1998;2000;2001;2002;2006;2015;2016;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W081,P,CP001,82,72,92,within_system_window,weak_window,system_relevant_first,CP002@87:weak_window;CP003@69:candidate_window,,,3,PC_mid,15,1980;1981;1983;1984;1986;1990;1992;1999;2003;2005;2007;2008;2010;2011;2019,PC_phase_group_multi_year_peak_not_single_year_peak
W081,V,CP002,80,70,90,within_system_window,candidate_window,system_relevant_first,CP001@68:candidate_window,,,3,PC_mid,15,1980;1981;1983;1984;1986;1990;1992;1999;2003;2005;2007;2008;2010;2011;2019,PC_phase_group_multi_year_peak_not_single_year_peak
W081,H,CP001,73,63,83,front_or_early,candidate_window,system_relevant_first,,,,3,PC_mid,15,1980;1981;1983;1984;1986;1990;1992;1999;2003;2005;2007;2008;2010;2011;2019,PC_phase_group_multi_year_peak_not_single_year_peak
W081,Je,CP001,74,64,84,front_or_early,candidate_window,system_relevant_first,CP002@89:weak_window,,,3,PC_mid,15,1980;1981;1983;1984;1986;1990;1992;1999;2003;2005;2007;2008;2010;2011;2019,PC_phase_group_multi_year_peak_not_single_year_peak
W081,Jw,CP001,87,77,92,within_system_window,candidate_window,system_relevant_first,CP002@71:candidate_window;CP003@61:unstable_window,CP003@61:unstable_window,,3,PC_mid,15,1980;1981;1983;1984;1986;1990;1992;1999;2003;2005;2007;2008;2010;2011;2019,PC_phase_group_multi_year_peak_not_single_year_peak
